tile_id,city_id,city_name,split,tile_row,tile_col,row_offset,col_offset,tile_size,stride,source_width_pixels,source_height_pixels,padding_pixel_count,padding_fraction,valid_pixel_count,valid_fraction,unlabeled_pixel_count,semantic_nodata_pixel_count,buildings_pixel_count,roads_pixel_count,vegetation_pixel_count,bare_land_pixel_count,water_pixel_count,contains_buildings,contains_roads,contains_vegetation,contains_bare_land,contains_water,bounds_left,bounds_bottom,bounds_right,bounds_top,crs,image_path,semantic_mask_path,validity_mask_path,image_sha256,semantic_sha256,validity_sha256,tile_qa_status,city_tile_manifest,city_tile_qa_report,total_tile_pixels,invalid_pixel_count,invalid_fraction,buildings_fraction_valid,roads_fraction_valid,vegetation_fraction_valid,bare_land_fraction_valid,water_fraction_valid,five_class_pixel_count,class_accounting_difference,vegetation_dominant_90,vegetation_dominant_95,urban_rich,road_rich,building_rich,bare_land_rich,water_rich,classes_ge_5pct,mixed_informative,passes_validity,v2_building_rich,v2_road_rich,v2_bare_land_rich,v2_water_rich,minority_rich,v2_classes_ge_5pct,v2_mixed_informative,protected_tile,extreme_vegetation,vegetation_control_keep,selected_v2,v2_selection_reason,selected_v21,v21_selection_reason
DE11_r001_c000,DE11,Hamburg,train,1,0,256,0,256,256,256,256,0,0.0,30244,0.46148681640625,35292,0,9673,5915,13551,725,380,True,True,True,True,True,550834.3640108273,5943917.951124841,553394.3640108273,5946477.951124841,EPSG:32632,data\processed\tiles\train\DE11_Hamburg\images\DE11_r001_c000_image.tif,data\processed\tiles\train\DE11_Hamburg\semantic_masks\DE11_r001_c000_semantic.tif,data\processed\tiles\train\DE11_Hamburg\validity_masks\DE11_r001_c000_validity.tif,c1892137c754d731d6219a007cae254d6e4174256a263c5218a46edea6115aa2,1eb2f3c4a4b55af39f9c869c1929186e1c1ade50d13a128164a1dd9a09bb0c4b,90595b99bbf2e3d0d284368e5fa3515daf430a6a7970348e85fffdcae9ab9502,PASS,metadata\tile_manifests\DE11_tile_manifest.csv,metadata\tile_qa\DE11_tile_qa.json,65536,35292,0.53851318359375,0.3198320327998942,0.1955759820129612,0.4480558127231848,0.0239716968654939,0.0125644755984658,30244,0,False,False,True,True,True,False,False,3,True,False,True,True,False,False,True,3,True,True,False,False,False,excluded_low_validity,True,restored_city_retention_guard
DE11_r002_c003,DE11,Hamburg,train,2,3,512,768,256,256,256,256,0,0.0,26091,0.3981170654296875,39445,0,10048,6831,8610,166,436,True,True,True,True,True,558514.3640108273,5941357.951124841,561074.3640108273,5943917.951124841,EPSG:32632,data\processed\tiles\train\DE11_Hamburg\images\DE11_r002_c003_image.tif,data\processed\tiles\train\DE11_Hamburg\semantic_masks\DE11_r002_c003_semantic.tif,data\processed\tiles\train\DE11_Hamburg\validity_masks\DE11_r002_c003_validity.tif,75d5825f90e733b197cfd5eaadbc3fa8f80f42bb71669a2347427ab4612890ad,419c3d4f1d369466f9d26982782640895f758099185157ee70b0910d333bfac0,91ac1344178d9dc6d7b38a3e42652c8eaf1d41b80b6941ea16090bd884c50959,PASS,metadata\tile_manifests\DE11_tile_manifest.csv,metadata\tile_qa\DE11_tile_qa.json,65536,39445,0.6018829345703125,0.3851136407190219,0.2618144187650914,0.3299988501782224,0.006362347169522,0.0167107431681422,26091,0,False,False,True,True,True,False,False,3,True,False,True,True,False,False,True,3,True,True,False,False,False,excluded_low_validity,True,restored_city_retention_guard
DE11_r002_c006,DE11,Hamburg,train,2,6,512,1536,256,256,256,256,0,0.0,29902,0.456268310546875,35634,0,10622,7021,10506,192,1561,True,True,True,True,True,566194.3640108273,5941357.951124841,568754.3640108273,5943917.951124841,EPSG:32632,data\processed\tiles\train\DE11_Hamburg\images\DE11_r002_c006_image.tif,data\processed\tiles\train\DE11_Hamburg\semantic_masks\DE11_r002_c006_semantic.tif,data\processed\tiles\train\DE11_Hamburg\validity_masks\DE11_r002_c006_validity.tif,35e37f85b7877179790ce00711b043c749d9c24f6fd418957b06be078ee8ee1b,5593925b83aacc75ca2e13b7d896703ca273bd9db94f2baa487a087dd52ebc79,d23dcad0d55bf46fe4af7172d9ba65e1c81b7ce4baf798a9e2144347b43ab4c2,PASS,metadata\tile_manifests\DE11_tile_manifest.csv,metadata\tile_qa\DE11_tile_qa.json,65536,35634,0.543731689453125,0.3552270751120326,0.2348003478028225,0.3513477359373955,0.0064209751856063,0.052203865962143,29902,0,False,False,True,True,True,False,False,4,True,False,True,True,False,False,True,4,True,True,False,False,False,excluded_low_validity,True,restored_city_retention_guard
DE11_r002_c009,DE11,Hamburg,train,2,9,512,2304,256,256,256,256,0,0.0,31083,0.4742889404296875,34453,0,8473,5991,15897,44,678,True,True,True,True,True,573874.3640108273,5941357.951124841,576434.3640108273,5943917.951124841,EPSG:32632,data\processed\tiles\train\DE11_Hamburg\images\DE11_r002_c009_image.tif,data\processed\tiles\train\DE11_Hamburg\semantic_masks\DE11_r002_c009_semantic.tif,data\processed\tiles\train\DE11_Hamburg\validity_masks\DE11_r002_c009_validity.tif,865957bdfed9b79a527c31114e43afa5ba80d9a4dfe59a6a6b5d303e5305ee7c,0fbdae3f90e7dd4d93b7eb5a452c098b532bc7e5d1ca1d48a70f0e20f9cf789a,102b023eb6d8a0815b68474105ed86e4b0e701f5bac9ab70bdb7e8ad19cedfab,PASS,metadata\tile_manifests\DE11_tile_manifest.csv,metadata\tile_qa\DE11_tile_qa.json,65536,34453,0.5257110595703125,0.2725927355789338,0.1927420133191776,0.5114371199691149,0.0014155647781745,0.0218125663545989,31083,0,False,False,True,True,True,False,False,3,True,False,True,True,False,False,True,3,True,True,False,False,False,excluded_low_validity,True,restored_city_retention_guard
DE11_r003_c002,DE11,Hamburg,train,3,2,768,512,256,256,256,256,0,0.0,24129,0.3681793212890625,41407,0,9892,7053,6306,539,339,True,True,True,True,True,555954.3640108273,5938797.951124841,558514.3640108273,5941357.951124841,EPSG:32632,data\processed\tiles\train\DE11_Hamburg\images\DE11_r003_c002_image.tif,data\processed\tiles\train\DE11_Hamburg\semantic_masks\DE11_r003_c002_semantic.tif,data\processed\tiles\train\DE11_Hamburg\validity_masks\DE11_r003_c002_validity.tif,3e8c6a568a762b89d422b42958e3c4650884dac022b5143346e90809a4fd9588,7b5d5bfc72dde53f24ea2b080a228f6ba3b59258d1614cbb9e4315c1faa3597e,b252a796a8ab93fa276190d4a3345ecc733412c9839d8b438648b7735a35c6f5,PASS,metadata\tile_manifests\DE11_tile_manifest.csv,metadata\tile_qa\DE11_tile_qa.json,65536,41407,0.6318206787109375,0.4099631149239504,0.2923038667163993,0.2613452691781673,0.0223382651581085,0.0140494840233743,24129,0,False,False,True,True,True,False,False,3,True,False,True,True,False,False,True,3,True,True,False,False,False,excluded_low_validity,True,restored_city_retention_guard
DE11_r003_c003,DE11,Hamburg,train,3,3,768,768,256,256,256,256,0,0.0,30680,0.4681396484375,34856,0,10495,6520,12687,369,609,True,True,True,True,True,558514.3640108273,5938797.951124841,561074.3640108273,5941357.951124841,EPSG:32632,data\processed\tiles\train\DE11_Hamburg\images\DE11_r003_c003_image.tif,data\processed\tiles\train\DE11_Hamburg\semantic_masks\DE11_r003_c003_semantic.tif,data\processed\tiles\train\DE11_Hamburg\validity_masks\DE11_r003_c003_validity.tif,64443827dffe0ae6b28b913e3cbf5b1efabbedf05acd5b6e471be296fee65a7a,780bf863c9a025eff950e2e497f058b3cef37ed86d2918cc9aef97a7b9885b65,359728d6c857263e6aca239840154de2c77de6dabbfa71b83e60ac357034b8dc,PASS,metadata\tile_manifests\DE11_tile_manifest.csv,metadata\tile_qa\DE11_tile_qa.json,65536,34856,0.5318603515625,0.3420795306388526,0.2125162972620599,0.4135267275097783,0.0120273794002607,0.0198500651890482,30680,0,False,False,True,True,True,False,False,3,True,False,True,True,False,False,True,3,True,True,False,False,False,excluded_low_validity,True,restored_city_retention_guard
DE11_r003_c007,DE11,Hamburg,train,3,7,768,1792,256,256,256,256,0,0.0,30423,0.4642181396484375,35113,0,12235,6903,9877,1095,313,True,True,True,True,True,568754.3640108273,5938797.951124841,571314.3640108273,5941357.951124841,EPSG:32632,data\processed\tiles\train\DE11_Hamburg\images\DE11_r003_c007_image.tif,data\processed\tiles\train\DE11_Hamburg\semantic_masks\DE11_r003_c007_semantic.tif,data\processed\tiles\train\DE11_Hamburg\validity_masks\DE11_r003_c007_validity.tif,31f8331b257ba624f87398c86e5740980ff8268311e37cc0ff1f81558bf62959,f39135db78c4300972708bf4bde40ad6861cb31a65cecdaf4889e71774cd6999,2e22b3a71dd33e43f4dedca5729d457fa0bf1afa70956056025b42395d565e78,PASS,metadata\tile_manifests\DE11_tile_manifest.csv,metadata\tile_qa\DE11_tile_qa.json,65536,35113,0.5357818603515625,0.4021628373270223,0.2269007001281925,0.3246556881306906,0.0359925056700522,0.0102882687440423,30423,0,False,False,True,True,True,False,False,3,True,False,True,True,False,False,True,3,True,True,False,False,False,excluded_low_validity,True,restored_city_retention_guard
DE11_r004_c002,DE11,Hamburg,train,4,2,1024,512,256,256,256,256,0,0.0,27269,0.4160919189453125,38267,0,10931,6381,9522,290,145,True,True,True,True,True,555954.3640108273,5936237.951124841,558514.3640108273,5938797.951124841,EPSG:32632,data\processed\tiles\train\DE11_Hamburg\images\DE11_r004_c002_image.tif,data\processed\tiles\train\DE11_Hamburg\semantic_masks\DE11_r004_c002_semantic.tif,data\processed\tiles\train\DE11_Hamburg\validity_masks\DE11_r004_c002_validity.tif,e9677e6c8e4f84e3d6cb203c4bc42a243b899bde88b5dd96702e30a0e583cd05,609a81535dfdd33bc55c91416735b9a064073214337331eb5f12523106ba38be,4306ec1f4be08a051fba6ccac2004cd9b978309e15ee3e52673934947212e9c5,PASS,metadata\tile_manifests\DE11_tile_manifest.csv,metadata\tile_qa\DE11_tile_qa.json,65536,38267,0.5839080810546875,0.4008581172760277,0.2340019802706369,0.3491877223220507,0.0106347867541897,0.0053173933770948,27269,0,False,False,True,True,True,False,False,3,True,False,True,True,False,False,True,3,True,True,False,False,False,excluded_low_validity,True,restored_city_retention_guard
DE11_r004_c005,DE11,Hamburg,train,4,5,1024,1280,256,256,256,256,0,0.0,31579,0.4818572998046875,33957,0,16469,7888,5202,112,1908,True,True,True,True,True,563634.3640108273,5936237.951124841,566194.3640108273,5938797.951124841,EPSG:32632,data\processed\tiles\train\DE11_Hamburg\images\DE11_r004_c005_image.tif,data\processed\tiles\train\DE11_Hamburg\semantic_masks\DE11_r004_c005_semantic.tif,data\processed\tiles\train\DE11_Hamburg\validity_masks\DE11_r004_c005_validity.tif,94683cc4676d5d6d87c50b6895a2caa4d5a167d75a7a9a94e04fab1b6d1c10ee,d66886272848769bdedcd26e8f9d470c43e2a20919f20fccf95bffe10dcd563c,5e6b735554d6a7c9810ab792663dc9009e6f8f582d1e6e2d8e7284f1d76dc7d9,PASS,metadata\tile_manifests\DE11_tile_manifest.csv,metadata\tile_qa\DE11_tile_qa.json,65536,33957,0.5181427001953125,0.5215174641375597,0.2497862503562494,0.1647297254504575,0.0035466607555654,0.0604198993001678,31579,0,False,False,True,True,True,False,False,4,True,False,True,True,False,False,True,4,True,True,False,False,False,excluded_low_validity,True,restored_city_retention_guard
DE11_r004_c007,DE11,Hamburg,train,4,7,1024,1792,256,256,256,256,0,0.0,32624,0.497802734375,32912,0,14565,8620,7880,494,1065,True,True,True,True,True,568754.3640108273,5936237.951124841,571314.3640108273,5938797.951124841,EPSG:32632,data\processed\tiles\train\DE11_Hamburg\images\DE11_r004_c007_image.tif,data\processed\tiles\train\DE11_Hamburg\semantic_masks\DE11_r004_c007_semantic.tif,data\processed\tiles\train\DE11_Hamburg\validity_masks\DE11_r004_c007_validity.tif,bc003cc992262d790c363604f5f112e5204e7e02e7f764b72c310aa1c02ea432,09b5ae3c866ac9cf616781a27f18ff4ed6e33037528e40765ddbceb4535c4dde,b2514b5f2d5e7fbe2fa2b37e281ad5b57fece0dbb9dd2f7580d67f2017cb8912,PASS,metadata\tile_manifests\DE11_tile_manifest.csv,metadata\tile_qa\DE11_tile_qa.json,65536,32912,0.502197265625,0.446450465914664,0.2642226581657675,0.2415399705738107,0.0151422265816576,0.0326446787641,32624,0,False,False,True,True,True,False,False,3,True,False,True,True,False,False,True,3,True,True,False,False,False,excluded_low_validity,True,restored_city_retention_guard
