tile_id,city_id,city_name,candidate_id,qa_pass,qa_status,qa_failure_count,qa_failures,image_exists,semantic_exists,validity_exists,image_width,image_height,image_bands,semantic_bands,validity_bands,crs,crs_match,transform_match,bounds_match,sar_all_finite,semantic_values,semantic_values_valid,validity_values,validity_values_valid,padding_fraction,padding_pass,valid_pixel_count_recomputed,valid_fraction_recomputed,buildings_pixel_count_recomputed,roads_pixel_count_recomputed,vegetation_pixel_count_recomputed,bare_land_pixel_count_recomputed,water_pixel_count_recomputed,class_accounting_match,manifest_valid_match,manifest_fraction_match
DE01_off128_r000_c005,DE01,Mannheim,DE01_off128_r000_c005,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,35673,0.5443267822265625,9766,6642,18039,37,1189,True,True,True
DE01_off128_r002_c000,DE01,Mannheim,DE01_off128_r002_c000,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,56445,0.8612823486328125,2279,2586,47519,3677,384,True,True,True
DE01_off128_r003_c000,DE01,Mannheim,DE01_off128_r003_c000,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,62016,0.9462890625,334,906,56725,3739,312,True,True,True
DE01_off128_r003_c002,DE01,Mannheim,DE01_off128_r003_c002,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,41288,0.6300048828125,9590,6081,24790,280,547,True,True,True
DE01_off128_r003_c003,DE01,Mannheim,DE01_off128_r003_c003,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,35915,0.5480194091796875,8766,7641,17418,339,1751,True,True,True
DE01_off128_r003_c004,DE01,Mannheim,DE01_off128_r003_c004,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,40243,0.6140594482421875,5986,3914,18895,128,11320,True,True,True
DE01_off128_r003_c005,DE01,Mannheim,DE01_off128_r003_c005,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,38618,0.589263916015625,10814,6438,11381,4252,5733,True,True,True
DE01_off128_r004_c004,DE01,Mannheim,DE01_off128_r004_c004,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,39461,0.6021270751953125,12138,5905,11686,195,9537,True,True,True
DE01_off128_r004_c005,DE01,Mannheim,DE01_off128_r004_c005,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,39264,0.59912109375,14747,7418,9813,483,6803,True,True,True
DE01_off128_r004_c006,DE01,Mannheim,DE01_off128_r004_c006,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,35012,0.53424072265625,13031,8362,11387,2045,187,True,True,True
