split,metric,population,quantile,value,population_tile_count
all,valid_fraction_source_pixels,all_tiles,0.0,0.0,2880
all,valid_fraction_source_pixels,all_tiles,0.25,0.5623435974121094,2880
all,valid_fraction_source_pixels,all_tiles,0.5,0.7364044189453125,2880
all,valid_fraction_source_pixels,all_tiles,0.75,0.8717749222465183,2880
all,valid_fraction_source_pixels,all_tiles,0.9,0.9375473022460937,2880
all,valid_fraction_source_pixels,all_tiles,0.95,0.9609573364257812,2880
all,valid_fraction_source_pixels,all_tiles,0.99,0.9889337158203125,2880
all,valid_fraction_source_pixels,all_tiles,1.0,1.0,2880
all,valid_fraction_source_pixels,positive_tiles,0.0,0.000518798828125,2869
all,valid_fraction_source_pixels,positive_tiles,0.25,0.56463623046875,2869
all,valid_fraction_source_pixels,positive_tiles,0.5,0.737899116847826,2869
all,valid_fraction_source_pixels,positive_tiles,0.75,0.87225341796875,2869
all,valid_fraction_source_pixels,positive_tiles,0.9,0.9377105712890625,2869
all,valid_fraction_source_pixels,positive_tiles,0.95,0.961175537109375,2869
all,valid_fraction_source_pixels,positive_tiles,0.99,0.9890277099609377,2869
all,valid_fraction_source_pixels,positive_tiles,1.0,1.0,2869
all,padding_fraction,all_tiles,0.0,0.0,2880
all,padding_fraction,all_tiles,0.25,0.0,2880
all,padding_fraction,all_tiles,0.5,0.0,2880
all,padding_fraction,all_tiles,0.75,0.0,2880
all,padding_fraction,all_tiles,0.9,0.28125,2880
all,padding_fraction,all_tiles,0.95,0.28125,2880
all,padding_fraction,all_tiles,0.99,0.28125,2880
all,padding_fraction,all_tiles,1.0,0.4833984375,2880
all,padding_fraction,positive_tiles,0.0,0.28125,460
all,padding_fraction,positive_tiles,0.25,0.28125,460
all,padding_fraction,positive_tiles,0.5,0.28125,460
all,padding_fraction,positive_tiles,0.75,0.28125,460
all,padding_fraction,positive_tiles,0.9,0.28125,460
all,padding_fraction,positive_tiles,0.95,0.28125,460
all,padding_fraction,positive_tiles,0.99,0.4833984375,460
all,padding_fraction,positive_tiles,1.0,0.4833984375,460
all,conflict_fraction_source_pixels,all_tiles,0.0,0.0,2880
all,conflict_fraction_source_pixels,all_tiles,0.25,0.02022452976392663,2880
all,conflict_fraction_source_pixels,all_tiles,0.5,0.0456695556640625,2880
all,conflict_fraction_source_pixels,all_tiles,0.75,0.09453682277513586,2880
all,conflict_fraction_source_pixels,all_tiles,0.9,0.1582794189453125,2880
all,conflict_fraction_source_pixels,all_tiles,0.95,0.20501937866210937,2880
all,conflict_fraction_source_pixels,all_tiles,0.99,0.2830801391601563,2880
all,conflict_fraction_source_pixels,all_tiles,1.0,0.5201873779296875,2880
all,conflict_fraction_source_pixels,positive_tiles,0.0,1.52587890625e-05,2865
all,conflict_fraction_source_pixels,positive_tiles,0.25,0.0206146240234375,2865
all,conflict_fraction_source_pixels,positive_tiles,0.5,0.046112060546875,2865
all,conflict_fraction_source_pixels,positive_tiles,0.75,0.09481148097826086,2865
all,conflict_fraction_source_pixels,positive_tiles,0.9,0.1583160400390625,2865
all,conflict_fraction_source_pixels,positive_tiles,0.95,0.2050537109375,2865
all,conflict_fraction_source_pixels,positive_tiles,0.99,0.2831121826171875,2865
all,conflict_fraction_source_pixels,positive_tiles,1.0,0.5201873779296875,2865
all,buildings_fraction_valid,all_tiles,0.0,0.0,2880
all,buildings_fraction_valid,all_tiles,0.25,0.013318956701433982,2880
all,buildings_fraction_valid,all_tiles,0.5,0.05070242839885564,2880
all,buildings_fraction_valid,all_tiles,0.75,0.1466057805444048,2880
all,buildings_fraction_valid,all_tiles,0.9,0.3216849101641612,2880
all,buildings_fraction_valid,all_tiles,0.95,0.4284050519244698,2880
all,buildings_fraction_valid,all_tiles,0.99,0.5705642033690076,2880
all,buildings_fraction_valid,all_tiles,1.0,0.6921718008170475,2880
all,buildings_fraction_valid,positive_tiles,0.0,1.52587890625e-05,2847
all,buildings_fraction_valid,positive_tiles,0.25,0.013948963033693383,2847
all,buildings_fraction_valid,positive_tiles,0.5,0.05197997675873782,2847
all,buildings_fraction_valid,positive_tiles,0.75,0.14810542027896514,2847
all,buildings_fraction_valid,positive_tiles,0.9,0.32729820433711565,2847
all,buildings_fraction_valid,positive_tiles,0.95,0.4292019808055878,2847
all,buildings_fraction_valid,positive_tiles,0.99,0.5711326033335583,2847
all,buildings_fraction_valid,positive_tiles,1.0,0.6921718008170475,2847
all,roads_fraction_valid,all_tiles,0.0,0.0,2880
all,roads_fraction_valid,all_tiles,0.25,0.020131869678571394,2880
all,roads_fraction_valid,all_tiles,0.5,0.04824777672030816,2880
all,roads_fraction_valid,all_tiles,0.75,0.11022597338489891,2880
all,roads_fraction_valid,all_tiles,0.9,0.21134146882261476,2880
all,roads_fraction_valid,all_tiles,0.95,0.265253448209887,2880
all,roads_fraction_valid,all_tiles,0.99,0.33289580773210914,2880
all,roads_fraction_valid,all_tiles,1.0,0.6529884032114184,2880
all,roads_fraction_valid,positive_tiles,0.0,0.00013769257837002586,2856
all,roads_fraction_valid,positive_tiles,0.25,0.020737941869375172,2856
all,roads_fraction_valid,positive_tiles,0.5,0.048864670554681924,2856
all,roads_fraction_valid,positive_tiles,0.75,0.11069728792382756,2856
all,roads_fraction_valid,positive_tiles,0.9,0.21222816860737492,2856
all,roads_fraction_valid,positive_tiles,0.95,0.2652967581222949,2856
all,roads_fraction_valid,positive_tiles,0.99,0.3331875441109382,2856
all,roads_fraction_valid,positive_tiles,1.0,0.6529884032114184,2856
all,vegetation_fraction_valid,all_tiles,0.0,0.0,2880
all,vegetation_fraction_valid,all_tiles,0.25,0.6768909703261038,2880
all,vegetation_fraction_valid,all_tiles,0.5,0.864251848056883,2880
all,vegetation_fraction_valid,all_tiles,0.75,0.9507735746679531,2880
all,vegetation_fraction_valid,all_tiles,0.9,0.9795126789267412,2880
all,vegetation_fraction_valid,all_tiles,0.95,0.9880179753990053,2880
all,vegetation_fraction_valid,all_tiles,0.99,0.9980324314650633,2880
all,vegetation_fraction_valid,all_tiles,1.0,1.0,2880
all,vegetation_fraction_valid,positive_tiles,0.0,0.00033127665741852666,2865
all,vegetation_fraction_valid,positive_tiles,0.25,0.6788101238084804,2865
all,vegetation_fraction_valid,positive_tiles,0.5,0.8650172251800814,2865
all,vegetation_fraction_valid,positive_tiles,0.75,0.9509016155722743,2865
all,vegetation_fraction_valid,positive_tiles,0.9,0.9796412826815366,2865
all,vegetation_fraction_valid,positive_tiles,0.95,0.9880692328901096,2865
all,vegetation_fraction_valid,positive_tiles,0.99,0.998036244993894,2865
all,vegetation_fraction_valid,positive_tiles,1.0,1.0,2865
all,bare_land_fraction_valid,all_tiles,0.0,0.0,2880
all,bare_land_fraction_valid,all_tiles,0.25,0.0,2880
all,bare_land_fraction_valid,all_tiles,0.5,0.0,2880
all,bare_land_fraction_valid,all_tiles,0.75,0.0,2880
all,bare_land_fraction_valid,all_tiles,0.9,0.005842297220111341,2880
all,bare_land_fraction_valid,all_tiles,0.95,0.01922688079109388,2880
all,bare_land_fraction_valid,all_tiles,0.99,0.07602891965903168,2880
all,bare_land_fraction_valid,all_tiles,1.0,0.3695652173913043,2880
all,bare_land_fraction_valid,positive_tiles,0.0,2.0374067886394197e-05,575
all,bare_land_fraction_valid,positive_tiles,0.25,0.0016525799968222419,575
all,bare_land_fraction_valid,positive_tiles,0.5,0.005917824637626877,575
all,bare_land_fraction_valid,positive_tiles,0.75,0.01939415626729713,575
all,bare_land_fraction_valid,positive_tiles,0.9,0.04502498077092656,575
all,bare_land_fraction_valid,positive_tiles,0.95,0.0760337233228565,575
all,bare_land_fraction_valid,positive_tiles,0.99,0.16633385249765328,575
all,bare_land_fraction_valid,positive_tiles,1.0,0.3695652173913043,575
all,water_fraction_valid,all_tiles,0.0,0.0,2880
all,water_fraction_valid,all_tiles,0.25,0.0,2880
all,water_fraction_valid,all_tiles,0.5,0.0011976254653837852,2880
all,water_fraction_valid,all_tiles,0.75,0.02415939233779476,2880
all,water_fraction_valid,all_tiles,0.9,0.10287691708534283,2880
all,water_fraction_valid,all_tiles,0.95,0.20753133312003125,2880
all,water_fraction_valid,all_tiles,0.99,0.49970264298736355,2880
all,water_fraction_valid,all_tiles,1.0,1.0,2880
