split,class_name,minimum_valid_fraction_source_pixels,maximum_padding_fraction,minimum_class_fraction_valid,split_candidate_tiles,coverage_eligible_tiles,qualifying_tiles,qualifying_fraction_of_coverage_eligible,qualifying_city_count
train,buildings,0.25,0.25,0.0,2016,1689,1689,1.0,14
train,buildings,0.25,0.25,0.001,2016,1689,1636,0.9686204854943754,14
train,buildings,0.25,0.25,0.0025,2016,1689,1615,0.9561870929544108,14
train,buildings,0.25,0.25,0.005,2016,1689,1590,0.9413854351687388,14
train,buildings,0.25,0.25,0.01,2016,1689,1510,0.8940201302545885,14
train,buildings,0.25,0.25,0.02,2016,1689,1383,0.8188277087033747,14
train,buildings,0.25,0.25,0.05,2016,1689,1090,0.6453522794552989,14
train,buildings,0.25,0.25,0.1,2016,1689,765,0.45293072824156305,14
train,roads,0.25,0.25,0.0,2016,1689,1689,1.0,14
train,roads,0.25,0.25,0.001,2016,1689,1678,0.9934872705743043,14
train,roads,0.25,0.25,0.0025,2016,1689,1669,0.9881586737714624,14
train,roads,0.25,0.25,0.005,2016,1689,1646,0.9745411486086442,14
train,roads,0.25,0.25,0.01,2016,1689,1601,0.9478981645944345,14
train,roads,0.25,0.25,0.02,2016,1689,1452,0.8596802841918295,14
train,roads,0.25,0.25,0.05,2016,1689,1050,0.6216696269982238,14
train,roads,0.25,0.25,0.1,2016,1689,619,0.3664890467732386,14
train,vegetation,0.25,0.25,0.0,2016,1689,1689,1.0,14
train,vegetation,0.25,0.25,0.001,2016,1689,1688,0.9994079336885732,14
train,vegetation,0.25,0.25,0.0025,2016,1689,1688,0.9994079336885732,14
train,vegetation,0.25,0.25,0.005,2016,1689,1687,0.9988158673771462,14
train,vegetation,0.25,0.25,0.01,2016,1689,1685,0.9976317347542925,14
train,vegetation,0.25,0.25,0.02,2016,1689,1684,0.9970396684428656,14
train,vegetation,0.25,0.25,0.05,2016,1689,1667,0.9869745411486086,14
train,vegetation,0.25,0.25,0.1,2016,1689,1639,0.970396684428656,14
train,bare_land,0.25,0.25,0.0,2016,1689,1689,1.0,14
train,bare_land,0.25,0.25,0.001,2016,1689,315,0.18650088809946713,14
train,bare_land,0.25,0.25,0.0025,2016,1689,273,0.16163410301953818,14
train,bare_land,0.25,0.25,0.005,2016,1689,204,0.12078152753108348,14
train,bare_land,0.25,0.25,0.01,2016,1689,150,0.08880994671403197,14
train,bare_land,0.25,0.25,0.02,2016,1689,94,0.055654233274126705,14
train,bare_land,0.25,0.25,0.05,2016,1689,38,0.022498519834221433,13
train,bare_land,0.25,0.25,0.1,2016,1689,12,0.007104795737122558,6
train,water,0.25,0.25,0.0,2016,1689,1689,1.0,14
train,water,0.25,0.25,0.001,2016,1689,947,0.5606867969212552,14
train,water,0.25,0.25,0.0025,2016,1689,879,0.5204262877442274,14
train,water,0.25,0.25,0.005,2016,1689,779,0.46121965660153935,14
train,water,0.25,0.25,0.01,2016,1689,659,0.3901716992303138,14
train,water,0.25,0.25,0.02,2016,1689,544,0.32208407341622264,14
train,water,0.25,0.25,0.05,2016,1689,325,0.19242155121373594,14
train,water,0.25,0.25,0.1,2016,1689,195,0.11545293072824156,13
train,buildings,0.4,0.25,0.0,2016,1554,1554,1.0,14
train,buildings,0.4,0.25,0.001,2016,1554,1501,0.9658944658944659,14
train,buildings,0.4,0.25,0.0025,2016,1554,1480,0.9523809523809523,14
train,buildings,0.4,0.25,0.005,2016,1554,1455,0.9362934362934363,14
train,buildings,0.4,0.25,0.01,2016,1554,1375,0.8848133848133848,14
train,buildings,0.4,0.25,0.02,2016,1554,1248,0.803088803088803,14
train,buildings,0.4,0.25,0.05,2016,1554,959,0.6171171171171171,14
train,buildings,0.4,0.25,0.1,2016,1554,639,0.4111969111969112,14
train,roads,0.4,0.25,0.0,2016,1554,1554,1.0,14
train,roads,0.4,0.25,0.001,2016,1554,1543,0.9929214929214929,14
train,roads,0.4,0.25,0.0025,2016,1554,1534,0.9871299871299871,14
train,roads,0.4,0.25,0.005,2016,1554,1511,0.9723294723294723,14
train,roads,0.4,0.25,0.01,2016,1554,1466,0.9433719433719434,14
train,roads,0.4,0.25,0.02,2016,1554,1317,0.8474903474903475,14
train,roads,0.4,0.25,0.05,2016,1554,918,0.5907335907335908,14
train,roads,0.4,0.25,0.1,2016,1554,495,0.3185328185328185,14
train,vegetation,0.4,0.25,0.0,2016,1554,1554,1.0,14
train,vegetation,0.4,0.25,0.001,2016,1554,1554,1.0,14
train,vegetation,0.4,0.25,0.0025,2016,1554,1554,1.0,14
train,vegetation,0.4,0.25,0.005,2016,1554,1553,0.9993564993564994,14
train,vegetation,0.4,0.25,0.01,2016,1554,1553,0.9993564993564994,14
train,vegetation,0.4,0.25,0.02,2016,1554,1552,0.9987129987129987,14
train,vegetation,0.4,0.25,0.05,2016,1554,1540,0.990990990990991,14
train,vegetation,0.4,0.25,0.1,2016,1554,1521,0.9787644787644788,14
train,bare_land,0.4,0.25,0.0,2016,1554,1554,1.0,14
train,bare_land,0.4,0.25,0.001,2016,1554,293,0.18854568854568854,14
train,bare_land,0.4,0.25,0.0025,2016,1554,255,0.1640926640926641,14
train,bare_land,0.4,0.25,0.005,2016,1554,189,0.12162162162162163,14
train,bare_land,0.4,0.25,0.01,2016,1554,141,0.09073359073359073,14
train,bare_land,0.4,0.25,0.02,2016,1554,90,0.05791505791505792,14
train,bare_land,0.4,0.25,0.05,2016,1554,36,0.023166023166023165,12
train,bare_land,0.4,0.25,0.1,2016,1554,12,0.007722007722007722,6
train,water,0.4,0.25,0.0,2016,1554,1554,1.0,14
train,water,0.4,0.25,0.001,2016,1554,857,0.5514800514800515,14
train,water,0.4,0.25,0.0025,2016,1554,792,0.5096525096525096,14
train,water,0.4,0.25,0.005,2016,1554,698,0.4491634491634492,14
train,water,0.4,0.25,0.01,2016,1554,593,0.3815958815958816,14
train,water,0.4,0.25,0.02,2016,1554,491,0.315958815958816,14
train,water,0.4,0.25,0.05,2016,1554,300,0.19305019305019305,14
train,water,0.4,0.25,0.1,2016,1554,181,0.11647361647361647,13
train,buildings,0.5,0.25,0.0,2016,1312,1312,1.0,14
train,buildings,0.5,0.25,0.001,2016,1312,1260,0.9603658536585366,14
train,buildings,0.5,0.25,0.0025,2016,1312,1240,0.9451219512195121,14
train,buildings,0.5,0.25,0.005,2016,1312,1215,0.9260670731707317,14
train,buildings,0.5,0.25,0.01,2016,1312,1136,0.8658536585365854,14
train,buildings,0.5,0.25,0.02,2016,1312,1010,0.7698170731707317,14
train,buildings,0.5,0.25,0.05,2016,1312,725,0.5525914634146342,14
train,buildings,0.5,0.25,0.1,2016,1312,411,0.3132621951219512,14
train,roads,0.5,0.25,0.0,2016,1312,1312,1.0,14
train,roads,0.5,0.25,0.001,2016,1312,1301,0.9916158536585366,14
train,roads,0.5,0.25,0.0025,2016,1312,1292,0.9847560975609756,14
train,roads,0.5,0.25,0.005,2016,1312,1269,0.9672256097560976,14
train,roads,0.5,0.25,0.01,2016,1312,1224,0.9329268292682927,14
train,roads,0.5,0.25,0.02,2016,1312,1076,0.8201219512195121,14
train,roads,0.5,0.25,0.05,2016,1312,683,0.520579268292683,14
train,roads,0.5,0.25,0.1,2016,1312,267,0.2035060975609756,14
train,vegetation,0.5,0.25,0.0,2016,1312,1312,1.0,14
train,vegetation,0.5,0.25,0.001,2016,1312,1312,1.0,14
train,vegetation,0.5,0.25,0.0025,2016,1312,1312,1.0,14
train,vegetation,0.5,0.25,0.005,2016,1312,1312,1.0,14
train,vegetation,0.5,0.25,0.01,2016,1312,1312,1.0,14
train,vegetation,0.5,0.25,0.02,2016,1312,1311,0.9992378048780488,14
train,vegetation,0.5,0.25,0.05,2016,1312,1307,0.9961890243902439,14
train,vegetation,0.5,0.25,0.1,2016,1312,1302,0.9923780487804879,14
train,bare_land,0.5,0.25,0.0,2016,1312,1312,1.0,14
train,bare_land,0.5,0.25,0.001,2016,1312,235,0.17911585365853658,14
train,bare_land,0.5,0.25,0.0025,2016,1312,203,0.15472560975609756,14
train,bare_land,0.5,0.25,0.005,2016,1312,150,0.11432926829268293,14
train,bare_land,0.5,0.25,0.01,2016,1312,116,0.08841463414634146,14
train,bare_land,0.5,0.25,0.02,2016,1312,78,0.05945121951219512,13
train,bare_land,0.5,0.25,0.05,2016,1312,30,0.022865853658536585,10
train,bare_land,0.5,0.25,0.1,2016,1312,11,0.008384146341463415,5
train,water,0.5,0.25,0.0,2016,1312,1312,1.0,14
train,water,0.5,0.25,0.001,2016,1312,688,0.524390243902439,14
train,water,0.5,0.25,0.0025,2016,1312,627,0.47789634146341464,14
train,water,0.5,0.25,0.005,2016,1312,547,0.4169207317073171,14
train,water,0.5,0.25,0.01,2016,1312,462,0.3521341463414634,14
train,water,0.5,0.25,0.02,2016,1312,380,0.2896341463414634,14
train,water,0.5,0.25,0.05,2016,1312,227,0.17301829268292682,14
train,water,0.5,0.25,0.1,2016,1312,136,0.10365853658536585,12
train,buildings,0.6,0.25,0.0,2016,1081,1081,1.0,14
train,buildings,0.6,0.25,0.001,2016,1081,1030,0.9528214616096207,14
train,buildings,0.6,0.25,0.0025,2016,1081,1010,0.9343200740055504,14
train,buildings,0.6,0.25,0.005,2016,1081,985,0.9111933395004626,14
train,buildings,0.6,0.25,0.01,2016,1081,907,0.8390379278445883,14
train,buildings,0.6,0.25,0.02,2016,1081,781,0.7224791859389454,14
train,buildings,0.6,0.25,0.05,2016,1081,507,0.4690101757631822,14
train,buildings,0.6,0.25,0.1,2016,1081,212,0.19611470860314523,14
train,roads,0.6,0.25,0.0,2016,1081,1081,1.0,14
train,roads,0.6,0.25,0.001,2016,1081,1071,0.9907493061979649,14
train,roads,0.6,0.25,0.0025,2016,1081,1062,0.9824236817761333,14
train,roads,0.6,0.25,0.005,2016,1081,1039,0.9611470860314524,14
train,roads,0.6,0.25,0.01,2016,1081,994,0.9195189639222942,14
train,roads,0.6,0.25,0.02,2016,1081,846,0.782608695652174,14
train,roads,0.6,0.25,0.05,2016,1081,466,0.43108233117483813,14
train,roads,0.6,0.25,0.1,2016,1081,81,0.07493061979648474,12
train,vegetation,0.6,0.25,0.0,2016,1081,1081,1.0,14
train,vegetation,0.6,0.25,0.001,2016,1081,1081,1.0,14
train,vegetation,0.6,0.25,0.0025,2016,1081,1081,1.0,14
train,vegetation,0.6,0.25,0.005,2016,1081,1081,1.0,14
train,vegetation,0.6,0.25,0.01,2016,1081,1081,1.0,14
train,vegetation,0.6,0.25,0.02,2016,1081,1081,1.0,14
train,vegetation,0.6,0.25,0.05,2016,1081,1081,1.0,14
train,vegetation,0.6,0.25,0.1,2016,1081,1081,1.0,14
train,bare_land,0.6,0.25,0.0,2016,1081,1081,1.0,14
train,bare_land,0.6,0.25,0.001,2016,1081,187,0.17298797409805736,14
train,bare_land,0.6,0.25,0.0025,2016,1081,162,0.1498612395929695,14
train,bare_land,0.6,0.25,0.005,2016,1081,120,0.11100832562442182,14
train,bare_land,0.6,0.25,0.01,2016,1081,95,0.08788159111933395,14
train,bare_land,0.6,0.25,0.02,2016,1081,62,0.05735430157261795,13
train,bare_land,0.6,0.25,0.05,2016,1081,23,0.02127659574468085,10
train,bare_land,0.6,0.25,0.1,2016,1081,8,0.0074005550416281225,5
train,water,0.6,0.25,0.0,2016,1081,1081,1.0,14
train,water,0.6,0.25,0.001,2016,1081,534,0.4939870490286771,14
train,water,0.6,0.25,0.0025,2016,1081,481,0.44495837187789083,14
train,water,0.6,0.25,0.005,2016,1081,424,0.39222941720629045,14
train,water,0.6,0.25,0.01,2016,1081,352,0.32562442183163737,14
train,water,0.6,0.25,0.02,2016,1081,286,0.2645698427382054,14
train,water,0.6,0.25,0.05,2016,1081,164,0.1517113783533765,14
train,water,0.6,0.25,0.1,2016,1081,97,0.08973172987974098,12
train,buildings,0.7,0.25,0.0,2016,792,792,1.0,14
train,buildings,0.7,0.25,0.001,2016,792,742,0.9368686868686869,14
train,buildings,0.7,0.25,0.0025,2016,792,722,0.9116161616161617,14
train,buildings,0.7,0.25,0.005,2016,792,698,0.8813131313131313,14
train,buildings,0.7,0.25,0.01,2016,792,622,0.7853535353535354,14
train,buildings,0.7,0.25,0.02,2016,792,499,0.6300505050505051,14
train,buildings,0.7,0.25,0.05,2016,792,245,0.30934343434343436,14
train,buildings,0.7,0.25,0.1,2016,792,44,0.05555555555555555,13
train,roads,0.7,0.25,0.0,2016,792,792,1.0,14
