selection_rank_global,selection_rank_within_split,tile_id,city_id,city_name,split,tile_row,tile_col,row_offset,col_offset,tile_size,stride,source_width_pixels,source_height_pixels,source_pixel_count,padding_pixel_count,padding_fraction,valid_pixel_count,valid_fraction_all_pixels,valid_fraction_source_pixels,ignore_pixel_count,ignore_fraction_source_pixels,conflict_pixel_count,conflict_fraction_source_pixels,buildings_pixel_count,buildings_fraction_valid,buildings_fraction_source_pixels,roads_pixel_count,roads_fraction_valid,roads_fraction_source_pixels,vegetation_pixel_count,vegetation_fraction_valid,vegetation_fraction_source_pixels,bare_land_pixel_count,bare_land_fraction_valid,bare_land_fraction_source_pixels,water_pixel_count,water_fraction_valid,water_fraction_source_pixels,support_1_pixel_count,support_1_fraction_valid,support_2_pixel_count,support_2_fraction_valid,support_3_pixel_count,support_3_fraction_valid,provenance_1_pixel_count,provenance_2_pixel_count,provenance_3_pixel_count,provenance_4_pixel_count,provenance_5_pixel_count,provenance_6_pixel_count,provenance_7_pixel_count,bounds_left,bounds_bottom,bounds_right,bounds_top,crs,source_sar_path,source_semantic_path,source_validity_path,source_provenance_path,source_support_path,source_conflict_path,coverage_eligible,rule_buildings,rule_roads,rule_bare_land,rule_water,selected,selection_reason,rejection_reason,image_path,semantic_mask_path,validity_mask_path,provenance_mask_path,support_mask_path,conflict_mask_path,materialization_status,image_sha256,semantic_sha256,validity_sha256,provenance_sha256,support_sha256,conflict_sha256,tile_qa_status
1326,1,DE18_r000_c000,DE18,Freiburg,test,0,0,0,0,256,256,256,256,65536,0,0.0,62900,0.95977783203125,0.95977783203125,2636,0.04022216796875,2223,0.0339202880859375,1111,0.0176629570747217,0.0169525146484375,1000,0.0158982511923688,0.0152587890625,60789,0.9664387917329094,0.9275665283203124,0,0.0,0.0,0,0.0,0.0,704,0.0111923688394276,41616,0.6616216216216216,20580,0.3271860095389507,704,0,1136,0,40455,25,20580,398624.80418092455,5329277.716426666,401184.80418092455,5331837.716426666,EPSG:32632,data\processed\sar\DE18_Freiburg\DE18_Freiburg_S1_VV_VH.tif,data\interim\labels_v3\fused\DE18\DE18_v3_semantic.tif,data\interim\labels_v3\fused\DE18\DE18_v3_validity.tif,data\interim\labels_v3\fused\DE18\DE18_v3_provenance.tif,data\interim\labels_v3\fused\DE18\DE18_v3_support_count.tif,data\interim\labels_v3\fused\DE18\DE18_v3_source_conflict.tif,True,False,False,False,False,True,coverage_only_evaluation,,data\processed\dataset_v3\tiles\test\DE18_Freiburg\images\DE18_r000_c000_image.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\semantic_masks\DE18_r000_c000_semantic.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\validity_masks\DE18_r000_c000_validity.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\provenance_masks\DE18_r000_c000_provenance.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\support_masks\DE18_r000_c000_support.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\conflict_masks\DE18_r000_c000_conflict.tif,PASS,0a25b0d075a5930127f25b02c0b962bcb61fc811864da9771e2f58568a8da9a3,d2db83d3a341542a884570e798848b03a5e60b5b1ffd475da579d517454d6d84,ed0b89969596629ecb46e4be0e22655ff5cd97084e8ff459626b4e890aaa9457,7a525b198ae0a63cd953fa840f705a0d30683f789a64d10089512a5618a0ff50,3ec4ab41d95264b759933e3e031b2000a219a10e73acbc6b662789722d0ea265,ba441173113053fd67ea3135f39c23d8eab799b1a1559b265ab0a1a6297a3914,PASS
1327,2,DE18_r000_c001,DE18,Freiburg,test,0,1,0,256,256,256,256,256,65536,0,0.0,63935,0.9755706787109376,0.9755706787109376,1601,0.0244293212890625,1050,0.016021728515625,400,0.0062563541096426,0.006103515625,613,0.0095878626730272,0.0093536376953125,62922,0.98415578321733,0.960113525390625,0,0.0,0.0,0,0.0,0.0,485,0.0075858293579416,20270,0.317040744506139,43180,0.6753734261359193,485,0,410,0,19759,101,43180,401184.80418092455,5329277.716426666,403744.80418092455,5331837.716426666,EPSG:32632,data\processed\sar\DE18_Freiburg\DE18_Freiburg_S1_VV_VH.tif,data\interim\labels_v3\fused\DE18\DE18_v3_semantic.tif,data\interim\labels_v3\fused\DE18\DE18_v3_validity.tif,data\interim\labels_v3\fused\DE18\DE18_v3_provenance.tif,data\interim\labels_v3\fused\DE18\DE18_v3_support_count.tif,data\interim\labels_v3\fused\DE18\DE18_v3_source_conflict.tif,True,False,False,False,False,True,coverage_only_evaluation,,data\processed\dataset_v3\tiles\test\DE18_Freiburg\images\DE18_r000_c001_image.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\semantic_masks\DE18_r000_c001_semantic.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\validity_masks\DE18_r000_c001_validity.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\provenance_masks\DE18_r000_c001_provenance.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\support_masks\DE18_r000_c001_support.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\conflict_masks\DE18_r000_c001_conflict.tif,PASS,fe4fc5ff703eeb7faccd787984afc81d8a4b361749811ed50ec9796c6274c39d,01eb93009d3b633edb8958de9577085701e320953fbe2d6e3a15b1efcecaf6a9,4c3156e4e2069316854312ec79f53b6a416387e44f79d5d90546de1d4e1fb4f7,925e568f4df6235f6e79303fc0ae3b5243762983ea4bdcfd3f961f0ab74e689f,4c9e2bf1c11ab1720dd2536556be33f5c7e4274b3b2a8a2fbf9fd4ad63074db7,fb4f434480e0b916cf6ee495de3b4e9e5a729502cae69967e81d13a0d72876ed,PASS
1328,3,DE18_r000_c002,DE18,Freiburg,test,0,2,0,512,256,256,256,256,65536,0,0.0,60789,0.9275665283203124,0.9275665283203124,4747,0.0724334716796875,3148,0.04803466796875,1706,0.0280642879468324,0.026031494140625,1494,0.0245768148842718,0.022796630859375,57588,0.9473424468242608,0.87872314453125,0,0.0,0.0,1,1.6450344634720098e-05,1.52587890625e-05,1144,0.0188191942621197,54514,0.8967740874171314,5131,0.0844067183207488,1144,0,1622,0,52833,59,5131,403744.80418092455,5329277.716426666,406304.80418092455,5331837.716426666,EPSG:32632,data\processed\sar\DE18_Freiburg\DE18_Freiburg_S1_VV_VH.tif,data\interim\labels_v3\fused\DE18\DE18_v3_semantic.tif,data\interim\labels_v3\fused\DE18\DE18_v3_validity.tif,data\interim\labels_v3\fused\DE18\DE18_v3_provenance.tif,data\interim\labels_v3\fused\DE18\DE18_v3_support_count.tif,data\interim\labels_v3\fused\DE18\DE18_v3_source_conflict.tif,True,False,False,False,False,True,coverage_only_evaluation,,data\processed\dataset_v3\tiles\test\DE18_Freiburg\images\DE18_r000_c002_image.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\semantic_masks\DE18_r000_c002_semantic.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\validity_masks\DE18_r000_c002_validity.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\provenance_masks\DE18_r000_c002_provenance.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\support_masks\DE18_r000_c002_support.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\conflict_masks\DE18_r000_c002_conflict.tif,PASS,db9180b76331615f607db3cf915a0f9247b3103413615dce1c489d4e4bb86aee,273974647ffc417c4d316279cfe0fed8641f38a8fdc7c80877886422e5cbb548,c0a3a0e43901b3580d2d2162aba6ce4ff8cde6d4d42f198fd7adb7a407217368,e3696050a3c79a9391770d0cd51826d74f275fd1d5c0634d02f934c2934be60b,dd8c24e00e9bf65a6708747ab60840914af3ae8bdf68e3cfdb1e239cd12e70d6,f9826688f9e8aa53212a37e260a697d858d863fe9db0ea9abfe14e21d0f3eeb6,PASS
1329,4,DE18_r000_c003,DE18,Freiburg,test,0,3,0,768,256,256,256,256,65536,0,0.0,56386,0.860382080078125,0.860382080078125,9150,0.139617919921875,4417,0.0673980712890625,2147,0.0380768275813145,0.0327606201171875,1337,0.0237115596069946,0.0204010009765625,52517,0.9313836767992056,0.8013458251953125,0,0.0,0.0,385,0.0068279360124853,0.0058746337890625,1058,0.0187635228602844,49892,0.8848295676231689,5436,0.0964069095165466,1058,0,1994,0,47880,18,5436,406304.80418092455,5329277.716426666,408864.80418092455,5331837.716426666,EPSG:32632,data\processed\sar\DE18_Freiburg\DE18_Freiburg_S1_VV_VH.tif,data\interim\labels_v3\fused\DE18\DE18_v3_semantic.tif,data\interim\labels_v3\fused\DE18\DE18_v3_validity.tif,data\interim\labels_v3\fused\DE18\DE18_v3_provenance.tif,data\interim\labels_v3\fused\DE18\DE18_v3_support_count.tif,data\interim\labels_v3\fused\DE18\DE18_v3_source_conflict.tif,True,False,False,False,False,True,coverage_only_evaluation,,data\processed\dataset_v3\tiles\test\DE18_Freiburg\images\DE18_r000_c003_image.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\semantic_masks\DE18_r000_c003_semantic.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\validity_masks\DE18_r000_c003_validity.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\provenance_masks\DE18_r000_c003_provenance.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\support_masks\DE18_r000_c003_support.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\conflict_masks\DE18_r000_c003_conflict.tif,PASS,1b97d32d3fc053653d8da01cf5f66dd929d33c60d35314485939df78933d90d7,e5dccd4e2b61414d7530425537787effb6714aea8a62a901d03037aef4f3ed86,0202eeb048b8c5d49e2691a1b6c2a98d5817ba39e17fe6904c3ad1ba44061433,25f6be640d1174b271e515190ed840f3e5684ec457b5a6e08e1a0687b8cd62dc,a6c1b9a6baa66242189ba93418b6b64c4906f8a2f822e06c9f819b557d800b29,5372352125e0036d6ce79a7869f53bf243451c914a9a19bd428fcff30e5e9fa2,PASS
1330,5,DE18_r000_c004,DE18,Freiburg,test,0,4,0,1024,256,256,256,256,65536,0,0.0,53008,0.808837890625,0.808837890625,12528,0.191162109375,4074,0.062164306640625,2397,0.0452195894959251,0.0365753173828125,2061,0.0388809236341684,0.0314483642578125,45942,0.8666993661334138,0.701019287109375,0,0.0,0.0,2608,0.0492001207364926,0.039794921875,1282,0.0241850286749169,31794,0.5997962571687292,19932,0.3760187141563537,1282,0,2503,0,28424,867,19932,408864.80418092455,5329277.716426666,411424.80418092455,5331837.716426666,EPSG:32632,data\processed\sar\DE18_Freiburg\DE18_Freiburg_S1_VV_VH.tif,data\interim\labels_v3\fused\DE18\DE18_v3_semantic.tif,data\interim\labels_v3\fused\DE18\DE18_v3_validity.tif,data\interim\labels_v3\fused\DE18\DE18_v3_provenance.tif,data\interim\labels_v3\fused\DE18\DE18_v3_support_count.tif,data\interim\labels_v3\fused\DE18\DE18_v3_source_conflict.tif,True,False,False,False,False,True,coverage_only_evaluation,,data\processed\dataset_v3\tiles\test\DE18_Freiburg\images\DE18_r000_c004_image.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\semantic_masks\DE18_r000_c004_semantic.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\validity_masks\DE18_r000_c004_validity.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\provenance_masks\DE18_r000_c004_provenance.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\support_masks\DE18_r000_c004_support.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\conflict_masks\DE18_r000_c004_conflict.tif,PASS,72cb04ad02be6089550957dbfe3b0b866609c2f6cdd69379bb98d01f9d453ee9,ed29bcee08f5ea68be43c5826c5fab1694f99a96851760d730a1a04ea08a034d,83c91a5922afcdbab39f1e5772fad66a8a7fdc94993a53c0028a6f3c33a72f7d,ad6b92e754c5ec528f2007a3074f36e18546230a95c6c8f80b5232e2a1503635,284ee51acb04052078c32c4479a0f1858d97f174c959a3c7bd99090ced293654,5fbf87d421a3ea7a31e6cc067fae49f443b88c798b75e495033f92e0e8415f0b,PASS
1331,6,DE18_r000_c005,DE18,Freiburg,test,0,5,0,1280,256,256,256,256,65536,0,0.0,46376,0.7076416015625,0.7076416015625,19160,0.2923583984375,8171,0.1246795654296875,5483,0.1182292565119889,0.0836639404296875,3595,0.0775185440745213,0.0548553466796875,36898,0.7956270484733483,0.563018798828125,0,0.0,0.0,400,0.0086251509401414,0.006103515625,2564,0.0552872175263067,34792,0.7502156287735036,9020,0.1944971537001897,2564,0,5427,0,29185,180,9020,411424.80418092455,5329277.716426666,413984.80418092455,5331837.716426666,EPSG:32632,data\processed\sar\DE18_Freiburg\DE18_Freiburg_S1_VV_VH.tif,data\interim\labels_v3\fused\DE18\DE18_v3_semantic.tif,data\interim\labels_v3\fused\DE18\DE18_v3_validity.tif,data\interim\labels_v3\fused\DE18\DE18_v3_provenance.tif,data\interim\labels_v3\fused\DE18\DE18_v3_support_count.tif,data\interim\labels_v3\fused\DE18\DE18_v3_source_conflict.tif,True,True,True,False,False,True,coverage_only_evaluation,,data\processed\dataset_v3\tiles\test\DE18_Freiburg\images\DE18_r000_c005_image.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\semantic_masks\DE18_r000_c005_semantic.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\validity_masks\DE18_r000_c005_validity.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\provenance_masks\DE18_r000_c005_provenance.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\support_masks\DE18_r000_c005_support.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\conflict_masks\DE18_r000_c005_conflict.tif,PASS,4eec5a7adb2eca83cf7bd5e0812269b820edc6e4526f74823a081040959f2266,a85484d0e5edd864ce2fa9208ec1c54d38f868a42db308582d31ebf65afb05d7,746264a7bbcb64185830e0a472d496b7175e3c648f2d813fb61b6f9617d549d3,356a5cd0d01d583d8fefc7f2cb0c68aec7c8867f67cd15c44065e2376290d1c4,3efb667c3039d712388ef92eed2519923ea41252e569e0aaa137d6551665be95,0b6bc327fa18462ba9dd02b89c33d80a5f25ce134bde7737eb28efe151820d47,PASS
1332,7,DE18_r000_c006,DE18,Freiburg,test,0,6,0,1536,256,256,256,256,65536,0,0.0,47055,0.7180023193359375,0.7180023193359375,18481,0.2819976806640625,9239,0.1409759521484375,6173,0.131186908936351,0.0941925048828125,4315,0.0917012007225587,0.0658416748046875,36419,0.7739666347890766,0.5557098388671875,0,0.0,0.0,148,0.0031452555520136,0.00225830078125,3638,0.0773137817447667,22052,0.4686430772500266,21365,0.4540431410052066,3638,0,6067,0,15444,541,21365,413984.80418092455,5329277.716426666,416544.80418092455,5331837.716426666,EPSG:32632,data\processed\sar\DE18_Freiburg\DE18_Freiburg_S1_VV_VH.tif,data\interim\labels_v3\fused\DE18\DE18_v3_semantic.tif,data\interim\labels_v3\fused\DE18\DE18_v3_validity.tif,data\interim\labels_v3\fused\DE18\DE18_v3_provenance.tif,data\interim\labels_v3\fused\DE18\DE18_v3_support_count.tif,data\interim\labels_v3\fused\DE18\DE18_v3_source_conflict.tif,True,True,True,False,False,True,coverage_only_evaluation,,data\processed\dataset_v3\tiles\test\DE18_Freiburg\images\DE18_r000_c006_image.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\semantic_masks\DE18_r000_c006_semantic.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\validity_masks\DE18_r000_c006_validity.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\provenance_masks\DE18_r000_c006_provenance.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\support_masks\DE18_r000_c006_support.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\conflict_masks\DE18_r000_c006_conflict.tif,PASS,96db86159b8fb4f81094ae1817c9a40f8bf17c5bb14ede9b83d26d4b7f0ded4c,425be954e853b258a15e4f3b0ee60c17d2f91657727f12a596dc570e9d133fa7,8b85c9d8d25044a0884dc8866c897a2426a75d55f0ee874c388d0131416f488e,286dc49abb96ece0ab074d55b9b8d25319ca96ca8cd445ae0abb2d80f721ef19,bdba0aa3298cd3a75433c7535c9a548b49828bae3461a066c7810fe5d708a8d1,94c1a161b0eaeab8be5aa542151f07bdec7ae5965a3df7364d4f7d649c8e1b53,PASS
1333,8,DE18_r000_c007,DE18,Freiburg,test,0,7,0,1792,256,256,256,256,65536,0,0.0,57874,0.883087158203125,0.883087158203125,7662,0.116912841796875,3490,0.053253173828125,1285,0.0222034074022877,0.0196075439453125,1694,0.0292704841552337,0.025848388671875,54895,0.9485261084424784,0.8376312255859375,0,0.0,0.0,0,0.0,0.0,1588,0.0274389190309983,42830,0.7400559836887031,13456,0.2325050972802985,1588,0,1122,0,41674,34,13456,416544.80418092455,5329277.716426666,419104.80418092455,5331837.716426666,EPSG:32632,data\processed\sar\DE18_Freiburg\DE18_Freiburg_S1_VV_VH.tif,data\interim\labels_v3\fused\DE18\DE18_v3_semantic.tif,data\interim\labels_v3\fused\DE18\DE18_v3_validity.tif,data\interim\labels_v3\fused\DE18\DE18_v3_provenance.tif,data\interim\labels_v3\fused\DE18\DE18_v3_support_count.tif,data\interim\labels_v3\fused\DE18\DE18_v3_source_conflict.tif,True,False,False,False,False,True,coverage_only_evaluation,,data\processed\dataset_v3\tiles\test\DE18_Freiburg\images\DE18_r000_c007_image.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\semantic_masks\DE18_r000_c007_semantic.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\validity_masks\DE18_r000_c007_validity.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\provenance_masks\DE18_r000_c007_provenance.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\support_masks\DE18_r000_c007_support.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\conflict_masks\DE18_r000_c007_conflict.tif,PASS,6442b6737bc57e460e69da2a8037c25b9c6afafac13ef43cdc6c683d94e0094f,782e5a2e230e13113c32b037ab11874c2f4c42ccf1e68eb4e111437df53ca3ce,53e8b465f53ce925d3e7c5c7c4c7e62ebe8613fb1dd050390a877c896335bf48,11d1b822137fceff57bc4ac3c09fca0eb1204bada3710ffa317e92c595806b40,4e355abe375d696768300040f57dff69b915705f0e42866ced088c0fdb4b88fe,0ae4e20d6855edb9841d2e363c273143cb8fc2838e351d598b1ef79cda918554,PASS
1334,9,DE18_r000_c008,DE18,Freiburg,test,0,8,0,2048,256,256,256,256,65536,0,0.0,64471,0.9837493896484376,0.9837493896484376,1065,0.0162506103515625,388,0.00592041015625,93,0.00144250903507,0.0014190673828125,299,0.0046377441019993,0.0045623779296875,64079,0.9939197468629306,0.9777679443359376,0,0.0,0.0,0,0.0,0.0,300,0.0046532549518388,10216,0.158458841959951,53955,0.8368879030882101,300,0,45,0,9931,240,53955,419104.80418092455,5329277.716426666,421664.80418092455,5331837.716426666,EPSG:32632,data\processed\sar\DE18_Freiburg\DE18_Freiburg_S1_VV_VH.tif,data\interim\labels_v3\fused\DE18\DE18_v3_semantic.tif,data\interim\labels_v3\fused\DE18\DE18_v3_validity.tif,data\interim\labels_v3\fused\DE18\DE18_v3_provenance.tif,data\interim\labels_v3\fused\DE18\DE18_v3_support_count.tif,data\interim\labels_v3\fused\DE18\DE18_v3_source_conflict.tif,True,False,False,False,False,True,coverage_only_evaluation,,data\processed\dataset_v3\tiles\test\DE18_Freiburg\images\DE18_r000_c008_image.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\semantic_masks\DE18_r000_c008_semantic.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\validity_masks\DE18_r000_c008_validity.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\provenance_masks\DE18_r000_c008_provenance.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\support_masks\DE18_r000_c008_support.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\conflict_masks\DE18_r000_c008_conflict.tif,PASS,6c2796ad7edfd44470dcca2d3ed014f7fabb12b2126ecb13594c65a473241922,d7318c1ccd2dad853626ed57021dd937bc1caac3c7347630039e38225c2c20c4,9540bb6f341b58619ead3afc3f26ded53590c9a7e2bf7241c043df29d3107e84,8c8a6b277a92c405bc956a26e44033306d84f2d96cc93da920485b41e577f598,87c111e628b24522805cd4934de3b653c02c591387e6a8236dddd8622744dc11,fd55ce97407db30095a90400b81de577a59b7e6ee67b2eeb2861ff1d5344828a,PASS
1335,10,DE18_r000_c009,DE18,Freiburg,test,0,9,0,2304,256,256,256,256,65536,0,0.0,64096,0.97802734375,0.97802734375,1440,0.02197265625,587,0.0089569091796875,261,0.0040720169745381,0.0039825439453125,579,0.0090333250124812,0.0088348388671875,63256,0.9868946580129804,0.9652099609375,0,0.0,0.0,0,0.0,0.0,557,0.0086900898652021,13108,0.2045057413879181,50431,0.7868041687468796,557,0,245,0,12721,142,50431,421664.80418092455,5329277.716426666,424224.80418092455,5331837.716426666,EPSG:32632,data\processed\sar\DE18_Freiburg\DE18_Freiburg_S1_VV_VH.tif,data\interim\labels_v3\fused\DE18\DE18_v3_semantic.tif,data\interim\labels_v3\fused\DE18\DE18_v3_validity.tif,data\interim\labels_v3\fused\DE18\DE18_v3_provenance.tif,data\interim\labels_v3\fused\DE18\DE18_v3_support_count.tif,data\interim\labels_v3\fused\DE18\DE18_v3_source_conflict.tif,True,False,False,False,False,True,coverage_only_evaluation,,data\processed\dataset_v3\tiles\test\DE18_Freiburg\images\DE18_r000_c009_image.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\semantic_masks\DE18_r000_c009_semantic.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\validity_masks\DE18_r000_c009_validity.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\provenance_masks\DE18_r000_c009_provenance.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\support_masks\DE18_r000_c009_support.tif,data\processed\dataset_v3\tiles\test\DE18_Freiburg\conflict_masks\DE18_r000_c009_conflict.tif,PASS,5395122f4af24db363566b506fde18bb582f630033477261a56916e8a36b3730,977b36d3aa1cdd5ffb51a837ac39649769275d40850f0ab62abdb4809b3d422e,cc19d5591d529346c43956d27e5b1bce5fe1602aa9386ffd0b2d706ffb1aeb92,89e2c78b4e2e217066729de9de22dfe822af1b026f72ab5d0fb6d41e160b9ecd,ecc1b92eebc2ebe55ff7f88e8f66f54ec6f48ccf71f1ec1139f1e6b9fe885b7d,e95de8b5a824fa0c4d149b28ce206c51641d096fdf40c7315caedb7588d0e31a,PASS
