probability_min,agreement_min,observation_min,target_class_id,target_class_name,accepted_pixel_count,accepted_fraction_all_pixels,profile_total_accepted_fraction
0.5,0.6,3,0,unknown,0,0.0,0.7542994444444444
0.5,0.6,3,1,buildings,1738122,0.19312466666666667,0.7542994444444444
0.5,0.6,3,2,roads,0,0.0,0.7542994444444444
0.5,0.6,3,3,vegetation,4806430,0.5340477777777778,0.7542994444444444
0.5,0.6,3,4,bare_land,314,3.488888888888889e-05,0.7542994444444444
0.5,0.6,3,5,water,243829,0.027092111111111112,0.7542994444444444
0.6,0.7,3,0,unknown,0,0.0,0.615014
0.6,0.7,3,1,buildings,1553522,0.17261355555555555,0.615014
0.6,0.7,3,2,roads,0,0.0,0.615014
0.6,0.7,3,3,vegetation,3761176,0.41790844444444447,0.615014
0.6,0.7,3,4,bare_land,10,1.111111111111111e-06,0.615014
0.6,0.7,3,5,water,220418,0.02449088888888889,0.615014
0.7,0.8,3,0,unknown,0,0.0,0.45712922222222224
0.7,0.8,3,1,buildings,1124883,0.124987,0.45712922222222224
0.7,0.8,3,2,roads,0,0.0,0.45712922222222224
0.7,0.8,3,3,vegetation,2822440,0.31360444444444446,0.45712922222222224
0.7,0.8,3,4,bare_land,0,0.0,0.45712922222222224
0.7,0.8,3,5,water,166840,0.018537777777777778,0.45712922222222224
0.6,0.7,5,0,unknown,0,0.0,0.6077276666666667
0.6,0.7,5,1,buildings,1529517,0.16994633333333334,0.6077276666666667
0.6,0.7,5,2,roads,0,0.0,0.6077276666666667
0.6,0.7,5,3,vegetation,3719710,0.4133011111111111,0.6077276666666667
0.6,0.7,5,4,bare_land,10,1.111111111111111e-06,0.6077276666666667
0.6,0.7,5,5,water,220312,0.02447911111111111,0.6077276666666667
0.7,0.8,5,0,unknown,0,0.0,0.4528457777777778
0.7,0.8,5,1,buildings,1105276,0.12280844444444444,0.4528457777777778
0.7,0.8,5,2,roads,0,0.0,0.4528457777777778
0.7,0.8,5,3,vegetation,2803575,0.31150833333333333,0.4528457777777778
0.7,0.8,5,4,bare_land,0,0.0,0.4528457777777778
0.7,0.8,5,5,water,166761,0.018529,0.4528457777777778
