city_id,code_2021,class_2021,total,osm_0,osm_1,osm_2,osm_3,osm_4,osm_5,dw_0,dw_1,dw_2,dw_3,dw_4,dw_5,osm_bare_and_dw_bare,osm_bare_fraction,dw_bare_fraction,osm_bare_and_dw_bare_fraction
DE14,11100,Continuous urban fabric,471097,238086,182439,33986,13321,2749,516,8406,462337,0,304,0,50,0,0.0058353162936720035,0.0,0.0
DE14,11210,Discontinuous dense urban fabric,1407086,936106,295024,89737,79192,4937,2090,74096,1332053,0,863,0,74,0,0.0035086696904098255,0.0,0.0
DE14,11220,Discontinuous medium density urban fabric,974223,697874,154814,51426,64828,3033,2248,128601,840536,0,5073,0,13,0,0.003113250251739078,0.0,0.0
DE14,11230,Discontinuous low density urban fabric,145574,102426,18685,6195,17108,711,449,47750,93524,0,4293,0,7,0,0.004884113921442015,0.0,0.0
DE14,11240,Discontinuous very low density urban fabric,3022,2161,328,144,356,2,31,996,1726,0,299,0,1,0,0.0006618133686300463,0.0,0.0
DE14,11300,Isolated structures,1398,723,109,31,500,0,35,1025,13,0,355,0,5,0,0.0,0.0,0.0
DE14,12100,Industrial/commercial/public/military/private units,1172229,603456,311486,105014,98956,47989,5328,220083,940020,0,12045,2,79,1,0.04093824670776785,1.7061512724902728e-06,8.530756362451364e-07
DE14,12210,Fast transit roads,55513,19771,249,20463,14666,135,229,41941,12230,0,1342,0,0,0,0.0024318628069100933,0.0,0.0
DE14,12220,Other roads,586188,163920,5712,344420,69056,2340,740,93184,475028,0,17964,0,12,0,0.003991893385739728,0.0,0.0
DE14,12230,Railways,146945,104841,8788,3881,23697,5320,418,88948,51548,0,6426,0,23,0,0.036204021912960634,0.0,0.0
DE14,12300,Port areas,12502,7825,2484,947,240,391,615,2704,9797,0,0,0,1,0,0.0312749960006399,0.0,0.0
DE14,12400,Airports,47083,12881,1733,4764,25005,2700,0,41863,3548,0,1670,2,0,0,0.05734553872947773,4.247817683665017e-05,0.0
DE14,13100,Mineral extraction and dump sites,12325,3339,72,227,1482,7154,51,10569,1605,0,151,0,0,0,0.580446247464503,0.0,0.0
DE14,13300,Construction sites,20101,10425,3365,1904,1266,2983,158,7212,12831,0,58,0,0,0,0.14840057708571713,0.0,0.0
DE14,13400,Land without current use,24871,7577,802,880,8796,6564,252,16289,8326,0,252,0,4,0,0.2639218366772546,0.0,0.0
DE14,14110,Green urban areas - public,702586,175982,8840,12531,481450,10695,13088,335687,92868,0,273896,0,135,0,0.015222335770994582,0.0,0.0
DE14,14120,Green urban areas - private,327,150,17,21,139,0,0,45,162,0,120,0,0,0,0.0,0.0,0.0
DE14,14130,Green urban areas - unknown access,10233,4785,270,261,3527,1120,270,6085,3078,0,1068,0,2,0,0.1094498192123522,0.0,0.0
DE14,14200,Sports and leisure facilities,576369,156160,36883,18838,350428,6886,7174,258518,303829,0,13096,0,926,0,0.011947207431350403,0.0,0.0
DE14,21000,Arable land,849680,57556,1033,4418,782072,2895,1706,628207,9049,0,212394,0,30,0,0.0034071650503719048,0.0,0.0
DE14,23000,Pastures,329061,35328,576,1521,289416,1355,865,256140,5979,0,66671,0,271,0,0.004117777554921428,0.0,0.0
DE14,24000,Complex/mixed cultivation,687,76,23,4,584,0,0,536,151,0,0,0,0,0,0.0,0.0,0.0
DE14,31000,Forests,1086617,36163,1110,4487,1037131,1749,5977,56358,1428,0,1028790,0,41,0,0.0016095827692738103,0.0,0.0
DE14,32000,Herbaceous vegetation,78836,17258,883,814,56290,2996,595,48010,6353,0,24472,0,1,0,0.03800294281800193,0.0,0.0
DE14,40000,Wetlands,12910,5116,0,31,6482,0,1281,10584,30,0,2248,0,48,0,0.0,0.0,0.0
DE14,50000,Water,272537,6576,298,579,10314,248,254522,87315,7016,0,3359,0,174847,0,0.0009099681878056925,0.0,0.0
