split,city_id,city_name,tile_count,valid_pixel_count,ignore_pixel_count_source,buildings_pixel_count,roads_pixel_count,vegetation_pixel_count,bare_land_pixel_count,water_pixel_count,tile_qa_status
test,DE18,Freiburg,120,6784516,1079804,222345,198502,6334334,6234,23101,PASS
test,DE19,Kiel,117,5646739,2020973,184787,179694,4564393,14816,703049,PASS
test,DE20,Rostock,102,5634384,1050288,139848,150291,5189035,2064,153146,PASS
train,DE01,Mannheim,68,3001031,1455417,384619,278045,2076879,18286,243202,PASS
train,DE02,Heidelberg,41,1636267,1050709,199957,140458,1189759,11966,94127,PASS
train,DE03,Karlsruhe,62,2955951,1107281,260707,186662,2242379,8286,257917,PASS
train,DE04,Stuttgart,77,3261828,1784444,522279,344704,2350217,12889,31739,PASS
train,DE05,Munich,76,3094654,1886082,522284,347660,2081534,34814,108362,PASS
train,DE06,Nuremberg,48,1989204,1156524,328756,207794,1403850,13745,35059,PASS
train,DE07,Frankfurt,74,2965161,1884503,479416,323862,2078600,9284,73999,PASS
train,DE08,Cologne,97,3871664,2485328,650238,431670,2471611,60002,258143,PASS
train,DE09,Dusseldorf,80,3380554,1862326,492890,328800,2308381,12847,237636,PASS
train,DE10,Dortmund,91,3572450,2391326,524724,413418,2509864,34693,89751,PASS
train,DE11,Hamburg,75,2714420,2200780,505519,333225,1444717,27838,403121,PASS
train,DE12,Bremen,52,2080856,1327016,293915,186311,1418134,7792,174704,PASS
train,DE13,Hanover,58,2297157,1503931,345631,229896,1591310,33064,97256,PASS
train,DE14,Berlin,75,2619329,2295871,632765,411736,1359124,8929,206775,PASS
val,DE15,Leipzig,115,5620606,1916034,303966,273440,4686856,31545,324799,PASS
val,DE16,Dresden,115,5695746,1840894,295580,294222,4987790,16632,101522,PASS
val,DE17,Munster,121,6588223,1341633,255944,247208,6028726,7305,49040,PASS
