split,class_name,pixel_count,fraction_valid,selected_tile_count,valid_pixel_count
train,buildings,6143700,0.15577124909541012,974,39440526
train,roads,4164241,0.10558279572640589,974,39440526
train,vegetation,26526359,0.6725660555338435,974,39440526
train,bare_land,294435,0.007465290904081756,974,39440526
train,water,2311791,0.058614608740258686,974,39440526
val,buildings,855490,0.047780525368516145,351,17904575
val,roads,814870,0.045511831473240776,351,17904575
val,vegetation,15703372,0.877059187386464,351,17904575
val,bare_land,55482,0.003098761070843625,351,17904575
val,water,475361,0.026549694700935374,351,17904575
test,buildings,546980,0.0302773679912457,339,18065639
test,roads,528487,0.029253711977749584,339,18065639
test,vegetation,16087762,0.8905171856915772,339,18065639
test,bare_land,23114,0.0012794454710403547,339,18065639
test,water,879296,0.048672288868387106,339,18065639
all,buildings,7546170,0.1000675765812668,1664,75410740
all,roads,5507598,0.07303466323231943,1664,75410740
all,vegetation,58317493,0.7733313981536317,1664,75410740
all,bare_land,373031,0.004946656139430537,1664,75410740
all,water,3666448,0.04861970589335153,1664,75410740
