split,city_id,city_name,candidate_tile_count,coverage_eligible_tile_count,selected_tile_count,selected_fraction_candidates,selected_valid_pixel_count
test,DE18,Freiburg,144,120,120,0.8333333333333334,6784516
test,DE19,Kiel,144,117,117,0.8125,5646739
test,DE20,Rostock,144,102,102,0.7083333333333334,5634384
train,DE01,Mannheim,144,119,68,0.4722222222222222,3001031
train,DE02,Heidelberg,144,94,41,0.2847222222222222,1636267
train,DE03,Karlsruhe,144,120,62,0.4305555555555556,2955951
train,DE04,Stuttgart,144,121,77,0.5347222222222222,3261828
train,DE05,Munich,144,113,76,0.5277777777777778,3094654
train,DE06,Nuremberg,144,112,48,0.3333333333333333,1989204
train,DE07,Frankfurt,144,116,74,0.5138888888888888,2965161
train,DE08,Cologne,144,120,97,0.6736111111111112,3871664
train,DE09,Dusseldorf,144,108,80,0.5555555555555556,3380554
train,DE10,Dortmund,144,119,91,0.6319444444444444,3572450
train,DE11,Hamburg,144,99,75,0.5208333333333334,2714420
train,DE12,Bremen,144,109,52,0.3611111111111111,2080856
train,DE13,Hanover,144,115,58,0.4027777777777778,2297157
train,DE14,Berlin,144,89,75,0.5208333333333334,2619329
val,DE15,Leipzig,144,115,115,0.7986111111111112,5620606
val,DE16,Dresden,144,115,115,0.7986111111111112,5695746
val,DE17,Munster,144,121,121,0.8402777777777778,6588223
