split,metric,population,quantile,value,population_tile_count
all,valid_fraction_source_pixels,all_tiles,0.0,0.0,2880
all,valid_fraction_source_pixels,all_tiles,0.25,0.5370368957519531,2880
all,valid_fraction_source_pixels,all_tiles,0.5,0.7240447998046875,2880
all,valid_fraction_source_pixels,all_tiles,0.75,0.8661956787109375,2880
all,valid_fraction_source_pixels,all_tiles,0.9,0.9339584350585938,2880
all,valid_fraction_source_pixels,all_tiles,0.95,0.9590570864470108,2880
all,valid_fraction_source_pixels,all_tiles,0.99,0.9879029846191406,2880
all,valid_fraction_source_pixels,all_tiles,1.0,1.0,2880
all,valid_fraction_source_pixels,positive_tiles,0.0,0.000518798828125,2869
all,valid_fraction_source_pixels,positive_tiles,0.25,0.5405698029891305,2869
all,valid_fraction_source_pixels,positive_tiles,0.5,0.7249908447265625,2869
all,valid_fraction_source_pixels,positive_tiles,0.75,0.86712646484375,2869
all,valid_fraction_source_pixels,positive_tiles,0.9,0.9340850830078125,2869
all,valid_fraction_source_pixels,positive_tiles,0.95,0.9591563349184783,2869
all,valid_fraction_source_pixels,positive_tiles,0.99,0.9879046630859375,2869
all,valid_fraction_source_pixels,positive_tiles,1.0,1.0,2869
all,padding_fraction,all_tiles,0.0,0.0,2880
all,padding_fraction,all_tiles,0.25,0.0,2880
all,padding_fraction,all_tiles,0.5,0.0,2880
all,padding_fraction,all_tiles,0.75,0.0,2880
all,padding_fraction,all_tiles,0.9,0.28125,2880
all,padding_fraction,all_tiles,0.95,0.28125,2880
all,padding_fraction,all_tiles,0.99,0.28125,2880
all,padding_fraction,all_tiles,1.0,0.4833984375,2880
all,padding_fraction,positive_tiles,0.0,0.28125,460
all,padding_fraction,positive_tiles,0.25,0.28125,460
all,padding_fraction,positive_tiles,0.5,0.28125,460
all,padding_fraction,positive_tiles,0.75,0.28125,460
all,padding_fraction,positive_tiles,0.9,0.28125,460
all,padding_fraction,positive_tiles,0.95,0.28125,460
all,padding_fraction,positive_tiles,0.99,0.4833984375,460
all,padding_fraction,positive_tiles,1.0,0.4833984375,460
all,conflict_fraction_source_pixels,all_tiles,0.0,0.0,2880
all,conflict_fraction_source_pixels,all_tiles,0.25,0.02022452976392663,2880
all,conflict_fraction_source_pixels,all_tiles,0.5,0.0456695556640625,2880
all,conflict_fraction_source_pixels,all_tiles,0.75,0.09453682277513586,2880
all,conflict_fraction_source_pixels,all_tiles,0.9,0.1582794189453125,2880
all,conflict_fraction_source_pixels,all_tiles,0.95,0.20501937866210937,2880
all,conflict_fraction_source_pixels,all_tiles,0.99,0.2830801391601563,2880
all,conflict_fraction_source_pixels,all_tiles,1.0,0.5201873779296875,2880
all,conflict_fraction_source_pixels,positive_tiles,0.0,1.52587890625e-05,2865
all,conflict_fraction_source_pixels,positive_tiles,0.25,0.0206146240234375,2865
all,conflict_fraction_source_pixels,positive_tiles,0.5,0.046112060546875,2865
all,conflict_fraction_source_pixels,positive_tiles,0.75,0.09481148097826086,2865
all,conflict_fraction_source_pixels,positive_tiles,0.9,0.1583160400390625,2865
