split,class_name,minimum_valid_fraction_source_pixels,maximum_padding_fraction,minimum_class_fraction_valid,split_candidate_tiles,coverage_eligible_tiles,qualifying_tiles,qualifying_fraction_of_coverage_eligible,qualifying_city_count
train,buildings,0.25,0.25,0.0,2016,1679,1679,1.0,14
train,buildings,0.25,0.25,0.001,2016,1679,1626,0.9684335914234663,14
train,buildings,0.25,0.25,0.0025,2016,1679,1605,0.9559261465157832,14
train,buildings,0.25,0.25,0.005,2016,1679,1580,0.9410363311494937,14
train,buildings,0.25,0.25,0.01,2016,1679,1500,0.8933889219773675,14
train,buildings,0.25,0.25,0.02,2016,1679,1374,0.8183442525312686,14
train,buildings,0.25,0.25,0.05,2016,1679,1083,0.6450268016676594,14
train,buildings,0.25,0.25,0.1,2016,1679,773,0.46039309112567006,14
train,roads,0.25,0.25,0.0,2016,1679,1679,1.0,14
train,roads,0.25,0.25,0.001,2016,1679,1657,0.9868969624776652,14
train,roads,0.25,0.25,0.0025,2016,1679,1636,0.9743895175699822,14
train,roads,0.25,0.25,0.005,2016,1679,1606,0.9565217391304348,14
train,roads,0.25,0.25,0.01,2016,1679,1518,0.9041095890410958,14
train,roads,0.25,0.25,0.02,2016,1679,1316,0.7837998808814771,14
train,roads,0.25,0.25,0.05,2016,1679,800,0.47647409172126265,14
train,roads,0.25,0.25,0.1,2016,1679,391,0.2328767123287671,14
train,vegetation,0.25,0.25,0.0,2016,1679,1679,1.0,14
train,vegetation,0.25,0.25,0.001,2016,1679,1678,0.9994044073853484,14
train,vegetation,0.25,0.25,0.0025,2016,1679,1678,0.9994044073853484,14
train,vegetation,0.25,0.25,0.005,2016,1679,1677,0.9988088147706968,14
train,vegetation,0.25,0.25,0.01,2016,1679,1676,0.9982132221560452,14
train,vegetation,0.25,0.25,0.02,2016,1679,1674,0.9970220369267421,14
train,vegetation,0.25,0.25,0.05,2016,1679,1664,0.9910661107802263,14
train,vegetation,0.25,0.25,0.1,2016,1679,1637,0.9749851101846337,14
train,bare_land,0.25,0.25,0.0,2016,1679,1679,1.0,14
train,bare_land,0.25,0.25,0.001,2016,1679,228,0.13579511614055986,14
train,bare_land,0.25,0.25,0.0025,2016,1679,199,0.11852293031566409,14
train,bare_land,0.25,0.25,0.005,2016,1679,156,0.09291244788564622,14
train,bare_land,0.25,0.25,0.01,2016,1679,124,0.07385348421679572,14
train,bare_land,0.25,0.25,0.02,2016,1679,81,0.048243001786777845,14
train,bare_land,0.25,0.25,0.05,2016,1679,35,0.02084574151280524,12
train,bare_land,0.25,0.25,0.1,2016,1679,12,0.00714711137581894,6
train,water,0.25,0.25,0.0,2016,1679,1679,1.0,14
train,water,0.25,0.25,0.001,2016,1679,940,0.5598570577724836,14
train,water,0.25,0.25,0.0025,2016,1679,879,0.5235259082787374,14
train,water,0.25,0.25,0.005,2016,1679,784,0.4669446098868374,14
train,water,0.25,0.25,0.01,2016,1679,662,0.39428231089934485,14
train,water,0.25,0.25,0.02,2016,1679,550,0.3275759380583681,14
train,water,0.25,0.25,0.05,2016,1679,339,0.20190589636688505,14
train,water,0.25,0.25,0.1,2016,1679,203,0.1209053007742704,13
train,buildings,0.4,0.25,0.0,2016,1476,1476,1.0,14
