selection_rank_global,selection_rank_within_split,tile_id,city_id,city_name,split,tile_row,tile_col,row_offset,col_offset,tile_size,stride,source_width_pixels,source_height_pixels,source_pixel_count,padding_pixel_count,padding_fraction,valid_pixel_count,valid_fraction_all_pixels,valid_fraction_source_pixels,ignore_pixel_count,ignore_fraction_source_pixels,conflict_pixel_count,conflict_fraction_source_pixels,buildings_pixel_count,buildings_fraction_valid,buildings_fraction_source_pixels,roads_pixel_count,roads_fraction_valid,roads_fraction_source_pixels,vegetation_pixel_count,vegetation_fraction_valid,vegetation_fraction_source_pixels,bare_land_pixel_count,bare_land_fraction_valid,bare_land_fraction_source_pixels,water_pixel_count,water_fraction_valid,water_fraction_source_pixels,support_1_pixel_count,support_1_fraction_valid,support_2_pixel_count,support_2_fraction_valid,support_3_pixel_count,support_3_fraction_valid,provenance_1_pixel_count,provenance_2_pixel_count,provenance_3_pixel_count,provenance_4_pixel_count,provenance_5_pixel_count,provenance_6_pixel_count,provenance_7_pixel_count,bounds_left,bounds_bottom,bounds_right,bounds_top,crs,source_sar_path,source_semantic_path,source_validity_path,source_provenance_path,source_support_path,source_conflict_path,coverage_eligible,rule_buildings,rule_roads,rule_bare_land,rule_water,selected,selection_reason,rejection_reason,image_path,semantic_mask_path,validity_mask_path,provenance_mask_path,support_mask_path,conflict_mask_path,materialization_status,image_sha256,semantic_sha256,validity_sha256,provenance_sha256,support_sha256,conflict_sha256,tile_qa_status
1419,1,DE18_r000_c000,DE18,Freiburg,test,0,0,0,0,256,256,256,256,65536,0,0.0,62571,0.9547576904296876,0.9547576904296876,2965,0.0452423095703125,2223,0.0339202880859375,1111,0.0177558293778267,0.0169525146484375,671,0.0107238177430439,0.0102386474609375,60789,0.9715203528791292,0.9275665283203124,0,0.0,0.0,0,0.0,0.0,379,0.0060571191126879,41612,0.665036518514967,20580,0.328906362372345,379,0,1136,0,40451,25,20580,398624.80418092455,5329277.716426666,401184.80418092455,5331837.716426666,EPSG:32632,data\processed\sar\DE18_Freiburg\DE18_Freiburg_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_semantic.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_validity.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_provenance.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_support_count.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_source_conflict.tif,True,False,False,False,False,True,coverage_only_evaluation,,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\images\DE18_r000_c000_image.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\semantic_masks\DE18_r000_c000_semantic.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\validity_masks\DE18_r000_c000_validity.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\provenance_masks\DE18_r000_c000_provenance.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\support_masks\DE18_r000_c000_support.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\conflict_masks\DE18_r000_c000_conflict.tif,PASS,0e7f3b1583ffd1fa38cd189636d810eb83c9b8ee19415576b9aa59d95589ec4b,5f6cde5672fa1d31a0e73bd1f054e7b099c9e0d206b923cddcfd6fc080081842,dfdd893fedb5f50b66a57365d3c1703b643bd67e2a677f00c16efacc0fa8a6d6,a12076cbaaf0fea68cedd99c3a3a21953b71b179e67fb979f06b986381c17ab5,ea351419085e68986d43b230e8ff3f246347169de2b5da1438dbbbf68bf154a8,8741ef8ab43b3c4d06d505b5b166c21e6c10cce193e828a6ad7aec8c893b7206,PASS
1420,2,DE18_r000_c001,DE18,Freiburg,test,0,1,0,256,256,256,256,256,65536,0,0.0,63610,0.970611572265625,0.970611572265625,1926,0.029388427734375,1050,0.016021728515625,400,0.0062883194466278,0.006103515625,288,0.004527590001572,0.00439453125,62922,0.9891840905518,0.960113525390625,0,0.0,0.0,0,0.0,0.0,180,0.0028297437509825,20250,0.3183461719855369,43180,0.6788240842634806,180,0,410,0,19739,101,43180,401184.80418092455,5329277.716426666,403744.80418092455,5331837.716426666,EPSG:32632,data\processed\sar\DE18_Freiburg\DE18_Freiburg_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_semantic.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_validity.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_provenance.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_support_count.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_source_conflict.tif,True,False,False,False,False,True,coverage_only_evaluation,,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\images\DE18_r000_c001_image.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\semantic_masks\DE18_r000_c001_semantic.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\validity_masks\DE18_r000_c001_validity.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\provenance_masks\DE18_r000_c001_provenance.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\support_masks\DE18_r000_c001_support.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\conflict_masks\DE18_r000_c001_conflict.tif,PASS,295ec784a0a273cfe9edba39e525c012ec8bc8a9c13046e6d225d0c785a902d3,aa52db4cd929157624321b958fd52b8dd5c5d94e5c73af345c61c4ccc1d46e54,347e19c14ccdff76ba34781fce0b01ff75e55fa0e95ecbad6010c867e9958563,c0bbd5221f153b2dd6d7bb1664452a8394903ba6a49543b866e7a8865b7b50ab,3080f03af0a6665b33b318e600d46a437358c7985010b08a3f81ec7af46da736,50aa470c25da2a4bebc2735ee1e94ef3bb5b171ef9833b399ddc387de66e4fc2,PASS
1421,3,DE18_r000_c002,DE18,Freiburg,test,0,2,0,512,256,256,256,256,65536,0,0.0,60593,0.9245758056640624,0.9245758056640624,4943,0.0754241943359375,3148,0.04803466796875,1706,0.0281550674170283,0.026031494140625,1298,0.0214216163583252,0.019805908203125,57588,0.95040681266813,0.87872314453125,0,0.0,0.0,1,1.650355651642929e-05,1.52587890625e-05,983,0.0162229960556499,54479,0.8990972554585513,5131,0.0846797484857986,983,0,1622,0,52798,59,5131,403744.80418092455,5329277.716426666,406304.80418092455,5331837.716426666,EPSG:32632,data\processed\sar\DE18_Freiburg\DE18_Freiburg_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_semantic.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_validity.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_provenance.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_support_count.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_source_conflict.tif,True,False,False,False,False,True,coverage_only_evaluation,,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\images\DE18_r000_c002_image.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\semantic_masks\DE18_r000_c002_semantic.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\validity_masks\DE18_r000_c002_validity.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\provenance_masks\DE18_r000_c002_provenance.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\support_masks\DE18_r000_c002_support.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\conflict_masks\DE18_r000_c002_conflict.tif,PASS,f317bba491a54e1110ed627faa0d600b05abb7d3a0b04b65ae858d3d6bfb7f04,555e804441b5c36320de010db8c5214266a585fb5d539cb9d30161dfd5e40f9f,866d11ac6537d675ccd764818201e1e5cb95d84b25670c088b9ce709e48b042f,da755dd19b91142e0d990c07dbc897a82371cdc84fcf03301423a1a76b942969,3f5ecf8edf702d2aedbaf3177fdbb540ece15f9316cc5e7a71947ea4e16a4fea,6c1ece49a38d9ce607e5fda2ab86bf72a80fcda7af9657835190f826cba451b1,PASS
1422,4,DE18_r000_c003,DE18,Freiburg,test,0,3,0,768,256,256,256,256,65536,0,0.0,56035,0.8550262451171875,0.8550262451171875,9501,0.1449737548828125,4417,0.0673980712890625,2147,0.0383153386276434,0.0327606201171875,986,0.0175961452663513,0.015045166015625,52517,0.9372178102971356,0.8013458251953125,0,0.0,0.0,385,0.0068707058088694,0.0058746337890625,750,0.0133844918354599,49849,0.8896047113411261,5436,0.0970107968234139,750,0,1994,0,47837,18,5436,406304.80418092455,5329277.716426666,408864.80418092455,5331837.716426666,EPSG:32632,data\processed\sar\DE18_Freiburg\DE18_Freiburg_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_semantic.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_validity.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_provenance.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_support_count.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_source_conflict.tif,True,False,False,False,False,True,coverage_only_evaluation,,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\images\DE18_r000_c003_image.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\semantic_masks\DE18_r000_c003_semantic.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\validity_masks\DE18_r000_c003_validity.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\provenance_masks\DE18_r000_c003_provenance.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\support_masks\DE18_r000_c003_support.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\conflict_masks\DE18_r000_c003_conflict.tif,PASS,c0b83efc2fce0586d9668d0f9177b83dd66fcdbaac4e5c69eea3ca05d5e9892c,fdd1b6cf06b7a73153120495c4562089c2c5ce8bee72d2c99bf657d723cb1dcf,f07d6200cc2ed100716aec2eb9c9c5a8037a71d76605e57a82a2a2d4f420686f,ec0ed7eccbc06e1fdb8e33c1ed5b17d5e261056c396967e235db6623cc45b11b,82de939965d8e0dca89284da6d2ddfd8bf44e471252c451431d39250110f8c7b,e3e399fdbe713ca5b22572239a9611ac762c60791abdfb1f139d4e2c94b020bd,PASS
1423,5,DE18_r000_c004,DE18,Freiburg,test,0,4,0,1024,256,256,256,256,65536,0,0.0,52441,0.8001861572265625,0.8001861572265625,13095,0.1998138427734375,4074,0.062164306640625,2397,0.0457085105165805,0.0365753173828125,1494,0.0284891592456284,0.022796630859375,45942,0.8760702503766137,0.701019287109375,0,0.0,0.0,2608,0.0497320798611773,0.039794921875,802,0.015293377319273,31707,0.6046223374840297,19932,0.3800842851966972,802,0,2503,0,28337,867,19932,408864.80418092455,5329277.716426666,411424.80418092455,5331837.716426666,EPSG:32632,data\processed\sar\DE18_Freiburg\DE18_Freiburg_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_semantic.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_validity.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_provenance.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_support_count.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_source_conflict.tif,True,False,False,False,False,True,coverage_only_evaluation,,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\images\DE18_r000_c004_image.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\semantic_masks\DE18_r000_c004_semantic.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\validity_masks\DE18_r000_c004_validity.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\provenance_masks\DE18_r000_c004_provenance.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\support_masks\DE18_r000_c004_support.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\conflict_masks\DE18_r000_c004_conflict.tif,PASS,8a4b3d7099948d73e3e18fe42e726066927805b1542be5e2dd377781ad6d9e11,bdde141b62105eed9e7da9e75ede139a1ec38184fbd722ead21529d86e60fdfb,0d87d9ac47bd7476e97fb8f5f95aa964be5fafe491b150cb4411c542b7a9957d,a1657145d4cb57c33514c692e9c1adde9c0b3852c1b218396f99f4f9003c272a,c8cde793fce4e4e7205f7169daea08ef05189ac5549bd03bf4fd08abf6a06e90,05134eb2f40f91917a2a11dd1a9388efc4901a79f8cc8d75538cc5499940d3e3,PASS
1424,6,DE18_r000_c005,DE18,Freiburg,test,0,5,0,1280,256,256,256,256,65536,0,0.0,45109,0.6883087158203125,0.6883087158203125,20427,0.3116912841796875,8171,0.1246795654296875,5483,0.1215500232769513,0.0836639404296875,2328,0.051608326498038,0.0355224609375,36898,0.8179742401738013,0.563018798828125,0,0.0,0.0,400,0.0088674100512092,0.006103515625,1422,0.031523642732049,34667,0.7685162606131815,9020,0.1999600966547695,1422,0,5427,0,29060,180,9020,411424.80418092455,5329277.716426666,413984.80418092455,5331837.716426666,EPSG:32632,data\processed\sar\DE18_Freiburg\DE18_Freiburg_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_semantic.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_validity.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_provenance.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_support_count.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_source_conflict.tif,True,True,True,False,False,True,coverage_only_evaluation,,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\images\DE18_r000_c005_image.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\semantic_masks\DE18_r000_c005_semantic.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\validity_masks\DE18_r000_c005_validity.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\provenance_masks\DE18_r000_c005_provenance.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\support_masks\DE18_r000_c005_support.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\conflict_masks\DE18_r000_c005_conflict.tif,PASS,88b82c7a5a6ca2f818cf2bd7379eaa3308aa196fe375bbb983dcc07b80820125,8d1c64e64b1e57dad46fac35f9e967a9fd76a4aaf5a849d55743a10a7da03c4a,bd9dac759ddb1ad47a14641f9d7e5ae681262daef7d404513b138ab61eb704c4,43a3154462955f9ce34a74955fbc80405ad57faa4942a485ff968f7d9a454830,daf8969118f67ac7f2992e397da6e9f5273a6966b94868d07614a9e160cea450,f7fa61a10007022666d5adb22f8aa0840625477fc72e13014c7602aa62b1ca42,PASS
1425,7,DE18_r000_c006,DE18,Freiburg,test,0,6,0,1536,256,256,256,256,65536,0,0.0,45540,0.69488525390625,0.69488525390625,19996,0.30511474609375,9239,0.1409759521484375,6173,0.1355511638120334,0.0941925048828125,2800,0.0614844093104962,0.042724609375,36419,0.7997145366710584,0.5557098388671875,0,0.0,0.0,148,0.0032498902064119,0.00225830078125,2332,0.051207729468599,21843,0.4796442687747035,21365,0.4691480017566974,2332,0,6067,0,15235,541,21365,413984.80418092455,5329277.716426666,416544.80418092455,5331837.716426666,EPSG:32632,data\processed\sar\DE18_Freiburg\DE18_Freiburg_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_semantic.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_validity.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_provenance.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_support_count.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_source_conflict.tif,True,True,True,False,False,True,coverage_only_evaluation,,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\images\DE18_r000_c006_image.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\semantic_masks\DE18_r000_c006_semantic.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\validity_masks\DE18_r000_c006_validity.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\provenance_masks\DE18_r000_c006_provenance.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\support_masks\DE18_r000_c006_support.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\conflict_masks\DE18_r000_c006_conflict.tif,PASS,f2f4c20b5826a6dcb834b7a1971ddecdcb2e574d583776331ff6eddb82d48339,3265fbf0e56d0091eebcb1af3854d62a383d10ab1061791d6f8b95ee824388b1,c25f0a67e02b297d54f30d823e3af495e0b6e1d1f70dc284674eda022752d605,681934974eada117ec65d8337566cd1986b5bf6d2516ab1c7177550aa4f3e7cd,bed953137b0911504de0158d53a02d293f899f7d7c7e5249e287e389f2f0c701,136362138d55dbd58a1609b93df4f51d418100c2c1d13cc54859cfa591cd3d3f,PASS
1426,8,DE18_r000_c007,DE18,Freiburg,test,0,7,0,1792,256,256,256,256,65536,0,0.0,57579,0.8785858154296875,0.8785858154296875,7957,0.1214141845703125,3490,0.053253173828125,1285,0.0223171642439083,0.0196075439453125,1399,0.0242970527449243,0.0213470458984375,54895,0.9533857830111672,0.8376312255859375,0,0.0,0.0,0,0.0,0.0,1343,0.0233244759374077,42780,0.7429792111707393,13456,0.2336963128918529,1343,0,1122,0,41624,34,13456,416544.80418092455,5329277.716426666,419104.80418092455,5331837.716426666,EPSG:32632,data\processed\sar\DE18_Freiburg\DE18_Freiburg_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_semantic.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_validity.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_provenance.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_support_count.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_source_conflict.tif,True,False,False,False,False,True,coverage_only_evaluation,,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\images\DE18_r000_c007_image.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\semantic_masks\DE18_r000_c007_semantic.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\validity_masks\DE18_r000_c007_validity.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\provenance_masks\DE18_r000_c007_provenance.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\support_masks\DE18_r000_c007_support.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\conflict_masks\DE18_r000_c007_conflict.tif,PASS,fd5184377329e2239d975ec01e4f777a36c55ed2c1eaa87c3b8b950195761947,5d6663bbef97c62b751b50227981f9eaeb4facf8b614103a77c03625c6e616bc,09b312eb7dd8995641fb35b843c694f9a1e8016f451c0fe7f8d8e7a88b485cab,219115ef983f9f407e2985f4074dbaa04693cfdc762accfeb9bac66e3d9beddd,5856330a36cc9378e557204a62870974035db6db5396dc7248c4cda4e4a9896c,18b5fb020bd8f1dd52d00930f1afb3187fcd2c1c6b7822a83e3b74d3a2d25ae4,PASS
1427,9,DE18_r000_c008,DE18,Freiburg,test,0,8,0,2048,256,256,256,256,65536,0,0.0,64380,0.98236083984375,0.98236083984375,1156,0.01763916015625,388,0.00592041015625,93,0.0014445479962721,0.0014190673828125,208,0.0032308170239204,0.003173828125,64079,0.9953246349798074,0.9777679443359376,0,0.0,0.0,0,0.0,0.0,212,0.0032929481205343,10213,0.1586362224293258,53955,0.8380708294501398,212,0,45,0,9928,240,53955,419104.80418092455,5329277.716426666,421664.80418092455,5331837.716426666,EPSG:32632,data\processed\sar\DE18_Freiburg\DE18_Freiburg_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_semantic.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_validity.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_provenance.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_support_count.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_source_conflict.tif,True,False,False,False,False,True,coverage_only_evaluation,,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\images\DE18_r000_c008_image.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\semantic_masks\DE18_r000_c008_semantic.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\validity_masks\DE18_r000_c008_validity.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\provenance_masks\DE18_r000_c008_provenance.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\support_masks\DE18_r000_c008_support.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\conflict_masks\DE18_r000_c008_conflict.tif,PASS,511412b23546a41fce8b5ee6252998f090db00efe8fea834a9495c5d759429ce,e3c65222a262473222c24f4c7c1fa34924730d1317826a9b28c701846a571d40,870e50419438896b2095bd9e77025c401880f1f3fcae8f2f087a31716d486531,03ce1fe8861da0e47dfede4339b298e86acff66a34ea5408410078291e8e88c1,ac0c4df30699c9b48ca17dd506c12e8712806611fd4f0a22e6789a0163bed622,c132d64d021c274a18a661f3540a5f8a3cadcea415fe432b2d914f70541b0c80,PASS
1428,10,DE18_r000_c009,DE18,Freiburg,test,0,9,0,2304,256,256,256,256,65536,0,0.0,63949,0.9757843017578124,0.9757843017578124,1587,0.0242156982421875,587,0.0089569091796875,261,0.0040813773475738,0.0039825439453125,432,0.0067553831959843,0.006591796875,63256,0.9891632394564418,0.9652099609375,0,0.0,0.0,0,0.0,0.0,427,0.0066771958904752,13091,0.2047100032838668,50431,0.788612800825658,427,0,245,0,12704,142,50431,421664.80418092455,5329277.716426666,424224.80418092455,5331837.716426666,EPSG:32632,data\processed\sar\DE18_Freiburg\DE18_Freiburg_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_semantic.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_validity.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_provenance.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_support_count.tif,data\interim\labels_v3_1\fused\DE18\DE18_v31_source_conflict.tif,True,False,False,False,False,True,coverage_only_evaluation,,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\images\DE18_r000_c009_image.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\semantic_masks\DE18_r000_c009_semantic.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\validity_masks\DE18_r000_c009_validity.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\provenance_masks\DE18_r000_c009_provenance.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\support_masks\DE18_r000_c009_support.tif,data\processed\dataset_v3_1\tiles\test\DE18_Freiburg\conflict_masks\DE18_r000_c009_conflict.tif,PASS,e5400cd5320aa01f18bbcd84be5752f3922fafdec594317de0dd320a17977434,33db05856c802503e3b0227ad603bb9cc5f7ff8e670d945c7452e952ea913627,cb41e4b9033f914c0825356b18aeffe6cc465efb5f3bc85742b3949e5fe8a510,ad78c6669fac956f190fe5f0642419a1800facc0f4812ab5f51398ef66dd00e5,9bf0db6c125da32780b35cf80d454524e0433ccccb11a99610c42a2ad6907955,303bf00fb82a95a6a739e513f2cba699ed8f5963ee88c95b22499628602340b5,PASS
