split,city_id,candidate_tiles,coverage_eligible_tiles,roads_ge_5pct,roads_ge_7_5pct,roads_ge_10pct,bare_ge_0_5pct,bare_ge_1pct,bare_ge_2pct,bare_ge_5pct,roads_ge_20pct
train,DE01,144,119,56,42,32,16,11,8,2,11
train,DE02,144,94,35,21,16,7,5,2,1,3
train,DE03,144,120,46,24,15,10,5,3,,5
train,DE04,144,121,79,55,33,9,8,6,1,13
train,DE05,144,113,68,56,46,25,19,15,5,17
train,DE06,144,112,49,27,20,13,7,4,2,9
train,DE07,144,116,73,58,42,10,8,3,1,8
train,DE08,144,120,91,71,53,24,23,18,7,16
train,DE09,144,108,72,53,32,17,7,3,2,11
train,DE10,144,119,100,67,51,18,17,13,8,13
train,DE11,144,99,72,60,49,9,9,5,3,12
train,DE12,144,109,49,31,22,7,6,4,,5
train,DE13,144,115,55,35,28,13,11,4,3,7
train,DE14,144,89,73,64,56,11,5,2,1,31
val,DE15,144,115,45,31,19,22,19,10,3,5
val,DE16,144,115,48,35,23,16,12,7,1,5
val,DE17,144,121,31,15,11,5,4,3,1,4
