sample_type,city_id,city_name,split,stratum,x,y,crs,pixel_row,pixel_col,highway,estimated_width_m,bare_tier,osm_bare,dw_bare,ua_bare,ua_code,vv,vh,review_decision,review_notes
road,DE01,Mannheim,train,likely_ignore_candidate|one_to_two_pixels_10_20m|living_street,462417.5153657907,5479949.127237888,EPSG:32632,1683,1609,living_street,10.5,,,,,,0.1354982852935791,0.050945792347192764,,
road,DE01,Mannheim,train,likely_ignore_candidate|one_to_two_pixels_10_20m|living_street,463375.4279804439,5483835.536638871,EPSG:32632,1295,1705,living_street,12.0,,,,,,0.18063808977603912,0.09871862828731537,,
road,DE01,Mannheim,train,likely_ignore_candidate|subpixel_lt_10m|living_street,468985.8727855502,5469351.824019304,EPSG:32632,2743,2266,living_street,6.0,,,,,,0.18309812247753143,0.06187903881072998,,
road,DE01,Mannheim,train,likely_ignore_candidate|subpixel_lt_10m|living_street,468978.6207148138,5469061.980250986,EPSG:32632,2772,2265,living_street,6.0,,,,,,0.15470096468925476,0.05431954190135002,,
road,DE01,Mannheim,train,retain_major_candidate|one_to_two_pixels_10_20m|motorway,468152.6923301261,5485709.094246837,EPSG:32632,1107,2182,motorway,14.0,,,,,,0.09687396138906479,0.011768057011067867,,
road,DE01,Mannheim,train,retain_major_candidate|one_to_two_pixels_10_20m|motorway,450640.4799360904,5480922.608258217,EPSG:32632,1586,431,motorway,12.0,,,,,,0.041061390191316605,0.011293649673461914,,
road,DE01,Mannheim,train,retain_major_candidate|subpixel_lt_10m|motorway,458195.35302796285,5466899.68898919,EPSG:32632,2988,1187,motorway,6.4,,,,,,0.041304077953100204,0.006423765327781439,,
road,DE01,Mannheim,train,retain_major_candidate|subpixel_lt_10m|motorway,473656.633478084,5472581.249996914,EPSG:32632,2420,2733,motorway,8.0,,,,,,0.0798829197883606,0.023784412071108818,,
road,DE01,Mannheim,train,retain_major_candidate|one_to_two_pixels_10_20m|motorway_link,454890.483679059,5481010.088983363,EPSG:32632,1577,856,motorway_link,10.0,,,,,,0.05431487783789635,0.010923827067017555,,
road,DE01,Mannheim,train,retain_major_candidate|one_to_two_pixels_10_20m|motorway_link,454879.7529232907,5481010.261045594,EPSG:32632,1577,855,motorway_link,10.0,,,,,,0.05956539511680603,0.01221894845366478,,
road,DE01,Mannheim,train,retain_major_candidate|subpixel_lt_10m|motorway_link,466581.3398254083,5478833.857109552,EPSG:32632,1795,2025,motorway_link,3.2,,,,,,0.06442645192146301,0.01502669882029295,,
road,DE01,Mannheim,train,retain_major_candidate|subpixel_lt_10m|motorway_link,468049.714006808,5489855.930056471,EPSG:32632,693,2172,motorway_link,5.0,,,,,,0.04652516543865204,0.00767853856086731,,
road,DE01,Mannheim,train,likely_ignore_candidate|subpixel_lt_10m|pedestrian,462194.6112063831,5484073.640538471,EPSG:32632,1271,1587,pedestrian,5.0,,,,,,11.065382957458496,0.04035600274801254,,
road,DE01,Mannheim,train,likely_ignore_candidate|subpixel_lt_10m|pedestrian,458035.8203364833,5482779.12418923,EPSG:32632,1400,1171,pedestrian,5.0,,,,,,0.25988876819610596,0.06497958302497864,,
road,DE01,Mannheim,train,retain_major_candidate|one_to_two_pixels_10_20m|primary,461640.4663719026,5484356.504621504,EPSG:32632,1243,1531,primary,12.8,,,,,,0.3132477402687073,0.07749868184328079,,
road,DE01,Mannheim,train,retain_major_candidate|one_to_two_pixels_10_20m|primary,462061.9777645751,5481759.1809728835,EPSG:32632,1502,1573,primary,18.0,,,,,,0.23813840746879578,0.023350927978754044,,
road,DE01,Mannheim,train,retain_major_candidate|subpixel_lt_10m|primary,463296.6415739188,5478430.791424642,EPSG:32632,1835,1697,primary,9.600000000000001,,,,,,0.11269029974937439,0.025136368349194527,,
road,DE01,Mannheim,train,retain_major_candidate|subpixel_lt_10m|primary,463805.56798337563,5483618.317346438,EPSG:32632,1316,1748,primary,3.2,,,,,,0.16546978056430817,0.03527595475316048,,
road,DE01,Mannheim,train,retain_major_candidate|one_to_two_pixels_10_20m|primary_link,475026.1654530761,5481045.712836841,EPSG:32632,1574,2870,primary_link,12.8,,,,,,0.0332416407763958,0.0073427618481218815,,
road,DE01,Mannheim,train,retain_major_candidate|one_to_two_pixels_10_20m|primary_link,474594.0502130797,5489431.610058552,EPSG:32632,735,2826,primary_link,14.5,,,,,,0.058026861399412155,0.0070588067173957825,,
road,DE01,Mannheim,train,retain_major_candidate|subpixel_lt_10m|primary_link,475434.53111701715,5468707.332631519,EPSG:32632,2808,2910,primary_link,8.0,,,,,,0.05959632247686386,0.012418558821082115,,
road,DE01,Mannheim,train,retain_major_candidate|subpixel_lt_10m|primary_link,475539.619030743,5468635.749949854,EPSG:32632,2815,2921,primary_link,8.0,,,,,,0.04149195924401283,0.012719491496682167,,
road,DE01,Mannheim,train,manual_review_candidate|one_to_two_pixels_10_20m|residential,462311.4630888618,5481701.846254466,EPSG:32632,1508,1598,residential,10.0,,,,,,0.30162620544433594,0.04804752394556999,,
road,DE01,Mannheim,train,manual_review_candidate|one_to_two_pixels_10_20m|residential,453943.61193693464,5482365.019962374,EPSG:32632,1442,761,residential,10.0,,,,,,0.1336381435394287,0.0988662987947464,,
road,DE01,Mannheim,train,manual_review_candidate|subpixel_lt_10m|residential,455053.52258519497,5469891.8027676735,EPSG:32632,2689,872,residential,8.0,,,,,,0.224195659160614,0.11420778930187225,,
road,DE01,Mannheim,train,manual_review_candidate|subpixel_lt_10m|residential,473871.572655829,5488443.753612423,EPSG:32632,834,2754,residential,3.2,,,,,,0.0990721583366394,0.020334307104349136,,
road,DE01,Mannheim,train,retain_major_candidate|one_to_two_pixels_10_20m|secondary,466620.609798237,5472935.785793019,EPSG:32632,2385,2029,secondary,12.0,,,,,,0.2554769814014435,0.023817744106054306,,
road,DE01,Mannheim,train,retain_major_candidate|one_to_two_pixels_10_20m|secondary,448202.4008564338,5479211.506415462,EPSG:32632,1757,187,secondary,12.0,,,,,,0.04212658852338791,0.006551409140229225,,
road,DE01,Mannheim,train,retain_major_candidate|subpixel_lt_10m|secondary,469751.2623042336,5482715.564213766,EPSG:32632,1407,2342,secondary,7.5,,,,,,0.039896946400403976,0.013072626665234566,,
road,DE01,Mannheim,train,retain_major_candidate|subpixel_lt_10m|secondary,464635.705568762,5485191.611301384,EPSG:32632,1159,1831,secondary,6.4,,,,,,0.05552753806114197,0.01995832845568657,,
road,DE01,Mannheim,train,retain_major_candidate|one_to_two_pixels_10_20m|secondary_link,467015.2643639698,5485268.079506354,EPSG:32632,1152,2069,secondary_link,12.8,,,,,,0.10405362397432327,0.018982496112585068,,
road,DE01,Mannheim,train,retain_major_candidate|one_to_two_pixels_10_20m|secondary_link,467037.4316104483,5485262.753388955,EPSG:32632,1152,2071,secondary_link,12.8,,,,,,0.10560957342386246,0.022260969504714012,,
