sample_type,city_id,city_name,split,stratum,x,y,crs,pixel_row,pixel_col,highway,estimated_width_m,bare_tier,osm_bare,dw_bare,ua_bare,ua_code,vv,vh,review_decision,review_notes,policy_group,width_bin,policy_review_stratum,policy_question,allowed_decisions,review_order
road,DE15,Leipzig,val,retain_major_candidate|one_to_two_pixels_10_20m|motorway,325390.7257125873,5692458.537931871,EPSG:32633,1341,2335,motorway,11.5,,,,,,0.038549941033124924,0.012279612012207508,,,retain_major_candidate,one_to_two_pixels_10_20m,road_major_resolvable,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,1
road,DE12,Bremen,train,retain_major_candidate|one_to_two_pixels_10_20m|motorway,499615.6643969107,5877348.276843537,EPSG:32632,1876,2789,motorway,12.8,,,,,,0.04979914054274559,0.009578819386661053,,,retain_major_candidate,one_to_two_pixels_10_20m,road_major_resolvable,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,2
road,DE13,Hanover,train,retain_major_candidate|one_to_two_pixels_10_20m|motorway,555664.2681085544,5808932.592862373,EPSG:32632,916,2083,motorway,12.8,,,,,,0.06217075139284134,0.009358610026538372,,,retain_major_candidate,one_to_two_pixels_10_20m,road_major_resolvable,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,3
road,DE14,Berlin,train,retain_major_candidate|one_to_two_pixels_10_20m|motorway,387310.7699215902,5815568.673698818,EPSG:32633,1950,1053,motorway,12.8,,,,,,0.0549590066075325,0.00957427266985178,,,retain_major_candidate,one_to_two_pixels_10_20m,road_major_resolvable,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,4
road,DE01,Mannheim,train,retain_major_candidate|one_to_two_pixels_10_20m|motorway,468152.6923301261,5485709.094246837,EPSG:32632,1107,2182,motorway,14.0,,,,,,0.09687396138906479,0.011768057011067867,,,retain_major_candidate,one_to_two_pixels_10_20m,road_major_resolvable,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,5
road,DE02,Heidelberg,train,retain_major_candidate|one_to_two_pixels_10_20m|motorway,469343.2653175203,5462427.815947158,EPSG:32632,2441,811,motorway,11.8,,,,,,0.019794262945652008,0.004818922374397516,,,retain_major_candidate,one_to_two_pixels_10_20m,road_major_resolvable,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,6
road,DE17,Munster,val,retain_major_candidate|subpixel_lt_10m|motorway,398868.71159978537,5752196.229212401,EPSG:32632,2036,826,motorway,6.4,,,,,,0.04265309497714043,0.00805111788213253,,,retain_major_candidate,subpixel_lt_10m,road_major_subpixel,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,7
road,DE05,Munich,train,retain_major_candidate|subpixel_lt_10m|motorway,697178.5273005208,5335186.257481722,EPSG:32632,1435,2008,motorway,6.4,,,,,,0.06292814016342163,0.022292103618383408,,,retain_major_candidate,subpixel_lt_10m,road_major_subpixel,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,8
road,DE06,Nuremberg,train,retain_major_candidate|subpixel_lt_10m|motorway,643745.2497318238,5493444.263283508,EPSG:32632,134,823,motorway,9.600000000000001,,,,,,0.15162725746631622,0.01896422542631626,,,retain_major_candidate,subpixel_lt_10m,road_major_subpixel,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,9
road,DE07,Frankfurt,train,retain_major_candidate|subpixel_lt_10m|motorway,469559.44955312484,5553103.061926506,EPSG:32632,1290,728,motorway,6.4,,,,,,0.060681357979774475,0.022236328572034836,,,retain_major_candidate,subpixel_lt_10m,road_major_subpixel,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,10
road,DE08,Cologne,train,retain_major_candidate|subpixel_lt_10m|motorway,361293.78298458667,5642565.639869075,EPSG:32632,1729,1960,motorway,6.4,,,,,,0.06228664517402649,0.019105175510048866,,,retain_major_candidate,subpixel_lt_10m,road_major_subpixel,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,11
road,DE09,Dusseldorf,train,retain_major_candidate|subpixel_lt_10m|motorway,349900.2185348284,5673167.414327623,EPSG:32632,1933,2035,motorway,9.600000000000001,,,,,,0.05175266042351723,0.014497639611363411,,,retain_major_candidate,subpixel_lt_10m,road_major_subpixel,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,12
road,DE16,Dresden,val,manual_review_candidate|one_to_two_pixels_10_20m|residential,410723.84283303644,5655834.871585746,EPSG:32633,1535,1422,residential,12.0,,,,,,0.08305183053016663,0.02698170766234398,,,manual_review_candidate,one_to_two_pixels_10_20m,road_local_resolvable,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,13
road,DE11,Hamburg,train,manual_review_candidate|one_to_two_pixels_10_20m|residential,555866.0750676354,5935721.186982232,EPSG:32632,1331,503,residential,10.0,,,,,,0.14439527690410614,0.03354957327246666,,,manual_review_candidate,one_to_two_pixels_10_20m,road_local_resolvable,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,14
road,DE12,Bremen,train,manual_review_candidate|one_to_two_pixels_10_20m|residential,485980.18056642485,5881718.152813714,EPSG:32632,1439,1426,residential,10.5,,,,,,0.717503547668457,0.06569786369800568,,,manual_review_candidate,one_to_two_pixels_10_20m,road_local_resolvable,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,15
road,DE13,Hanover,train,manual_review_candidate|one_to_two_pixels_10_20m|residential,553313.3277298337,5805990.326230225,EPSG:32632,1211,1848,residential,15.0,,,,,,0.364797443151474,0.04049231484532356,,,manual_review_candidate,one_to_two_pixels_10_20m,road_local_resolvable,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,16
road,DE14,Berlin,train,manual_review_candidate|one_to_two_pixels_10_20m|residential,394074.5462710301,5822664.659312291,EPSG:32633,1240,1729,residential,14.0,,,,,,0.3057931661605835,0.04784565046429634,,,manual_review_candidate,one_to_two_pixels_10_20m,road_local_resolvable,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,17
road,DE01,Mannheim,train,manual_review_candidate|one_to_two_pixels_10_20m|residential,453943.61193693464,5482365.019962374,EPSG:32632,1442,761,residential,10.0,,,,,,0.1336381435394287,0.0988662987947464,,,manual_review_candidate,one_to_two_pixels_10_20m,road_local_resolvable,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,18
