sample_type,city_id,city_name,split,stratum,x,y,crs,pixel_row,pixel_col,highway,estimated_width_m,bare_tier,osm_bare,dw_bare,ua_bare,ua_code,vv,vh,review_decision,review_notes,policy_group,width_bin,policy_review_stratum,policy_question,allowed_decisions,review_order
road,DE15,Leipzig,val,retain_major_candidate|one_to_two_pixels_10_20m|motorway,325390.7257125873,5692458.537931871,EPSG:32633,1341,2335,motorway,11.5,,,,,,0.038549941033124924,0.012279612012207508,,,retain_major_candidate,one_to_two_pixels_10_20m,road_major_resolvable,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,1
road,DE14,Berlin,train,retain_major_candidate|one_to_two_pixels_10_20m|motorway,387310.7699215902,5815568.673698818,EPSG:32633,1950,1053,motorway,12.8,,,,,,0.0549590066075325,0.00957427266985178,,,retain_major_candidate,one_to_two_pixels_10_20m,road_major_resolvable,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,4
road,DE16,Dresden,val,manual_review_candidate|one_to_two_pixels_10_20m|residential,410723.84283303644,5655834.871585746,EPSG:32633,1535,1422,residential,12.0,,,,,,0.08305183053016663,0.02698170766234398,,,manual_review_candidate,one_to_two_pixels_10_20m,road_local_resolvable,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,13
road,DE14,Berlin,train,manual_review_candidate|one_to_two_pixels_10_20m|residential,394074.5462710301,5822664.659312291,EPSG:32633,1240,1729,residential,14.0,,,,,,0.3057931661605835,0.04784565046429634,,,manual_review_candidate,one_to_two_pixels_10_20m,road_local_resolvable,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,17
road,DE15,Leipzig,val,manual_review_candidate|subpixel_lt_10m|residential,304905.8079155203,5698438.300361927,EPSG:32633,743,287,residential,8.0,,,,,,0.06402204185724258,0.003206056309863925,,,manual_review_candidate,subpixel_lt_10m,road_local_subpixel,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,19
road,DE16,Dresden,val,likely_ignore_candidate|one_to_two_pixels_10_20m|living_street,414790.9268383008,5655468.678928694,EPSG:32633,1571,1829,living_street,12.0,,,,,,0.10492970049381256,0.020554376766085625,,,likely_ignore_candidate,one_to_two_pixels_10_20m,road_low_priority,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,25
road,DE14,Berlin,train,likely_ignore_candidate|one_to_two_pixels_10_20m|living_street,387271.2135396258,5820290.092180027,EPSG:32633,1478,1049,living_street,11.0,,,,,,0.16107773780822754,0.0324440635740757,,,likely_ignore_candidate,one_to_two_pixels_10_20m,road_low_priority,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,27
bare_land,DE15,Leipzig,val,tier1_ua_dw_new,312769.7504518318,5705143.11673681,EPSG:32633,73,1073,,,tier1_ua_dw_new,0,1,1,13100,0.03172219917178154,0.008956748992204666,,,,,bare_dw_confirmed_new,Is this location genuinely bare/non-vegetated land for the SAR acquisition period?,retain_bare|ignore_temporal_or_ambiguous|not_bare|uncertain,37
bare_land,DE14,Berlin,train,tier2_osm_dw_new,381044.25925275,5823927.1592110265,EPSG:32633,1114,426,,,tier2_osm_dw_new,1,1,0,12100,0.08318833261728287,0.009424766525626183,,,,,bare_dw_confirmed_new,Is this location genuinely bare/non-vegetated land for the SAR acquisition period?,retain_bare|ignore_temporal_or_ambiguous|not_bare|uncertain,42
bare_land,DE16,Dresden,val,single_source_ua,404499.3682870129,5659803.093693569,EPSG:32633,1138,800,,,single_source_ua,0,0,1,13100,0.07553782314062119,0.015988023951649666,,,,,bare_ua_only,Is this location genuinely bare/non-vegetated land for the SAR acquisition period?,retain_bare|ignore_temporal_or_ambiguous|not_bare|uncertain,47
