variant,split,candidate_tiles,selected_v3_tiles,coverage_eligible_tiles,selected_v3_tiles_remaining_eligible,roads_ge_5pct_tiles,roads_ge_7_5pct_tiles,roads_ge_10pct_tiles,bare_ge_0_5pct_tiles,bare_ge_1pct_tiles,bare_ge_2pct_tiles,buildings_pixels,roads_pixels,vegetation_pixels,bare_land_pixels,water_pixels,valid_pixels,ignore_pixels,source_pixels,valid_fraction_source_pixels,ignore_fraction_source_pixels,buildings_fraction_valid,roads_fraction_valid,vegetation_fraction_valid,bare_land_fraction_valid,water_fraction_valid
v31_major_road_only,train,2016,974,1345,767,0,0,0,162,121,79,8861315,292841,66362815,336956,2802200,78656127,47343873,126000000,0.6242549761904762,0.3757450238095238,0.11265892865536083,0.003723053895089444,0.8437081449484539,0.004283912936623488,0.03562595956447233
v31_major_road_only,val,432,351,328,328,0,0,0,39,30,18,1016680,38730,18329332,58399,518267,19961408,7038592,27000000,0.7393114074074074,0.2606885925925926,0.05093227892541448,0.001940243894619057,0.9182384328800854,0.002925595228553016,0.025963449071328033
v31_major_road_stable_bare,train,2016,974,1344,766,0,0,0,134,108,72,8861315,292841,66362815,293925,2802200,78613096,47386904,126000000,0.6239134603174603,0.3760865396825397,0.11272059556082106,0.0037250918091306312,0.8441699713747439,0.0037388808602576854,0.035645460395046645
v31_major_road_stable_bare,val,432,351,328,328,0,0,0,38,29,17,1016680,38730,18329332,55617,518267,19958626,7041374,27000000,0.7392083703703703,0.26079162962962965,0.050939378291872395,0.0019405143420193353,0.9183664246226169,0.0027866146697673477,0.025967068073724113
v31_resolution_road_only,train,2016,974,1351,773,5,3,1,164,123,79,8861315,512136,66362815,336956,2802200,78875422,47124578,126000000,0.6259954126984127,0.3740045873015873,0.11234570637225877,0.006492973184980233,0.8413624081783042,0.004272002500347954,0.03552690976410877
v31_resolution_road_only,val,432,351,329,329,1,0,0,39,30,18,1016680,105476,18329332,58399,518267,20028154,6971846,27000000,0.7417834814814814,0.2582165185185185,0.050762541570231585,0.0052663865077130926,0.91517830350216,0.002915845364480421,0.02587692305541489
v31_resolution_road_stable_bare,train,2016,974,1349,771,5,3,1,134,108,72,8861315,512136,66362815,293925,2802200,78832391,47167609,126000000,0.6256538968253968,0.37434610317460315,0.11240703075972922,0.006496517402345439,0.8418216694708651,0.003728480086313759,0.035546302280746504
v31_resolution_road_stable_bare,val,432,351,329,329,1,0,0,38,29,17,1016680,105476,18329332,55617,518267,20025372,6974628,27000000,0.7416804444444445,0.2583195555555556,0.0507695936934405,0.005267118133935289,0.9153054435143577,0.0027773266833694774,0.025880517974897047
v31_stable_bare_only,train,2016,974,1553,973,917,665,494,149,116,80,8861315,6381975,66362815,293925,2802200,84702230,41297770,126000000,0.6722399206349207,0.32776007936507934,0.10461725742049531,0.07534600919007681,0.7834836815984656,0.0034700975405252024,0.03308295425043709
v31_stable_bare_only,val,432,351,351,351,124,81,53,42,34,19,1016680,960512,18329332,55617,518267,20880408,6119592,27000000,0.7733484444444444,0.22665155555555555,0.04869061945532865,0.046000633704092374,0.8778244179902998,0.0026635973779822694,0.0248207314722969
v3_control,train,2016,974,1554,974,918,664,495,189,141,90,8861315,6381975,66362815,336956,2802200,84745261,41254739,126000000,0.6725814365079366,0.3274185634920635,0.1045641360405982,0.0753077508369465,0.7830858530248671,0.00397610433933291,0.03306615575825532
v3_control,val,432,351,351,351,124,81,53,43,35,20,1016680,960512,18329332,58399,518267,20883190,6116810,27000000,0.7734514814814815,0.2265485185185185,0.04868413302756906,0.04599450562868987,0.8777074766833994,0.0027964597362759233,0.02481742492406572
