variant,city_id,city_name,split,road_policy,stable_bare,buildings_pixels,roads_pixels,vegetation_pixels,bare_land_pixels,water_pixels,ignore_pixels,valid_pixels,total_pixels,removed_valid_pixels_vs_v3,retained_valid_fraction_vs_v3,retained_road_fraction_vs_v3,retained_bare_fraction_vs_v3
v3_control,DE01,Mannheim,train,none,0,556662,421821,5255120,19147,291870,2455380,6544620,9000000,0,1.0,1.0,1.0
v31_stable_bare_only,DE01,Mannheim,train,none,1,556662,421821,5255120,15644,291870,2458883,6541117,9000000,3503,0.9994647512002225,1.0,0.8170470569802057
v31_resolution_road_only,DE01,Mannheim,train,resolution_aware,0,556662,34591,5255120,19147,291870,2842610,6157390,9000000,387230,0.9408323172315581,0.08200397799066429,1.0
v31_major_road_only,DE01,Mannheim,train,high_precision_major,0,556662,22129,5255120,19147,291870,2855072,6144928,9000000,399692,0.938928157784562,0.052460640887959584,1.0
v31_resolution_road_stable_bare,DE01,Mannheim,train,resolution_aware,1,556662,34591,5255120,15644,291870,2846113,6153887,9000000,390733,0.9402970684317806,0.08200397799066429,0.8170470569802057
v31_major_road_stable_bare,DE01,Mannheim,train,high_precision_major,1,556662,22129,5255120,15644,291870,2858575,6141425,9000000,403195,0.9383929089847844,0.052460640887959584,0.8170470569802057
v3_control,DE02,Heidelberg,train,none,0,446433,350614,4766958,13061,146736,3276198,5723802,9000000,0,1.0,1.0,1.0
v31_stable_bare_only,DE02,Heidelberg,train,none,1,446433,350614,4766958,12307,146736,3276952,5723048,9000000,754,0.999868269377592,1.0,0.9422708827807978
v31_resolution_road_only,DE02,Heidelberg,train,resolution_aware,0,446433,30717,4766958,13061,146736,3596095,5403905,9000000,319897,0.9441110995803139,0.08760916563514293,1.0
v31_major_road_only,DE02,Heidelberg,train,high_precision_major,0,446433,19050,4766958,13061,146736,3607762,5392238,9000000,331564,0.9420727691139561,0.05433325537485668,1.0
v31_resolution_road_stable_bare,DE02,Heidelberg,train,resolution_aware,1,446433,30717,4766958,12307,146736,3596849,5403151,9000000,320651,0.9439793689579059,0.08760916563514293,0.9422708827807978
v31_major_road_stable_bare,DE02,Heidelberg,train,high_precision_major,1,446433,19050,4766958,12307,146736,3608516,5391484,9000000,332318,0.9419410384915481,0.05433325537485668,0.9422708827807978
v3_control,DE03,Karlsruhe,train,none,0,395025,302576,5979074,10962,271346,2041017,6958983,9000000,0,1.0,1.0,1.0
v31_stable_bare_only,DE03,Karlsruhe,train,none,1,395025,302576,5979074,9469,271346,2042510,6957490,9000000,1493,0.9997854571565988,1.0,0.8638022258711914
v31_resolution_road_only,DE03,Karlsruhe,train,resolution_aware,0,395025,27590,5979074,10962,271346,2316003,6683997,9000000,274986,0.9604847432448104,0.09118370260694833,1.0
v31_major_road_only,DE03,Karlsruhe,train,high_precision_major,0,395025,19217,5979074,10962,271346,2324376,6675624,9000000,283359,0.9592815501920323,0.06351131616519486,1.0
