split,city_id,city_name,tile_count,valid_pixel_count,ignore_pixel_count_source,buildings_pixel_count,roads_pixel_count,vegetation_pixel_count,bare_land_pixel_count,water_pixel_count,tile_qa_status
test,DE18,Freiburg,119,6694051,1104733,209669,127698,6327534,6234,22916,PASS
test,DE19,Kiel,115,5544542,1992098,164332,119211,4546338,14319,700342,PASS
test,DE20,Rostock,102,5582994,1101678,139848,99885,5189035,1080,153146,PASS
train,DE01,Mannheim,78,3530489,1581319,377474,186557,2708212,15609,242637,PASS
train,DE02,Heidelberg,52,2147465,1260407,211462,106997,1725964,11412,91630,PASS
train,DE03,Karlsruhe,76,3606847,1373889,288419,142209,2908284,8250,259685,PASS
train,DE04,Stuttgart,93,3962810,2132038,569063,276868,3070800,11340,34739,PASS
train,DE05,Munich,77,3246369,1799903,435162,205873,2464556,27754,113024,PASS
train,DE06,Nuremberg,63,2732068,1396700,346562,164954,2171520,13102,35930,PASS
train,DE07,Frankfurt,85,3505341,2065219,481710,230844,2709929,6872,75986,PASS
train,DE08,Cologne,97,3828436,2528556,605519,252128,2657974,57486,255329,PASS
train,DE09,Dusseldorf,88,3751754,2015414,480939,215501,2806510,10730,238074,PASS
train,DE10,Dortmund,103,4159650,2590558,481536,257257,3304502,24859,91496,PASS
train,DE11,Hamburg,68,2509991,1946457,392691,166551,1545239,24747,380763,PASS
train,DE12,Bremen,69,2887059,1634925,312016,143418,2246647,6469,178509,PASS
train,DE13,Hanover,61,2461259,1536437,299404,134596,1898087,32479,96693,PASS
train,DE14,Berlin,62,2268851,1794381,456088,191381,1420342,5750,195290,PASS
val,DE15,Leipzig,111,5428627,1845869,252649,162293,4659389,30111,324185,PASS
val,DE16,Dresden,114,5570349,1900755,284423,190788,4981177,16302,97659,PASS
val,DE17,Munster,121,6502707,1427149,255944,162751,6028726,6246,49040,PASS
