variant,split,candidate_tiles,selected_v3_tiles,coverage_eligible_tiles,selected_v3_tiles_remaining_eligible,roads_ge_5pct_tiles,roads_ge_7_5pct_tiles,roads_ge_10pct_tiles,bare_ge_0_5pct_tiles,bare_ge_1pct_tiles,bare_ge_2pct_tiles,buildings_pixels,roads_pixels,vegetation_pixels,bare_land_pixels,water_pixels,valid_pixels,ignore_pixels,source_pixels,valid_fraction_source_pixels,ignore_fraction_source_pixels,buildings_fraction_valid,roads_fraction_valid,vegetation_fraction_valid,bare_land_fraction_valid,water_fraction_valid
v31_major_classes_min_2m,train,2016,974,1379,800,55,12,1,173,129,83,8861315,1236326,66362815,336956,2802200,79599612,46400388,126000000,0.6317429523809523,0.3682570476190476,0.11132359539641977,0.015531809376156256,0.8337077698318429,0.0042331362117694745,0.0352036891838116
v31_major_classes_min_2m,val,432,351,330,330,5,0,0,39,30,18,1016680,170813,18329332,58399,518267,20093491,6906509,27000000,0.7442033703703703,0.2557966296296296,0.05059747955196038,0.008500912061522809,0.9122024639720395,0.0029063640559024813,0.025792780358574824
v31_priority_classes_min_10m,train,2016,974,1351,773,5,3,1,164,123,79,8861315,512136,66362815,336956,2802200,78875422,47124578,126000000,0.6259954126984127,0.3740045873015873,0.11234570637225877,0.006492973184980233,0.8413624081783042,0.004272002500347954,0.03552690976410877
v31_priority_classes_min_10m,val,432,351,329,329,1,0,0,39,30,18,1016680,105476,18329332,58399,518267,20028154,6971846,27000000,0.7417834814814814,0.2582165185185185,0.050762541570231585,0.0052663865077130926,0.91517830350216,0.002915845364480421,0.02587692305541489
v31_priority_classes_min_2m,train,2016,974,1489,909,634,394,248,186,142,88,8861315,4416260,66362815,336956,2802200,82779546,43220454,126000000,0.6569805238095238,0.3430194761904762,0.10704715631081137,0.053349652340446516,0.801681311467932,0.0040705224452426934,0.033851357435567477
v31_priority_classes_min_2m,val,432,351,346,346,83,44,28,42,33,21,1016680,664994,18329332,58399,518267,20587672,6412328,27000000,0.7625063703703704,0.23749362962962964,0.049382951117542574,0.03230059231563433,0.8903061987775985,0.0028366004665316214,0.02517365732269292
v31_priority_classes_min_6m,train,2016,974,1479,899,605,354,216,185,141,88,8861315,4182357,66362815,336956,2802200,82545643,43454357,126000000,0.6551241507936508,0.3448758492063492,0.10735048729343595,0.050667204809344085,0.803952971812213,0.004082056759797728,0.033947279325209204
v31_priority_classes_min_6m,val,432,351,346,346,76,42,27,43,33,21,1016680,626625,18329332,58399,518267,20549303,6450697,27000000,0.7610852962962963,0.2389147037037037,0.04947515738125035,0.03049373499432073,0.8919685499795297,0.0028418968760156975,0.0252206607688835
v31_priority_classes_min_8m,train,2016,974,1436,856,361,177,76,175,134,82,8861315,2894062,66362815,336956,2802200,81257348,44742652,126000000,0.6448995873015873,0.3551004126984127,0.10905247609114686,0.03561600361360551,0.8166992479252461,0.004146775747591467,0.03448549662241007
v31_priority_classes_min_8m,val,432,351,342,342,44,23,10,42,32,20,1016680,405668,18329332,58399,518267,20328346,6671654,27000000,0.7529017037037037,0.2470982962962963,0.050012922841828844,0.01995577997344201,0.9016637162708663,0.002872786600542907,0.025494794313319934
v31_stable_bare_only,train,2016,974,1553,973,917,665,494,149,116,80,8861315,6381975,66362815,293925,2802200,84702230,41297770,126000000,0.6722399206349207,0.32776007936507934,0.10461725742049531,0.07534600919007681,0.7834836815984656,0.0034700975405252024,0.03308295425043709
v31_stable_bare_only,val,432,351,351,351,124,81,53,42,34,19,1016680,960512,18329332,55617,518267,20880408,6119592,27000000,0.7733484444444444,0.22665155555555555,0.04869061945532865,0.046000633704092374,0.8778244179902998,0.0026635973779822694,0.0248207314722969
v3_control,train,2016,974,1554,974,918,664,495,189,141,90,8861315,6381975,66362815,336956,2802200,84745261,41254739,126000000,0.6725814365079366,0.3274185634920635,0.1045641360405982,0.0753077508369465,0.7830858530248671,0.00397610433933291,0.03306615575825532
v3_control,val,432,351,351,351,124,81,53,43,35,20,1016680,960512,18329332,58399,518267,20883190,6116810,27000000,0.7734514814814815,0.2265485185185185,0.04868413302756906,0.04599450562868987,0.8777074766833994,0.0027964597362759233,0.02481742492406572
