variant,tile_id,city_id,city_name,split,selected_in_v3,source_pixel_count,padding_pixel_count,padding_fraction,valid_pixel_count,valid_fraction_source_pixels,ignore_pixel_count,ignore_fraction_source_pixels,buildings_pixel_count,buildings_fraction_valid,buildings_fraction_source_pixels,roads_pixel_count,roads_fraction_valid,roads_fraction_source_pixels,vegetation_pixel_count,vegetation_fraction_valid,vegetation_fraction_source_pixels,bare_land_pixel_count,bare_land_fraction_valid,bare_land_fraction_source_pixels,water_pixel_count,water_fraction_valid,water_fraction_source_pixels
v3_control,DE01_r000_c000,DE01,Mannheim,train,0,65536,0,0.0,53154,0.811065673828125,12382,0.188934326171875,1779,0.033468788802347896,0.0271453857421875,1491,0.028050570041765435,0.0227508544921875,49884,0.9384806411558867,0.76116943359375,0,0.0,0.0,0,0.0,0.0
v3_control,DE01_r000_c001,DE01,Mannheim,train,0,65536,0,0.0,51894,0.791839599609375,13642,0.208160400390625,3051,0.058792924037460975,0.0465545654296875,1797,0.0346282807260955,0.0274200439453125,47046,0.9065787952364435,0.717864990234375,0,0.0,0.0,0,0.0,0.0
v3_control,DE01_r000_c002,DE01,Mannheim,train,1,65536,0,0.0,41461,0.6326446533203125,24075,0.3673553466796875,6025,0.14531728612430958,0.0919342041015625,4158,0.10028701671450278,0.063446044921875,30815,0.7432285762523818,0.4701995849609375,193,0.004654976966305685,0.0029449462890625,270,0.006512143942500181,0.004119873046875
v3_control,DE01_r000_c003,DE01,Mannheim,train,1,65536,0,0.0,53547,0.8170623779296875,11989,0.1829376220703125,895,0.016714288382168936,0.0136566162109375,1395,0.026051879657123647,0.0212860107421875,46745,0.8729714082955161,0.7132720947265625,0,0.0,0.0,4512,0.08426242366519132,0.06884765625
v3_control,DE01_r000_c004,DE01,Mannheim,train,1,65536,0,0.0,57736,0.8809814453125,7800,0.1190185546875,603,0.010444090342247471,0.0092010498046875,632,0.010946376610780103,0.0096435546875,49549,0.8581993903283913,0.7560577392578125,0,0.0,0.0,6952,0.12041014271858112,0.1060791015625
v3_control,DE01_r000_c005,DE01,Mannheim,train,1,65536,0,0.0,46487,0.7093353271484375,19049,0.2906646728515625,3427,0.07371953449351432,0.0522918701171875,3240,0.06969690451093855,0.0494384765625,32572,0.7006690042377439,0.49700927734375,0,0.0,0.0,7248,0.15591455675780325,0.110595703125
v3_control,DE01_r000_c006,DE01,Mannheim,train,0,65536,0,0.0,54572,0.83270263671875,10964,0.16729736328125,2523,0.04623250018324415,0.0384979248046875,1592,0.029172469398226198,0.0242919921875,50239,0.9206003078501795,0.7665863037109375,218,0.003994722568350069,0.003326416015625,0,0.0,0.0
v3_control,DE01_r000_c007,DE01,Mannheim,train,0,65536,0,0.0,62354,0.951446533203125,3182,0.048553466796875,593,0.009510215864258908,0.0090484619140625,511,0.008195143856047728,0.0077972412109375,61250,0.9822946402796934,0.934600830078125,0,0.0,0.0,0,0.0,0.0
v3_control,DE01_r000_c008,DE01,Mannheim,train,1,65536,0,0.0,57884,0.88323974609375,7652,0.11676025390625,242,0.004180775343791031,0.003692626953125,1127,0.019469974431621864,0.0171966552734375,54592,0.9431276345795039,0.8330078125,1923,0.03322161564508327,0.0293426513671875,0,0.0,0.0
v3_control,DE01_r000_c009,DE01,Mannheim,train,0,65536,0,0.0,40037,0.6109161376953125,25499,0.3890838623046875,381,0.009516197517296501,0.0058135986328125,667,0.01665958987936159,0.0101776123046875,38989,0.973824212603342,0.5949249267578125,0,0.0,0.0,0,0.0,0.0
v3_control,DE01_r000_c010,DE01,Mannheim,train,0,65536,0,0.0,45643,0.6964569091796875,19893,0.3035430908203125,1729,0.03788094559954429,0.0263824462890625,2151,0.04712661306224394,0.0328216552734375,41763,0.9149924413382118,0.6372528076171875,0,0.0,0.0,0,0.0,0.0
v3_control,DE01_r000_c011,DE01,Mannheim,train,0,47104,18432,0.28125,37807,0.802628226902174,9297,0.19737177309782608,1963,0.05192160181976883,0.041673743206521736,1471,0.03890813870447272,0.031228770380434784,34373,0.9091702594757585,0.7297257133152174,0,0.0,0.0,0,0.0,0.0
