variant,city_id,city_name,split,road_policy,stable_bare,buildings_pixels,roads_pixels,vegetation_pixels,bare_land_pixels,water_pixels,ignore_pixels,valid_pixels,total_pixels,removed_valid_pixels_vs_v3,retained_valid_fraction_vs_v3,retained_road_fraction_vs_v3,retained_bare_fraction_vs_v3
v3_control,DE01,Mannheim,train,none,0,556662,421821,5255120,19147,291870,2455380,6544620,9000000,0,1.0,1.0,1.0
v31_priority_classes_min_2m,DE01,Mannheim,train,priority_classes_min_2m,0,556662,296959,5255120,19147,291870,2580242,6419758,9000000,124862,0.9809214285932567,0.7039929259093312,1.0
v31_priority_classes_min_6m,DE01,Mannheim,train,priority_classes_min_6m,0,556662,280419,5255120,19147,291870,2596782,6403218,9000000,141402,0.9783941619223118,0.6647819809824547,1.0
v31_priority_classes_min_8m,DE01,Mannheim,train,priority_classes_min_8m,0,556662,179133,5255120,19147,291870,2698068,6301932,9000000,242688,0.9629179387038515,0.42466591279239296,1.0
v31_priority_classes_min_10m,DE01,Mannheim,train,priority_classes_min_10m,0,556662,34591,5255120,19147,291870,2842610,6157390,9000000,387230,0.9408323172315581,0.08200397799066429,1.0
v31_major_classes_min_2m,DE01,Mannheim,train,major_classes_min_2m,0,556662,90020,5255120,19147,291870,2787181,6212819,9000000,331801,0.9493017165244124,0.21340805697203316,1.0
v31_stable_bare_only,DE01,Mannheim,train,none,1,556662,421821,5255120,15644,291870,2458883,6541117,9000000,3503,0.9994647512002225,1.0,0.8170470569802057
v3_control,DE02,Heidelberg,train,none,0,446433,350614,4766958,13061,146736,3276198,5723802,9000000,0,1.0,1.0,1.0
v31_priority_classes_min_2m,DE02,Heidelberg,train,priority_classes_min_2m,0,446433,254990,4766958,13061,146736,3371822,5628178,9000000,95624,0.9832936219666578,0.7272670229939477,1.0
v31_priority_classes_min_6m,DE02,Heidelberg,train,priority_classes_min_6m,0,446433,239249,4766958,13061,146736,3387563,5612437,9000000,111365,0.9805435268375811,0.6823714968597945,1.0
v31_priority_classes_min_8m,DE02,Heidelberg,train,priority_classes_min_8m,0,446433,163779,4766958,13061,146736,3463033,5536967,9000000,186835,0.9673582349634037,0.4671205371148899,1.0
v31_priority_classes_min_10m,DE02,Heidelberg,train,priority_classes_min_10m,0,446433,30717,4766958,13061,146736,3596095,5403905,9000000,319897,0.9441110995803139,0.08760916563514293,1.0
v31_major_classes_min_2m,DE02,Heidelberg,train,major_classes_min_2m,0,446433,72269,4766958,13061,146736,3554543,5445457,9000000,278345,0.9513706099547119,0.20612126155829488,1.0
v31_stable_bare_only,DE02,Heidelberg,train,none,1,446433,350614,4766958,12307,146736,3276952,5723048,9000000,754,0.999868269377592,1.0,0.9422708827807978
v3_control,DE03,Karlsruhe,train,none,0,395025,302576,5979074,10962,271346,2041017,6958983,9000000,0,1.0,1.0,1.0
v31_priority_classes_min_2m,DE03,Karlsruhe,train,priority_classes_min_2m,0,395025,216306,5979074,10962,271346,2127287,6872713,9000000,86270,0.9876030736100375,0.7148815504203903,1.0
v31_priority_classes_min_6m,DE03,Karlsruhe,train,priority_classes_min_6m,0,395025,205745,5979074,10962,271346,2137848,6862152,9000000,96831,0.9860854667988124,0.6799779229020148,1.0
v31_priority_classes_min_8m,DE03,Karlsruhe,train,priority_classes_min_8m,0,395025,144137,5979074,10962,271346,2199456,6800544,9000000,158439,0.9772324490518226,0.4763662683094495,1.0
v31_priority_classes_min_10m,DE03,Karlsruhe,train,priority_classes_min_10m,0,395025,27590,5979074,10962,271346,2316003,6683997,9000000,274986,0.9604847432448104,0.09118370260694833,1.0
v31_major_classes_min_2m,DE03,Karlsruhe,train,major_classes_min_2m,0,395025,61815,5979074,10962,271346,2281778,6718222,9000000,240761,0.9654028469389851,0.2042957802337264,1.0
v31_stable_bare_only,DE03,Karlsruhe,train,none,1,395025,302576,5979074,9469,271346,2042510,6957490,9000000,1493,0.9997854571565988,1.0,0.8638022258711914
v3_control,DE04,Stuttgart,train,none,0,664467,471328,5322866,13160,43037,2485142,6514858,9000000,0,1.0,1.0,1.0
v31_priority_classes_min_2m,DE04,Stuttgart,train,priority_classes_min_2m,0,664467,362043,5322866,13160,43037,2594427,6405573,9000000,109285,0.9832252675346109,0.7681338685586259,1.0
v31_priority_classes_min_6m,DE04,Stuttgart,train,priority_classes_min_6m,0,664467,342886,5322866,13160,43037,2613584,6386416,9000000,128442,0.9802847583170654,0.7274891370765157,1.0
v31_priority_classes_min_8m,DE04,Stuttgart,train,priority_classes_min_8m,0,664467,252194,5322866,13160,43037,2704276,6295724,9000000,219134,0.9663639637272217,0.5350711182021861,1.0
v31_priority_classes_min_10m,DE04,Stuttgart,train,priority_classes_min_10m,0,664467,47971,5322866,13160,43037,2908499,6091501,9000000,423357,0.9350166956823924,0.10177837938760269,1.0
v31_major_classes_min_2m,DE04,Stuttgart,train,major_classes_min_2m,0,664467,95854,5322866,13160,43037,2860616,6139384,9000000,375474,0.9423665105210275,0.20337005227781926,1.0
v31_stable_bare_only,DE04,Stuttgart,train,none,1,664467,471328,5322866,11388,43037,2486914,6513086,9000000,1772,0.999728006351021,1.0,0.8653495440729483
v3_control,DE05,Munich,train,none,0,689010,481161,4978522,37858,147312,2666137,6333863,9000000,0,1.0,1.0,1.0
v31_priority_classes_min_2m,DE05,Munich,train,priority_classes_min_2m,0,689010,337004,4978522,37858,147312,2810294,6189706,9000000,144157,0.977240271853054,0.7003975800199933,1.0
v31_priority_classes_min_6m,DE05,Munich,train,priority_classes_min_6m,0,689010,314922,4978522,37858,147312,2832376,6167624,9000000,166239,0.9737539318422265,0.6545044174403163,1.0
v31_priority_classes_min_8m,DE05,Munich,train,priority_classes_min_8m,0,689010,207407,4978522,37858,147312,2939891,6060109,9000000,273754,0.9567792988260088,0.43105530165578676,1.0
v31_priority_classes_min_10m,DE05,Munich,train,priority_classes_min_10m,0,689010,32771,4978522,37858,147312,3114527,5885473,9000000,448390,0.9292074994359683,0.06810818000627648,1.0
v31_major_classes_min_2m,DE05,Munich,train,major_classes_min_2m,0,689010,97018,4978522,37858,147312,3050280,5949720,9000000,384143,0.9393509142840633,0.20163313319242415,1.0
v31_stable_bare_only,DE05,Munich,train,none,1,689010,481161,4978522,29685,147312,2674310,6325690,9000000,8173,0.9987096342311161,1.0,0.7841143219398806
v3_control,DE06,Nuremberg,train,none,0,489212,363936,5798613,18994,49940,2279305,6720695,9000000,0,1.0,1.0,1.0
v31_priority_classes_min_2m,DE06,Nuremberg,train,priority_classes_min_2m,0,489212,269522,5798613,18994,49940,2373719,6626281,9000000,94414,0.9859517505258013,0.7405752659808318,1.0
v31_priority_classes_min_6m,DE06,Nuremberg,train,priority_classes_min_6m,0,489212,260054,5798613,18994,49940,2383187,6616813,9000000,103882,0.984542967654387,0.7145597028048888,1.0
v31_priority_classes_min_8m,DE06,Nuremberg,train,priority_classes_min_8m,0,489212,185555,5798613,18994,49940,2457686,6542314,9000000,178381,0.9734579533813095,0.5098561285500748,1.0
v31_priority_classes_min_10m,DE06,Nuremberg,train,priority_classes_min_10m,0,489212,30298,5798613,18994,49940,2612943,6387057,9000000,333638,0.9503566223433737,0.08325090125736394,1.0
v31_major_classes_min_2m,DE06,Nuremberg,train,major_classes_min_2m,0,489212,75305,5798613,18994,49940,2567936,6432064,9000000,288631,0.9570533999831863,0.20691824936252529,1.0
v31_stable_bare_only,DE06,Nuremberg,train,none,1,489212,363936,5798613,17891,49940,2280408,6719592,9000000,1103,0.9998358800689512,1.0,0.9419290302200695
v3_control,DE07,Frankfurt,train,none,0,655850,462725,4961370,11153,97083,2811819,6188181,9000000,0,1.0,1.0,1.0
v31_priority_classes_min_2m,DE07,Frankfurt,train,priority_classes_min_2m,0,655850,332441,4961370,11153,97083,2942103,6057897,9000000,130284,0.9789463171810908,0.7184418391053001,1.0
v31_priority_classes_min_6m,DE07,Frankfurt,train,priority_classes_min_6m,0,655850,317959,4961370,11153,97083,2956585,6043415,9000000,144766,0.976606049499845,0.6871446323410233,1.0
v31_priority_classes_min_8m,DE07,Frankfurt,train,priority_classes_min_8m,0,655850,228339,4961370,11153,97083,3046205,5953795,9000000,234386,0.9621236030426389,0.493465881463072,1.0
v31_priority_classes_min_10m,DE07,Frankfurt,train,priority_classes_min_10m,0,655850,41886,4961370,11153,97083,3232658,5767342,9000000,420839,0.9319931010421317,0.09052028742773786,1.0
v31_major_classes_min_2m,DE07,Frankfurt,train,major_classes_min_2m,0,655850,104279,4961370,11153,97083,3170265,5829735,9000000,358446,0.9420757085159597,0.22535847425576747,1.0
v31_stable_bare_only,DE07,Frankfurt,train,none,1,655850,462725,4961370,7597,97083,2815375,6184625,9000000,3556,0.9994253561749405,1.0,0.6811620191876625
v3_control,DE08,Cologne,train,none,0,758441,524385,4251618,66087,291069,3108400,5891600,9000000,0,1.0,1.0,1.0
v31_priority_classes_min_2m,DE08,Cologne,train,priority_classes_min_2m,0,758441,347682,4251618,66087,291069,3285103,5714897,9000000,176703,0.9700076379930749,0.6630281186532796,1.0
v31_priority_classes_min_6m,DE08,Cologne,train,priority_classes_min_6m,0,758441,320061,4251618,66087,291069,3312724,5687276,9000000,204324,0.9653194378437097,0.610354987270803,1.0
v31_priority_classes_min_8m,DE08,Cologne,train,priority_classes_min_8m,0,758441,224923,4251618,66087,291069,3407862,5592138,9000000,299462,0.9491713626179645,0.4289272195047532,1.0
v31_priority_classes_min_10m,DE08,Cologne,train,priority_classes_min_10m,0,758441,43347,4251618,66087,291069,3589438,5410562,9000000,481038,0.918351890827619,0.08266254755570812,1.0
v31_major_classes_min_2m,DE08,Cologne,train,major_classes_min_2m,0,758441,106554,4251618,66087,291069,3526231,5473769,9000000,417831,0.9290802159006043,0.2031980319803198,1.0
v31_stable_bare_only,DE08,Cologne,train,none,1,758441,524385,4251618,64429,291069,3110058,5889942,9000000,1658,0.9997185823884853,1.0,0.9749118586106194
v3_control,DE09,Dusseldorf,train,none,0,722402,504515,4291704,17192,290969,3173218,5826782,9000000,0,1.0,1.0,1.0
v31_priority_classes_min_2m,DE09,Dusseldorf,train,priority_classes_min_2m,0,722402,337756,4291704,17192,290969,3339977,5660023,9000000,166759,0.971380600818771,0.6694667155585067,1.0
v31_priority_classes_min_6m,DE09,Dusseldorf,train,priority_classes_min_6m,0,722402,321773,4291704,17192,290969,3355960,5644040,9000000,182742,0.9686375773111128,0.6377867853284838,1.0
v31_priority_classes_min_8m,DE09,Dusseldorf,train,priority_classes_min_8m,0,722402,226382,4291704,17192,290969,3451351,5548649,9000000,278133,0.9522664482728203,0.44871212947087796,1.0
v31_priority_classes_min_10m,DE09,Dusseldorf,train,priority_classes_min_10m,0,722402,33636,4291704,17192,290969,3644097,5355903,9000000,470879,0.9191871259298872,0.06666997016937058,1.0
v31_major_classes_min_2m,DE09,Dusseldorf,train,major_classes_min_2m,0,722402,102255,4291704,17192,290969,3575478,5424522,9000000,402260,0.9309636090727266,0.20267980139341743,1.0
v31_stable_bare_only,DE09,Dusseldorf,train,none,1,722402,504515,4291704,14706,290969,3175704,5824296,9000000,2486,0.9995733494062418,1.0,0.8553978594695207
v3_control,DE10,Dortmund,train,none,0,665587,545651,4325951,36767,113663,3312381,5687619,9000000,0,1.0,1.0,1.0
v31_priority_classes_min_2m,DE10,Dortmund,train,priority_classes_min_2m,0,665587,357813,4325951,36767,113663,3500219,5499781,9000000,187838,0.9669742294622758,0.6557543191527185,1.0
v31_priority_classes_min_6m,DE10,Dortmund,train,priority_classes_min_6m,0,665587,340079,4325951,36767,113663,3517953,5482047,9000000,205572,0.9638562287663783,0.6232536914621251,1.0
v31_priority_classes_min_8m,DE10,Dortmund,train,priority_classes_min_8m,0,665587,236939,4325951,36767,113663,3621093,5378907,9000000,308712,0.9457221026935876,0.4342317708571963,1.0
v31_priority_classes_min_10m,DE10,Dortmund,train,priority_classes_min_10m,0,665587,26100,4325951,36767,113663,3831932,5168068,9000000,519551,0.9086522849016434,0.04783277222986854,1.0
v31_major_classes_min_2m,DE10,Dortmund,train,major_classes_min_2m,0,665587,94951,4325951,36767,113663,3763081,5236919,9000000,450700,0.9207577019487416,0.17401415923364935,1.0
v31_stable_bare_only,DE10,Dortmund,train,none,1,665587,545651,4325951,28713,113663,3320435,5679565,9000000,8054,0.9985839417162085,1.0,0.7809448690401719
v3_control,DE11,Hamburg,train,none,0,804953,546455,3395726,35529,461811,3755526,5244474,9000000,0,1.0,1.0,1.0
v31_priority_classes_min_2m,DE11,Hamburg,train,priority_classes_min_2m,0,804953,358636,3395726,35529,461811,3943345,5056655,9000000,187819,0.9641872569107979,0.6562955778609401,1.0
v31_priority_classes_min_6m,DE11,Hamburg,train,priority_classes_min_6m,0,804953,339408,3395726,35529,461811,3962573,5037427,9000000,207047,0.9605209216405687,0.6211087829738954,1.0
v31_priority_classes_min_8m,DE11,Hamburg,train,priority_classes_min_8m,0,804953,222379,3395726,35529,461811,4079602,4920398,9000000,324076,0.9382061957023716,0.4069484221024604,1.0
