selection_rank_global,selection_rank_within_split,tile_id,city_id,city_name,split,tile_row,tile_col,row_offset,col_offset,tile_size,stride,source_width_pixels,source_height_pixels,source_pixel_count,padding_pixel_count,padding_fraction,valid_pixel_count,valid_fraction_all_pixels,valid_fraction_source_pixels,ignore_pixel_count,ignore_fraction_source_pixels,conflict_pixel_count,conflict_fraction_source_pixels,buildings_pixel_count,buildings_fraction_valid,buildings_fraction_source_pixels,roads_pixel_count,roads_fraction_valid,roads_fraction_source_pixels,vegetation_pixel_count,vegetation_fraction_valid,vegetation_fraction_source_pixels,bare_land_pixel_count,bare_land_fraction_valid,bare_land_fraction_source_pixels,water_pixel_count,water_fraction_valid,water_fraction_source_pixels,support_1_pixel_count,support_1_fraction_valid,support_2_pixel_count,support_2_fraction_valid,support_3_pixel_count,support_3_fraction_valid,provenance_1_pixel_count,provenance_2_pixel_count,provenance_3_pixel_count,provenance_4_pixel_count,provenance_5_pixel_count,provenance_6_pixel_count,provenance_7_pixel_count,bounds_left,bounds_bottom,bounds_right,bounds_top,crs,source_sar_path,source_semantic_path,source_validity_path,source_provenance_path,source_support_path,source_conflict_path,coverage_eligible,rule_buildings,rule_roads,rule_bare_land,rule_water,selected,selection_reason,rejection_reason
1,1,DE01_r000_c002,DE01,Mannheim,train,0,2,0,512,256,256,256,256,65536,0,0.0,40096,0.61181640625,0.61181640625,25440,0.38818359375,6759,0.1031341552734375,6025,0.1502643655227454,0.0919342041015625,2986,0.0744712689545091,0.045562744140625,30815,0.768530526735834,0.4701995849609375,0,0.0,0.0,270,0.0067338387869114,0.004119873046875,890,0.0221967278531524,22243,0.5547436153232242,16963,0.4230596568236233,890,0,5756,0,16077,410,16963,451444.5904690316,5494228.165275654,454004.5904690316,5496788.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_semantic.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_validity.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_provenance.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_support_count.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_source_conflict.tif,True,True,True,False,False,True,buildings>=0.075000+roads>=0.030000,
2,2,DE01_r000_c003,DE01,Mannheim,train,0,3,0,768,256,256,256,256,65536,0,0.0,53149,0.8109893798828125,0.8109893798828125,12387,0.1890106201171875,3136,0.0478515625,895,0.0168394513537413,0.0136566162109375,997,0.0187585843571845,0.0152130126953125,46745,0.879508551430883,0.7132720947265625,0,0.0,0.0,4512,0.0848934128581911,0.06884765625,136,0.0025588440045908,32175,0.6053735724096408,20838,0.3920675835857683,136,0,1366,0,26288,4521,20838,454004.5904690316,5494228.165275654,456564.5904690316,5496788.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_semantic.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_validity.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_provenance.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_support_count.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_source_conflict.tif,True,False,False,False,True,True,water>=0.050000,
3,3,DE01_r000_c004,DE01,Mannheim,train,0,4,0,1024,256,256,256,256,65536,0,0.0,57354,0.875152587890625,0.875152587890625,8182,0.124847412109375,3556,0.05426025390625,603,0.0105136520556543,0.0092010498046875,250,0.0043588938870872,0.003814697265625,49549,0.8639153328451372,0.7560577392578125,0,0.0,0.0,6952,0.1212121212121212,0.1060791015625,210,0.0036614708651532,31964,0.5573107368274227,25180,0.439027792307424,210,0,785,0,28750,2429,25180,456564.5904690316,5494228.165275654,459124.5904690316,5496788.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_semantic.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_validity.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_provenance.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_support_count.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_source_conflict.tif,True,False,False,False,True,True,water>=0.050000,
4,4,DE01_r000_c005,DE01,Mannheim,train,0,5,0,1280,256,256,256,256,65536,0,0.0,45516,0.69451904296875,0.69451904296875,20020,0.30548095703125,6746,0.102935791015625,3427,0.0752922049389225,0.0522918701171875,2269,0.0498506019861147,0.0346221923828125,32572,0.7156164865102381,0.49700927734375,0,0.0,0.0,7248,0.1592407065647245,0.110595703125,529,0.0116222866684242,27226,0.598163283241058,17761,0.3902144300905176,529,0,3525,0,23659,42,17761,459124.5904690316,5494228.165275654,461684.5904690316,5496788.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_semantic.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_validity.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_provenance.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_support_count.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_source_conflict.tif,True,True,True,False,True,True,buildings>=0.075000+roads>=0.030000+water>=0.050000,
5,5,DE01_r000_c006,DE01,Mannheim,train,0,6,0,1536,256,256,256,256,65536,0,0.0,54154,0.826324462890625,0.826324462890625,11382,0.173675537109375,2773,0.0423126220703125,2523,0.0465893562802378,0.0384979248046875,1174,0.0216789156848986,0.017913818359375,50239,0.927706171289286,0.7665863037109375,218,0.0040255567455774,0.003326416015625,0,0.0,0.0,612,0.0113011042582265,18893,0.3488754293311666,34649,0.6398234664106068,612,0,2358,0,16287,248,34649,461684.5904690316,5494228.165275654,464244.5904690316,5496788.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_semantic.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_validity.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_provenance.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_support_count.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_source_conflict.tif,True,False,False,True,False,True,bare_land>=0.001000,
6,6,DE01_r000_c008,DE01,Mannheim,train,0,8,0,2048,256,256,256,256,65536,0,0.0,57360,0.875244140625,0.875244140625,8176,0.124755859375,2227,0.0339813232421875,242,0.0042189679218967,0.003692626953125,603,0.0105125523012552,0.0092010498046875,54592,0.9517433751743376,0.8330078125,1923,0.0335251046025104,0.0293426513671875,0,0.0,0.0,77,0.0013423988842398,17803,0.3103730822873082,39480,0.6882845188284519,77,0,1980,0,15026,797,39480,466804.5904690316,5494228.165275654,469364.5904690316,5496788.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_semantic.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_validity.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_provenance.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_support_count.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_source_conflict.tif,True,False,False,True,False,True,bare_land>=0.001000,
7,7,DE01_r000_c010,DE01,Mannheim,train,0,10,0,2560,256,256,256,256,65536,0,0.0,45028,0.68707275390625,0.68707275390625,20508,0.31292724609375,3918,0.059783935546875,1729,0.0383983299280447,0.0263824462890625,1536,0.0341121080216754,0.0234375,41763,0.92748956205028,0.6372528076171875,0,0.0,0.0,0,0.0,0.0,847,0.0188105178999733,35820,0.7955050190992271,8361,0.1856844630007995,847,0,6965,0,28794,61,8361,471924.5904690316,5494228.165275654,474484.5904690316,5496788.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_semantic.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_validity.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_provenance.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_support_count.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_source_conflict.tif,True,False,True,False,False,True,roads>=0.030000,
8,8,DE01_r001_c002,DE01,Mannheim,train,1,2,256,512,256,256,256,256,65536,0,0.0,52334,0.798553466796875,0.798553466796875,13202,0.201446533203125,4071,0.0621185302734375,3947,0.0754194214086444,0.0602264404296875,2070,0.0395536362594107,0.031585693359375,46251,0.8837658119004853,0.7057342529296875,0,0.0,0.0,66,0.0012611304314594,0.001007080078125,1238,0.0236557496082852,22381,0.427656972522643,28715,0.5486872778690717,1238,0,3805,0,18316,260,28715,451444.5904690316,5491668.165275654,454004.5904690316,5494228.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_semantic.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_validity.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_provenance.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_support_count.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_source_conflict.tif,True,True,True,False,False,True,buildings>=0.075000+roads>=0.030000,
9,9,DE01_r001_c003,DE01,Mannheim,train,1,3,256,768,256,256,256,256,65536,0,0.0,59662,0.910369873046875,0.910369873046875,5874,0.089630126953125,3260,0.04974365234375,778,0.0130401260433776,0.011871337890625,280,0.0046931044886192,0.0042724609375,44050,0.7383259025845597,0.672149658203125,0,0.0,0.0,14554,0.2439408668834434,0.222076416015625,229,0.0038382890281921,34486,0.5780228621232946,24947,0.4181388488485132,229,0,1116,0,33141,229,24947,454004.5904690316,5491668.165275654,456564.5904690316,5494228.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_semantic.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_validity.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_provenance.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_support_count.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_source_conflict.tif,True,False,False,False,True,True,water>=0.050000,
10,10,DE01_r001_c004,DE01,Mannheim,train,1,4,256,1024,256,256,256,256,65536,0,0.0,61491,0.9382781982421876,0.9382781982421876,4045,0.0617218017578125,3022,0.046112060546875,103,0.0016750418760469,0.0015716552734375,617,0.0100339887137955,0.0094146728515625,50503,0.821307183165016,0.7706146240234375,0,0.0,0.0,10268,0.1669837862451415,0.15667724609375,132,0.0021466556081377,34837,0.5665381925810281,26522,0.4313151518108341,132,0,500,0,34224,113,26522,456564.5904690316,5491668.165275654,459124.5904690316,5494228.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_semantic.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_validity.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_provenance.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_support_count.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_source_conflict.tif,True,False,False,False,True,True,water>=0.050000,
