split,class_name,pixel_count,fraction_valid,selected_tile_count,valid_pixel_count
train,buildings,5738045,0.1286603648396358,1072,44598389
train,roads,2675134,0.05998274960111227,1072,44598389
train,vegetation,33638566,0.7542551817286495,1072,44598389
train,bare_land,256859,0.005759378438535078,1072,44598389
train,water,2289785,0.051342325392067414,1072,44598389
val,buildings,793016,0.04531084239155743,346,17501683
val,roads,515832,0.0294732797982914,346,17501683
val,vegetation,15669292,0.8953020118122355,346,17501683
val,bare_land,52659,0.0030087963540420654,346,17501683
val,water,470884,0.026905069643873677,346,17501683
test,buildings,513849,0.028832954102235676,336,17821587
test,roads,346794,0.019459209777445745,336,17821587
test,vegetation,16062907,0.9013174303725028,336,17821587
test,bare_land,21633,0.0012138649605110926,336,17821587
test,water,876404,0.04917654078730475,336,17821587
all,buildings,7044910,0.0881476947319124,1754,79921659
all,roads,3537760,0.04426534739475316,1754,79921659
all,vegetation,65370765,0.8179355360979181,1754,79921659
all,bare_land,331151,0.00414344502032922,1754,79921659
all,water,3637073,0.04550797675508713,1754,79921659
