split,city_id,city_name,candidate_tile_count,coverage_eligible_tile_count,selected_tile_count,selected_fraction_candidates,selected_valid_pixel_count
test,DE18,Freiburg,144,119,119,0.8263888888888888,6694051
test,DE19,Kiel,144,115,115,0.7986111111111112,5544542
test,DE20,Rostock,144,102,102,0.7083333333333334,5582994
train,DE01,Mannheim,144,115,78,0.5416666666666666,3530489
train,DE02,Heidelberg,144,92,52,0.3611111111111111,2147465
train,DE03,Karlsruhe,144,119,76,0.5277777777777778,3606847
train,DE04,Stuttgart,144,121,93,0.6458333333333334,3962810
train,DE05,Munich,144,105,77,0.5347222222222222,3246369
train,DE06,Nuremberg,144,110,63,0.4375,2732068
train,DE07,Frankfurt,144,112,85,0.5902777777777778,3505341
train,DE08,Cologne,144,115,97,0.6736111111111112,3828436
train,DE09,Dusseldorf,144,104,88,0.6111111111111112,3751754
train,DE10,Dortmund,144,111,103,0.7152777777777778,4159650
train,DE11,Hamburg,144,86,68,0.4722222222222222,2509991
train,DE12,Bremen,144,107,69,0.4791666666666667,2887059
train,DE13,Hanover,144,108,61,0.4236111111111111,2461259
train,DE14,Berlin,144,71,62,0.4305555555555556,2268851
val,DE15,Leipzig,144,111,111,0.7708333333333334,5428627
val,DE16,Dresden,144,114,114,0.7916666666666666,5570349
val,DE17,Munster,144,121,121,0.8402777777777778,6502707
