system:index,anchor_candidate_count,city_id,city_name,orbit_pass,q1_observation_count,q2_observation_count,q3_observation_count,q4_observation_count,registry_anchor_time,relative_orbit,selected_anchor_product,selected_anchor_time_ms,split,.geo
0,1,DE01,Mannheim,DESCENDING,8,12,15,15,2025-07-13T05:42:43.613815Z,139.0,S1A_IW_GRDH_1SDV_20250713T054243_20250713T054308_060061_077642_8698,1.752385363E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1,DE02,Heidelberg,DESCENDING,8,12,15,15,2025-07-13T05:42:43.613815Z,139.0,S1A_IW_GRDH_1SDV_20250713T054243_20250713T054308_060061_077642_8698,1.752385363E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1,DE03,Karlsruhe,DESCENDING,7,18,22,21,2025-07-20T05:34:45.508523Z,66.0,S1A_IW_GRDH_1SDV_20250720T053445_20250720T053510_060163_0779C8_42FD,1.752989685E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1,DE04,Stuttgart,DESCENDING,7,13,15,14,2025-07-20T05:34:45.508523Z,66.0,S1A_IW_GRDH_1SDV_20250720T053445_20250720T053510_060163_0779C8_42FD,1.752989685E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1,DE05,Munich,ASCENDING,7,13,16,14,2025-07-11T17:07:38.179864Z,117.0,S1A_IW_GRDH_1SDV_20250711T170738_20250711T170803_060039_077585_2773,1.752253658E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1,DE06,Nuremberg,DESCENDING,8,14,16,15,2025-07-15T05:26:33.008671Z,168.0,S1A_IW_GRDH_1SDV_20250715T052633_20250715T052658_060090_077749_E668,1.752557193E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1,DE07,Frankfurt,DESCENDING,8,12,15,15,2025-07-13T05:42:43.613815Z,139.0,S1A_IW_GRDH_1SDV_20250713T054243_20250713T054308_060061_077642_8698,1.752385363E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1,DE08,Cologne,DESCENDING,8,12,16,15,2025-07-13T05:42:18.614253Z,139.0,S1A_IW_GRDH_1SDV_20250713T054218_20250713T054243_060061_077642_BC80,1.752385338E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1,DE09,Dusseldorf,DESCENDING,8,12,16,15,2025-07-13T05:42:18.614253Z,139.0,S1A_IW_GRDH_1SDV_20250713T054218_20250713T054243_060061_077642_BC80,1.752385338E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1,DE10,Dortmund,DESCENDING,8,12,16,15,2025-07-13T05:42:18.614253Z,139.0,S1A_IW_GRDH_1SDV_20250713T054218_20250713T054243_060061_077642_BC80,1.752385338E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1,DE11,Hamburg,DESCENDING,9,18,22,21,2025-07-20T05:33:30.509183Z,66.0,S1A_IW_GRDH_1SDV_20250720T053330_20250720T053355_060163_0779C8_FF0D,1.75298961E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1,DE12,Bremen,DESCENDING,8,13,16,15,2025-07-13T05:41:53.614671Z,139.0,S1A_IW_GRDH_1SDV_20250713T054153_20250713T054218_060061_077642_CE03,1.752385313E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1,DE13,Hanover,DESCENDING,8,12,16,15,2025-07-13T05:41:53.614671Z,139.0,S1A_IW_GRDH_1SDV_20250713T054153_20250713T054218_060061_077642_CE03,1.752385313E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1,DE14,Berlin,ASCENDING,8,16,16,15,2025-07-13T16:52:26.091744Z,146.0,S1A_IW_GRDH_1SDV_20250713T165226_20250713T165251_060068_077680_45F9,1.752425546E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1,DE15,Leipzig,DESCENDING,8,15,15,16,2025-07-15T05:25:43.008234Z,168.0,S1A_IW_GRDH_1SDV_20250715T052543_20250715T052608_060090_077749_0C2C,1.752557143E12,val,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2,DE16,Dresden,DESCENDING,15,25,21,24,2025-07-10T05:17:34.350556Z,95.0,S1A_IW_GRDH_1SDV_20250710T051734_20250710T051759_060017_0774C4_071F,1.752124654E12,val,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1,DE17,Munster,DESCENDING,8,17,24,22,2025-07-13T05:42:18.614253Z,139.0,S1A_IW_GRDH_1SDV_20250713T054218_20250713T054243_060061_077642_BC80,1.752385338E12,val,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1,DE18,Freiburg,DESCENDING,8,12,16,15,2025-07-13T05:43:08.613377Z,139.0,S1A_IW_GRDH_1SDV_20250713T054308_20250713T054333_060061_077642_AAE4,1.752385388E12,test,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1,DE19,Kiel,DESCENDING,8,14,16,15,2025-07-13T05:41:28.613611Z,139.0,S1A_IW_GRDH_1SDV_20250713T054128_20250713T054153_060061_077642_E147,1.752385288E12,test,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1,DE20,Rostock,ASCENDING,8,15,14,14,2025-07-13T16:52:51.092456Z,146.0,S1A_IW_GRDH_1SDV_20250713T165251_20250713T165316_060068_077680_CEF2,1.752425571E12,test,"{""type"":""MultiPoint"",""coordinates"":[]}"
