selection_rank_global,selection_rank_within_split,tile_id,city_id,city_name,split,tile_row,tile_col,row_offset,col_offset,tile_size,stride,source_width_pixels,source_height_pixels,source_pixel_count,padding_pixel_count,padding_fraction,valid_pixel_count,valid_fraction_all_pixels,valid_fraction_source_pixels,ignore_pixel_count,ignore_fraction_source_pixels,conflict_pixel_count,conflict_fraction_source_pixels,buildings_pixel_count,buildings_fraction_valid,buildings_fraction_source_pixels,roads_pixel_count,roads_fraction_valid,roads_fraction_source_pixels,vegetation_pixel_count,vegetation_fraction_valid,vegetation_fraction_source_pixels,bare_land_pixel_count,bare_land_fraction_valid,bare_land_fraction_source_pixels,water_pixel_count,water_fraction_valid,water_fraction_source_pixels,support_1_pixel_count,support_1_fraction_valid,support_2_pixel_count,support_2_fraction_valid,support_3_pixel_count,support_3_fraction_valid,provenance_1_pixel_count,provenance_2_pixel_count,provenance_3_pixel_count,provenance_4_pixel_count,provenance_5_pixel_count,provenance_6_pixel_count,provenance_7_pixel_count,bounds_left,bounds_bottom,bounds_right,bounds_top,crs,source_sar_path,source_semantic_path,source_validity_path,source_provenance_path,source_support_path,source_conflict_path,coverage_eligible,rule_buildings,rule_roads,rule_bare_land,rule_water,selected,selection_reason,rejection_reason,image_path,semantic_mask_path,validity_mask_path,provenance_mask_path,support_mask_path,conflict_mask_path,materialization_status,image_sha256,semantic_sha256,validity_sha256,provenance_sha256,support_sha256,conflict_sha256,tile_qa_status,parent_v3_image_path,parent_v3_semantic_mask_path,parent_v3_validity_mask_path,parent_v3_valid_pixel_count,temporal_removed_valid_pixel_count,temporal_retained_fraction_parent_valid
1,1,DE01_r000_c002,DE01,Mannheim,train,0,2,0,512,256,256,256,256,65536,0,0.0,41461,0.6326446533203125,0.6326446533203125,24075,0.3673553466796875,6759,0.1031341552734375,6025,0.1453172861243095,0.0919342041015625,4158,0.1002870167145027,0.063446044921875,30815,0.7432285762523818,0.4701995849609375,193,0.0046549769663056,0.0029449462890625,270,0.0065121439425001,0.004119873046875,1871,0.0451267456163623,22627,0.545741781433154,16963,0.4091314729504836,1871,0,5756,0,16461,410,16963,451444.5904690316,5494228.165275654,454004.5904690316,5496788.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3\fused\DE01\DE01_v3_semantic.tif,data\interim\labels_v3\fused\DE01\DE01_v3_validity.tif,data\interim\labels_v3\fused\DE01\DE01_v3_provenance.tif,data\interim\labels_v3\fused\DE01\DE01_v3_support_count.tif,data\interim\labels_v3\fused\DE01\DE01_v3_source_conflict.tif,True,True,True,False,False,True,buildings>=0.075000+roads>=0.075000,,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\images\DE01_r000_c002_image.tif,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\semantic_masks\DE01_r000_c002_semantic.tif,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\validity_masks\DE01_r000_c002_validity.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\provenance_masks\DE01_r000_c002_provenance.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\support_masks\DE01_r000_c002_support.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\conflict_masks\DE01_r000_c002_conflict.tif,PASS,6e784ee5c48ba42d42dc9444f3ab01491269aa5a1700f6c158277a3d9aabd827,523cb2584474058b62b6d86490ae1b32ab3a0debeca34354c9cf1dc33a34cd47,0bb9374f121abc1915302bc100a92f8786f47fa9f787c459cf2bbf573859122d,61d225daca101115ab562b20c30b7c02632a7ba85baee9e3921a605d01a39f1c,e0483e6e2ce2b51016cf9d70971dea9df55ca429ff086889d73b0f0b1171be13,536328ff27ec232785d4e74f55b73282eab8fc9d83dd6b577b07cbd2bb3d668b,PASS,data\processed\dataset_v3\tiles\train\DE01_Mannheim\images\DE01_r000_c002_image.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\semantic_masks\DE01_r000_c002_semantic.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\validity_masks\DE01_r000_c002_validity.tif,41461,0,1.0
2,2,DE01_r000_c003,DE01,Mannheim,train,0,3,0,768,256,256,256,256,65536,0,0.0,53547,0.8170623779296875,0.8170623779296875,11989,0.1829376220703125,3136,0.0478515625,895,0.0167142883821689,0.0136566162109375,1395,0.0260518796571236,0.0212860107421875,46745,0.8729714082955161,0.7132720947265625,0,0.0,0.0,4512,0.0842624236651913,0.06884765625,477,0.0089080620763067,32232,0.6019384839486805,20838,0.3891534539750126,477,0,1366,0,26345,4521,20838,454004.5904690316,5494228.165275654,456564.5904690316,5496788.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3\fused\DE01\DE01_v3_semantic.tif,data\interim\labels_v3\fused\DE01\DE01_v3_validity.tif,data\interim\labels_v3\fused\DE01\DE01_v3_provenance.tif,data\interim\labels_v3\fused\DE01\DE01_v3_support_count.tif,data\interim\labels_v3\fused\DE01\DE01_v3_source_conflict.tif,True,False,False,False,True,True,water>=0.050000,,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\images\DE01_r000_c003_image.tif,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\semantic_masks\DE01_r000_c003_semantic.tif,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\validity_masks\DE01_r000_c003_validity.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\provenance_masks\DE01_r000_c003_provenance.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\support_masks\DE01_r000_c003_support.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\conflict_masks\DE01_r000_c003_conflict.tif,PASS,6d7db6341e9c183c5ba52762a5a0a4e982a4a3ab8222329a0bd1b1c2aec2d306,00e63be7b695f8a05f8c5f68fc27d6d4446974aac0eb7869abb99f74089417b0,fc706a62af3ba7a60d912f4c6436e8258a219e370f38c93662ed94de104612e2,6c88403c63d4c1390b7155ff761604fa1d8e039abb1bdfb275a334cbc42fb9de,a31b5c9b80c56cc6c1c23af896e99ac860b85a13bfd7e9666bacaa3a50544ba7,bede5f8b99bf35337d6de4acdba5030118057c07f4e7efa690d6677d3fd8d35a,PASS,data\processed\dataset_v3\tiles\train\DE01_Mannheim\images\DE01_r000_c003_image.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\semantic_masks\DE01_r000_c003_semantic.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\validity_masks\DE01_r000_c003_validity.tif,53547,0,1.0
3,3,DE01_r000_c004,DE01,Mannheim,train,0,4,0,1024,256,256,256,256,65536,0,0.0,57736,0.8809814453125,0.8809814453125,7800,0.1190185546875,3556,0.05426025390625,603,0.0104440903422474,0.0092010498046875,632,0.0109463766107801,0.0096435546875,49549,0.8581993903283913,0.7560577392578125,0,0.0,0.0,6952,0.1204101427185811,0.1060791015625,511,0.008850630455868,32045,0.5550263267285576,25180,0.4361230428155743,511,0,785,0,28831,2429,25180,456564.5904690316,5494228.165275654,459124.5904690316,5496788.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3\fused\DE01\DE01_v3_semantic.tif,data\interim\labels_v3\fused\DE01\DE01_v3_validity.tif,data\interim\labels_v3\fused\DE01\DE01_v3_provenance.tif,data\interim\labels_v3\fused\DE01\DE01_v3_support_count.tif,data\interim\labels_v3\fused\DE01\DE01_v3_source_conflict.tif,True,False,False,False,True,True,water>=0.050000,,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\images\DE01_r000_c004_image.tif,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\semantic_masks\DE01_r000_c004_semantic.tif,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\validity_masks\DE01_r000_c004_validity.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\provenance_masks\DE01_r000_c004_provenance.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\support_masks\DE01_r000_c004_support.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\conflict_masks\DE01_r000_c004_conflict.tif,PASS,4485f13f9d0d5ab77400f7d519281f3c2858502bf0e1a920efa51a84f49f3fa5,21bb027a665f35d3a0e1b58a010951e8dffa3f39011e0ae1f97940288bf92dad,30392da2e66ba6f7ddac2af04bbcf8244dcfacd635c1cb482ff0ed03bd691be0,b9e596d6f64cb77bee931026193021c1457b8707d693325f29cfc35024d0aca5,ef99e4dfdd7b96ddcdd29210734b54b9711c536f9b5494455e5c98f268cdf530,b1a98804175770a5192018b365d822a5e86dc3e5bcfbb5e0993590a573c75830,PASS,data\processed\dataset_v3\tiles\train\DE01_Mannheim\images\DE01_r000_c004_image.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\semantic_masks\DE01_r000_c004_semantic.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\validity_masks\DE01_r000_c004_validity.tif,57736,0,1.0
4,4,DE01_r000_c005,DE01,Mannheim,train,0,5,0,1280,256,256,256,256,65536,0,0.0,46487,0.7093353271484375,0.7093353271484375,19049,0.2906646728515625,6746,0.102935791015625,3427,0.0737195344935143,0.0522918701171875,3240,0.0696969045109385,0.0494384765625,32572,0.7006690042377439,0.49700927734375,0,0.0,0.0,7248,0.1559145567578032,0.110595703125,1443,0.031040936175705,27283,0.5868952610407211,17761,0.3820638027835739,1443,0,3525,0,23716,42,17761,459124.5904690316,5494228.165275654,461684.5904690316,5496788.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3\fused\DE01\DE01_v3_semantic.tif,data\interim\labels_v3\fused\DE01\DE01_v3_validity.tif,data\interim\labels_v3\fused\DE01\DE01_v3_provenance.tif,data\interim\labels_v3\fused\DE01\DE01_v3_support_count.tif,data\interim\labels_v3\fused\DE01\DE01_v3_source_conflict.tif,True,False,False,False,True,True,water>=0.050000,,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\images\DE01_r000_c005_image.tif,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\semantic_masks\DE01_r000_c005_semantic.tif,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\validity_masks\DE01_r000_c005_validity.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\provenance_masks\DE01_r000_c005_provenance.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\support_masks\DE01_r000_c005_support.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\conflict_masks\DE01_r000_c005_conflict.tif,PASS,254d0e53dbed17eb32d4fb16d40e8f30b816e8348bea88e83286e58ad7c6bde1,949d98ea5cc646789be108bef741f66bde9b12eb638250dff6f07dcafc63bc45,c9b7298ac8d394ecab8da4251ca8b49dd71b38be8017563fffe8b696df80a5b8,a2c445b26e2769d18c671d88a4a292f7014d7196d377b6c7f97b43ddf8c98710,d8d46a5cf8340c61f41ae182504832adbf5e67ea6af5852c4e9e940af636a092,c620be8ab649e4455de4851eaf766a4e6b421efc3249f12f475a6bc93fc09356,PASS,data\processed\dataset_v3\tiles\train\DE01_Mannheim\images\DE01_r000_c005_image.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\semantic_masks\DE01_r000_c005_semantic.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\validity_masks\DE01_r000_c005_validity.tif,46487,0,1.0
5,5,DE01_r000_c008,DE01,Mannheim,train,0,8,0,2048,256,256,256,256,65536,0,0.0,57884,0.88323974609375,0.88323974609375,7652,0.11676025390625,2227,0.0339813232421875,242,0.004180775343791,0.003692626953125,1127,0.0194699744316218,0.0171966552734375,54592,0.943127634579504,0.8330078125,1923,0.0332216156450832,0.0293426513671875,0,0.0,0.0,601,0.0103828346347868,17803,0.3075634026674038,39480,0.6820537626978094,601,0,1980,0,15026,797,39480,466804.5904690316,5494228.165275654,469364.5904690316,5496788.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3\fused\DE01\DE01_v3_semantic.tif,data\interim\labels_v3\fused\DE01\DE01_v3_validity.tif,data\interim\labels_v3\fused\DE01\DE01_v3_provenance.tif,data\interim\labels_v3\fused\DE01\DE01_v3_support_count.tif,data\interim\labels_v3\fused\DE01\DE01_v3_source_conflict.tif,True,False,False,True,False,True,bare_land>=0.005000,,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\images\DE01_r000_c008_image.tif,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\semantic_masks\DE01_r000_c008_semantic.tif,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\validity_masks\DE01_r000_c008_validity.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\provenance_masks\DE01_r000_c008_provenance.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\support_masks\DE01_r000_c008_support.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\conflict_masks\DE01_r000_c008_conflict.tif,PASS,604405e2956a9162e2c0c063ab3ac42781819a59c0abcb625750b43ba353f6d3,f84f8a3a508d2c8ba115ce6f37ed692ac3a0acba5ce9feefa5ba387506894f70,376c75faf6fd37890a81344e8daacb9a3ac2aacdbd0d8e545e46218af80230ec,7c9ac0a761118cdb7444d009f1cb3e1da3819b2e218bf413460d7d931f8c105e,3b68eb69ccc9843cc292960e6feff2a61d3dac8bc513f9fbc3991bee1d9ab07a,279b7a74ad4bd40186e94ec7ba6eca56316cfcea685c5734091d16859078b2e6,PASS,data\processed\dataset_v3\tiles\train\DE01_Mannheim\images\DE01_r000_c008_image.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\semantic_masks\DE01_r000_c008_semantic.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\validity_masks\DE01_r000_c008_validity.tif,57884,0,1.0
6,6,DE01_r001_c003,DE01,Mannheim,train,1,3,256,768,256,256,256,256,65536,0,0.0,60022,0.915863037109375,0.915863037109375,5514,0.084136962890625,3260,0.04974365234375,778,0.0129619139648795,0.011871337890625,640,0.0106627569891039,0.009765625,44050,0.7338975708906734,0.672149658203125,0,0.0,0.0,14554,0.242477758155343,0.222076416015625,552,0.0091966279031021,34523,0.5751724367731832,24947,0.4156309353237146,552,0,1116,0,33178,229,24947,454004.5904690316,5491668.165275654,456564.5904690316,5494228.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3\fused\DE01\DE01_v3_semantic.tif,data\interim\labels_v3\fused\DE01\DE01_v3_validity.tif,data\interim\labels_v3\fused\DE01\DE01_v3_provenance.tif,data\interim\labels_v3\fused\DE01\DE01_v3_support_count.tif,data\interim\labels_v3\fused\DE01\DE01_v3_source_conflict.tif,True,False,False,False,True,True,water>=0.050000,,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\images\DE01_r001_c003_image.tif,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\semantic_masks\DE01_r001_c003_semantic.tif,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\validity_masks\DE01_r001_c003_validity.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\provenance_masks\DE01_r001_c003_provenance.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\support_masks\DE01_r001_c003_support.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\conflict_masks\DE01_r001_c003_conflict.tif,PASS,23f74fc15398d23a727622105b508d6f2dad11acdfb48a5b9b8b581cc530e558,d6a3f994bf9c6270822604dc90a9b095c05b15ca5ef913588c33964f1badb19c,7e02e9151ed2ba744e0832fa959315d93d4ff8edb6928cb53b77d3d6bc7e5797,bbbeb5eafbbe8ba9653ce4f4fdd34775af51025a7a271a180143b0c79965bf85,585bae5dd5ad5647c2e2f7c4dc3b54c92a8bcea48efc06ce5e680d4482dda0cd,f6de0d6af4e7c41b015e3f9f869a44835fff6c0a3a355609d98e0b954d64a150,PASS,data\processed\dataset_v3\tiles\train\DE01_Mannheim\images\DE01_r001_c003_image.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\semantic_masks\DE01_r001_c003_semantic.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\validity_masks\DE01_r001_c003_validity.tif,60022,0,1.0
7,7,DE01_r001_c004,DE01,Mannheim,train,1,4,256,1024,256,256,256,256,65536,0,0.0,61746,0.942169189453125,0.942169189453125,3790,0.057830810546875,3022,0.046112060546875,103,0.0016681242509636,0.0015716552734375,872,0.0141223722994202,0.0133056640625,50503,0.8179153305477278,0.7706146240234375,0,0.0,0.0,10268,0.1662941729018884,0.15667724609375,355,0.0057493602824474,34869,0.5647167427849578,26522,0.4295338969325948,355,0,500,0,34256,113,26522,456564.5904690316,5491668.165275654,459124.5904690316,5494228.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3\fused\DE01\DE01_v3_semantic.tif,data\interim\labels_v3\fused\DE01\DE01_v3_validity.tif,data\interim\labels_v3\fused\DE01\DE01_v3_provenance.tif,data\interim\labels_v3\fused\DE01\DE01_v3_support_count.tif,data\interim\labels_v3\fused\DE01\DE01_v3_source_conflict.tif,True,False,False,False,True,True,water>=0.050000,,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\images\DE01_r001_c004_image.tif,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\semantic_masks\DE01_r001_c004_semantic.tif,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\validity_masks\DE01_r001_c004_validity.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\provenance_masks\DE01_r001_c004_provenance.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\support_masks\DE01_r001_c004_support.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\conflict_masks\DE01_r001_c004_conflict.tif,PASS,c9e6b712252871618bf6822ca35fdf9f2d5b79f83c2c04e90de316319769ea68,bba5aa10d9fa614e2d54e0a45063506051a079f85eb6206ecc74b224296bbc2e,757d2eb595d5d3e7d304b6aeac03dcad9cd3d5183ed2cb746c007c8cd2da06d3,4ce3b9b0a64176138c70d4bdd3e3ad7fcac243b1545d4cbcf15fdb5315ff778d,85f202a6588119666712ea39038156f6f6ab93edc8529296f2e8bdf58522bbd9,57e4da7fa8c34f9f07ad5648e2706ac1a2beefdeeb98592bd26aa3444780c9c7,PASS,data\processed\dataset_v3\tiles\train\DE01_Mannheim\images\DE01_r001_c004_image.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\semantic_masks\DE01_r001_c004_semantic.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\validity_masks\DE01_r001_c004_validity.tif,61746,0,1.0
8,8,DE01_r001_c006,DE01,Mannheim,train,1,6,256,1536,256,256,256,256,65536,0,0.0,44107,0.6730194091796875,0.6730194091796875,21429,0.3269805908203125,7116,0.10858154296875,5217,0.1182805450382025,0.0796051025390625,3538,0.0802140249846963,0.053985595703125,35245,0.7990795111887002,0.5377960205078125,0,0.0,0.0,107,0.0024259187884009,0.0016326904296875,2243,0.0508536060035822,26603,0.6031468927834585,15261,0.3459995012129594,2243,0,4816,0,21645,142,15261,461684.5904690316,5491668.165275654,464244.5904690316,5494228.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3\fused\DE01\DE01_v3_semantic.tif,data\interim\labels_v3\fused\DE01\DE01_v3_validity.tif,data\interim\labels_v3\fused\DE01\DE01_v3_provenance.tif,data\interim\labels_v3\fused\DE01\DE01_v3_support_count.tif,data\interim\labels_v3\fused\DE01\DE01_v3_source_conflict.tif,True,True,True,False,False,True,buildings>=0.075000+roads>=0.075000,,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\images\DE01_r001_c006_image.tif,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\semantic_masks\DE01_r001_c006_semantic.tif,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\validity_masks\DE01_r001_c006_validity.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\provenance_masks\DE01_r001_c006_provenance.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\support_masks\DE01_r001_c006_support.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\conflict_masks\DE01_r001_c006_conflict.tif,PASS,0f56d1ff641c58d61433cd152f185ac502ffc253890a5ef799506875878fac6b,c15ae95134507e9ce2a27fb933f768a109433ce987589669c489a9a2c16ce8b4,0bacf480c52a728eb9db460ec0b1184220675ee3d9ba52aea529e9cf48455504,35a97d1117e9e4a0cfdb67d38476f8ceccf7214c60280387d4a92829c17a4269,1ebdd0e6d64c5bd7f8fb6c543cf0da3b680c0867b543b122aaa972679aa83b4c,aaf70628ddc9ff90ab4737320777fe559a60e44cfa43716ffdaa6c4d0417eaf7,PASS,data\processed\dataset_v3\tiles\train\DE01_Mannheim\images\DE01_r001_c006_image.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\semantic_masks\DE01_r001_c006_semantic.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\validity_masks\DE01_r001_c006_validity.tif,44107,0,1.0
9,9,DE01_r002_c003,DE01,Mannheim,train,2,3,512,768,256,256,256,256,65536,0,0.0,57970,0.884552001953125,0.884552001953125,7566,0.115447998046875,2771,0.0422821044921875,1216,0.020976367086424,0.0185546875,1679,0.028963256856995,0.0256195068359375,48664,0.8394686907020873,0.7425537109375,0,0.0,0.0,6411,0.1105916853544937,0.0978240966796875,772,0.0133172330515784,37689,0.6501466275659824,19509,0.3365361393824392,772,0,1246,0,36419,24,19509,454004.5904690316,5489108.165275654,456564.5904690316,5491668.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3\fused\DE01\DE01_v3_semantic.tif,data\interim\labels_v3\fused\DE01\DE01_v3_validity.tif,data\interim\labels_v3\fused\DE01\DE01_v3_provenance.tif,data\interim\labels_v3\fused\DE01\DE01_v3_support_count.tif,data\interim\labels_v3\fused\DE01\DE01_v3_source_conflict.tif,True,False,False,False,True,True,water>=0.050000,,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\images\DE01_r002_c003_image.tif,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\semantic_masks\DE01_r002_c003_semantic.tif,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\validity_masks\DE01_r002_c003_validity.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\provenance_masks\DE01_r002_c003_provenance.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\support_masks\DE01_r002_c003_support.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\conflict_masks\DE01_r002_c003_conflict.tif,PASS,90e433429af1211b0908fceaf3f2b2ac174d904924b6df71a0ccb45e0bec067d,fc1a65cffae31d76031072f32a16ce1f413332ee531dfda215bd92d0ce8ee885,9baf36d9d0c71e2c0d77121eeb2cc5b45e5c8f1493ec1fec6b0d3ff783c69389,dc982bc436d97d6bbec20f95ebd57df82c664d4748db5ef69d44e4ebb6eb2554,4000eb62dfb5a07ff658980aa724c9830f043634fc7c838ebdf5f55f0dbcc1fa,392e689d0e95450904113bb3ff17c1a31a43f4251c8fb730dc961ca5e65df750,PASS,data\processed\dataset_v3\tiles\train\DE01_Mannheim\images\DE01_r002_c003_image.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\semantic_masks\DE01_r002_c003_semantic.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\validity_masks\DE01_r002_c003_validity.tif,57970,0,1.0
10,10,DE01_r002_c004,DE01,Mannheim,train,2,4,512,1024,256,256,256,256,65536,0,0.0,57067,0.8707733154296875,0.8707733154296875,8469,0.1292266845703125,2983,0.0455169677734375,996,0.0174531690819562,0.01519775390625,869,0.0152277147913855,0.0132598876953125,46841,0.8208071214537298,0.7147369384765625,0,0.0,0.0,8361,0.1465119946729283,0.1275787353515625,904,0.0158410289659523,34679,0.6076892074228538,21484,0.3764697636111939,904,0,1794,0,32810,75,21484,456564.5904690316,5489108.165275654,459124.5904690316,5491668.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3\fused\DE01\DE01_v3_semantic.tif,data\interim\labels_v3\fused\DE01\DE01_v3_validity.tif,data\interim\labels_v3\fused\DE01\DE01_v3_provenance.tif,data\interim\labels_v3\fused\DE01\DE01_v3_support_count.tif,data\interim\labels_v3\fused\DE01\DE01_v3_source_conflict.tif,True,False,False,False,True,True,water>=0.050000,,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\images\DE01_r002_c004_image.tif,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\semantic_masks\DE01_r002_c004_semantic.tif,data\processed\dataset_v3_mt\tiles\train\DE01_Mannheim\validity_masks\DE01_r002_c004_validity.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\provenance_masks\DE01_r002_c004_provenance.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\support_masks\DE01_r002_c004_support.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\conflict_masks\DE01_r002_c004_conflict.tif,PASS,af4fa014354a3951f05c477e151166e53e4e72cd576b056858ecfc318749e80f,d032561a42897f807888a1040f4f7f66d3c9e5157c5235cdfe0757199e86ff5e,93397da3558d0333ee5b31002726a81087f56f234178a4ac95f50e27bb278772,13092f0a0376df61d2803196a786a85a8bbee34caa04f7b696f1634475e23be2,6fea67f81d8486f3308b3252b043d765dd45275819547b32bc8477dc20656b04,c0ff063fb13552053f710cc203cb71a7c990a106b5b50bf506ab21580f9cfb3f,PASS,data\processed\dataset_v3\tiles\train\DE01_Mannheim\images\DE01_r002_c004_image.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\semantic_masks\DE01_r002_c004_semantic.tif,data\processed\dataset_v3\tiles\train\DE01_Mannheim\validity_masks\DE01_r002_c004_validity.tif,57067,0,1.0
