system:index,anchor_candidate_count,city_id,city_name,m01_observation_count,m02_observation_count,m03_observation_count,m04_observation_count,m05_observation_count,m06_observation_count,m07_observation_count,m08_observation_count,m09_observation_count,m10_observation_count,m11_observation_count,m12_observation_count,orbit_pass,registry_anchor_time,relative_orbit,selected_anchor_product,selected_anchor_time_ms,split,.geo
0,1,DE01,Mannheim,3,2,3,2,5,5,6,5,4,5,5,5,DESCENDING,2025-07-13T05:42:43.613815Z,139.0,S1A_IW_GRDH_1SDV_20250713T054243_20250713T054308_060061_077642_8698,1.752385363E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1,DE02,Heidelberg,3,2,3,2,5,5,6,5,4,5,5,5,DESCENDING,2025-07-13T05:42:43.613815Z,139.0,S1A_IW_GRDH_1SDV_20250713T054243_20250713T054308_060061_077642_8698,1.752385363E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1,DE03,Karlsruhe,2,3,2,3,8,7,8,7,7,8,6,7,DESCENDING,2025-07-20T05:34:45.508523Z,66.0,S1A_IW_GRDH_1SDV_20250720T053445_20250720T053510_060163_0779C8_42FD,1.752989685E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1,DE04,Stuttgart,2,3,2,3,5,5,5,5,5,5,4,5,DESCENDING,2025-07-20T05:34:45.508523Z,66.0,S1A_IW_GRDH_1SDV_20250720T053445_20250720T053510_060163_0779C8_42FD,1.752989685E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1,DE05,Munich,2,2,3,3,5,5,5,5,6,5,5,4,ASCENDING,2025-07-11T17:07:38.179864Z,117.0,S1A_IW_GRDH_1SDV_20250711T170738_20250711T170803_060039_077585_2773,1.752253658E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1,DE06,Nuremberg,3,2,3,5,4,5,5,5,6,5,5,5,DESCENDING,2025-07-15T05:26:33.008671Z,168.0,S1A_IW_GRDH_1SDV_20250715T052633_20250715T052658_060090_077749_E668,1.752557193E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1,DE07,Frankfurt,3,2,3,2,5,5,6,5,4,5,5,5,DESCENDING,2025-07-13T05:42:43.613815Z,139.0,S1A_IW_GRDH_1SDV_20250713T054243_20250713T054308_060061_077642_8698,1.752385363E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1,DE08,Cologne,3,2,3,2,5,5,6,5,5,5,5,5,DESCENDING,2025-07-13T05:42:18.614253Z,139.0,S1A_IW_GRDH_1SDV_20250713T054218_20250713T054243_060061_077642_BC80,1.752385338E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1,DE09,Dusseldorf,3,2,3,2,5,5,6,5,5,5,5,5,DESCENDING,2025-07-13T05:42:18.614253Z,139.0,S1A_IW_GRDH_1SDV_20250713T054218_20250713T054243_060061_077642_BC80,1.752385338E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1,DE10,Dortmund,3,2,3,2,5,5,6,5,5,5,5,5,DESCENDING,2025-07-13T05:42:18.614253Z,139.0,S1A_IW_GRDH_1SDV_20250713T054218_20250713T054243_060061_077642_BC80,1.752385338E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
