city_id,city_name,split,tile_count,parent_valid_pixel_count,valid_pixel_count,temporal_removed_valid_pixel_count,temporal_retained_fraction_parent_valid
DE01,Mannheim,train,68,3001031,3001031,0,1.0
DE02,Heidelberg,train,41,1636267,1636267,0,1.0
DE03,Karlsruhe,train,62,2955951,2955951,0,1.0
DE04,Stuttgart,train,77,3261828,3261828,0,1.0
DE05,Munich,train,76,3094654,3094654,0,1.0
DE06,Nuremberg,train,48,1989204,1989204,0,1.0
DE07,Frankfurt,train,74,2965161,2965161,0,1.0
DE08,Cologne,train,97,3871664,3871664,0,1.0
DE09,Dusseldorf,train,80,3380554,3380554,0,1.0
DE10,Dortmund,train,91,3572450,3572450,0,1.0
DE11,Hamburg,train,75,2714420,2714420,0,1.0
DE12,Bremen,train,52,2080856,2080856,0,1.0
DE13,Hanover,train,58,2297157,2297157,0,1.0
DE14,Berlin,train,75,2619329,2619329,0,1.0
DE15,Leipzig,val,115,5620606,5620606,0,1.0
DE16,Dresden,val,115,5695746,5695746,0,1.0
DE17,Munster,val,121,6588223,6588223,0,1.0
DE18,Freiburg,test,120,6784516,6784516,0,1.0
DE19,Kiel,test,117,5646739,5646739,0,1.0
DE20,Rostock,test,102,5634384,5634384,0,1.0
