system:index,annual_observation_count,city_id,city_name,coverage_unit,mean_scene_coverage_fraction,minimum_scene_coverage_fraction,orbit_pass,q1_observation_count,q2_observation_count,q3_observation_count,q4_observation_count,raw_acquisition_date_count,raw_scene_count,relative_orbit,split,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,51,DE01,Mannheim,same_day_slice_union,1.0,1.0,ASCENDING,8,12,15,16,51,53,15.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,49,DE01,Mannheim,same_day_slice_union,1.0,1.0,DESCENDING,7,13,15,14,51,51,66.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1,50,DE01,Mannheim,same_day_slice_union,1.0,1.0,DESCENDING,8,12,15,15,50,50,139.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,51,DE02,Heidelberg,same_day_slice_union,1.0,1.0,ASCENDING,8,12,15,16,51,54,15.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1,0,DE02,Heidelberg,same_day_slice_union,0,0,ASCENDING,0,0,0,0,50,51,117.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,49,DE02,Heidelberg,same_day_slice_union,1.0,1.0,DESCENDING,7,13,15,14,49,49,66.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1,50,DE02,Heidelberg,same_day_slice_union,1.0,1.0,DESCENDING,8,12,15,15,50,50,139.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,51,DE03,Karlsruhe,same_day_slice_union,1.0,1.0,ASCENDING,8,12,15,16,51,106,15.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1,0,DE03,Karlsruhe,same_day_slice_union,0,0,ASCENDING,0,0,0,0,51,51,88.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,49,DE03,Karlsruhe,same_day_slice_union,1.0,1.0,DESCENDING,7,13,15,14,49,68,66.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1,50,DE03,Karlsruhe,same_day_slice_union,1.0,1.0,DESCENDING,8,12,15,15,51,101,139.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,51,DE04,Stuttgart,same_day_slice_union,1.0,1.0,ASCENDING,8,12,15,16,51,54,15.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1,0,DE04,Stuttgart,same_day_slice_union,0,0,ASCENDING,0,0,0,0,49,50,117.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,49,DE04,Stuttgart,same_day_slice_union,1.0,1.0,DESCENDING,7,13,15,14,49,49,66.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,51,DE05,Munich,same_day_slice_union,1.0,1.0,ASCENDING,7,14,15,15,51,81,44.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1,49,DE05,Munich,same_day_slice_union,1.0,1.0,ASCENDING,7,13,15,14,49,50,117.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,54,DE05,Munich,same_day_slice_union,0.9996376407066662,0.9985724709073442,DESCENDING,8,15,15,16,54,86,95.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1,48,DE05,Munich,same_day_slice_union,1.0,1.0,DESCENDING,8,11,15,14,49,79,168.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,50,DE06,Nuremberg,same_day_slice_union,0.9987962407680677,0.9973520804057355,ASCENDING,7,14,15,14,50,50,44.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1,49,DE06,Nuremberg,same_day_slice_union,1.0,1.0,ASCENDING,7,13,15,14,50,72,117.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,0,DE06,Nuremberg,same_day_slice_union,0,0,DESCENDING,0,0,0,0,51,80,66.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1,52,DE06,Nuremberg,same_day_slice_union,1.0,1.0,DESCENDING,8,14,15,15,52,53,168.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,51,DE07,Frankfurt,same_day_slice_union,1.0,1.0,ASCENDING,8,12,15,16,51,53,15.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1,0,DE07,Frankfurt,same_day_slice_union,0,0,ASCENDING,0,0,0,0,50,52,117.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,51,DE07,Frankfurt,same_day_slice_union,1.0,1.0,DESCENDING,8,14,15,14,51,51,66.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1,50,DE07,Frankfurt,same_day_slice_union,1.0,1.0,DESCENDING,8,12,15,15,50,50,139.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,51,DE08,Cologne,same_day_slice_union,1.0,1.0,ASCENDING,8,12,15,16,52,54,15.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1,50,DE08,Cologne,same_day_slice_union,1.0,1.0,ASCENDING,7,12,15,16,50,50,88.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,47,DE08,Cologne,same_day_slice_union,1.0,1.0,DESCENDING,7,14,14,12,47,48,37.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1,51,DE08,Cologne,same_day_slice_union,1.0,1.0,DESCENDING,8,12,16,15,51,51,139.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,52,DE09,Dusseldorf,same_day_slice_union,1.0,1.0,ASCENDING,8,13,15,16,52,54,15.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1,50,DE09,Dusseldorf,same_day_slice_union,1.0,1.0,ASCENDING,7,12,15,16,50,70,88.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,47,DE09,Dusseldorf,same_day_slice_union,1.0,1.0,DESCENDING,7,14,14,12,47,48,37.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1,51,DE09,Dusseldorf,same_day_slice_union,1.0,1.0,DESCENDING,8,12,16,15,51,51,139.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,52,DE10,Dortmund,same_day_slice_union,1.0,1.0,ASCENDING,8,13,15,16,52,54,15.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1,50,DE10,Dortmund,same_day_slice_union,0.9944773553665373,0.9916225083104127,ASCENDING,7,12,15,16,50,50,88.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,0,DE10,Dortmund,same_day_slice_union,0,0,DESCENDING,0,0,0,0,47,48,37.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1,51,DE10,Dortmund,same_day_slice_union,1.0,1.0,DESCENDING,8,12,16,15,51,51,139.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,50,DE11,Hamburg,same_day_slice_union,1.0,1.0,ASCENDING,7,15,14,14,52,71,44.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1,48,DE11,Hamburg,same_day_slice_union,1.0,1.0,ASCENDING,7,12,15,14,48,49,117.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,50,DE11,Hamburg,same_day_slice_union,1.0,1.0,DESCENDING,8,13,15,14,50,70,66.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1,52,DE11,Hamburg,same_day_slice_union,1.0,1.0,DESCENDING,8,13,16,15,52,83,139.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,51,DE12,Bremen,same_day_slice_union,1.0,1.0,ASCENDING,8,12,15,16,51,52,15.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1,48,DE12,Bremen,same_day_slice_union,1.0,1.0,ASCENDING,7,12,15,14,48,78,117.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,50,DE12,Bremen,same_day_slice_union,1.0,1.0,DESCENDING,8,13,15,14,50,50,66.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1,52,DE12,Bremen,same_day_slice_union,1.0,1.0,DESCENDING,8,13,16,15,52,52,139.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,0,DE13,Hanover,same_day_slice_union,0,0,ASCENDING,0,0,0,0,51,84,15.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1,0,DE13,Hanover,same_day_slice_union,0,0,ASCENDING,0,0,0,0,49,49,44.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_2,48,DE13,Hanover,same_day_slice_union,1.0,1.0,ASCENDING,7,12,15,14,48,69,117.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,50,DE13,Hanover,same_day_slice_union,1.0,1.0,DESCENDING,8,13,15,14,51,51,66.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1,34,DE13,Hanover,same_day_slice_union,0.9820130500321369,0.980335422209228,DESCENDING,6,5,11,12,51,51,139.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,0,DE14,Berlin,same_day_slice_union,0,0,ASCENDING,0,0,0,0,51,70,44.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2_1,54,DE14,Berlin,same_day_slice_union,1.0,1.0,ASCENDING,8,15,16,15,54,55,146.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_0,53,DE14,Berlin,same_day_slice_union,1.0,1.0,DESCENDING,8,15,14,16,54,85,95.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_1,54,DE14,Berlin,same_day_slice_union,1.0,1.0,DESCENDING,8,15,15,16,54,86,168.0,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_0,51,DE15,Leipzig,same_day_slice_union,1.0,1.0,ASCENDING,7,14,15,15,51,81,44.0,val,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_1,0,DE15,Leipzig,same_day_slice_union,0,0,ASCENDING,0,0,0,0,54,107,146.0,val,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_2_0,53,DE15,Leipzig,same_day_slice_union,0.9999775924176981,0.9995101542378741,DESCENDING,8,15,14,16,53,54,95.0,val,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_2_1,54,DE15,Leipzig,same_day_slice_union,1.0,1.0,DESCENDING,8,15,15,16,54,54,168.0,val,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_0,50,DE16,Dresden,same_day_slice_union,0.9996902717385899,0.9990834546383343,ASCENDING,7,14,15,14,51,71,44.0,val,"{""type"":""MultiPoint"",""coordinates"":[]}"
