city_id,split,tile_count,passed_tile_count,valid_pixel_count,parent_valid_pixel_count,retained_fraction_parent_valid
DE01,train,68,68,3001031,3001031,1.0
DE02,train,41,41,1636267,1636267,1.0
DE03,train,62,62,2955951,2955951,1.0
DE04,train,77,77,3261828,3261828,1.0
DE05,train,76,76,3094654,3094654,1.0
DE06,train,48,48,1989204,1989204,1.0
DE07,train,74,74,2965161,2965161,1.0
DE08,train,97,97,3871664,3871664,1.0
DE09,train,80,80,3380554,3380554,1.0
DE10,train,91,91,3572450,3572450,1.0
DE11,train,75,75,2714420,2714420,1.0
DE12,train,52,52,2080856,2080856,1.0
DE13,train,58,58,2297157,2297157,1.0
DE14,train,75,75,2619329,2619329,1.0
DE15,val,115,115,5620606,5620606,1.0
DE16,val,115,115,5695746,5695746,1.0
DE17,val,121,121,6588223,6588223,1.0
DE18,test,120,120,6784516,6784516,1.0
DE19,test,117,117,5646739,5646739,1.0
DE20,test,102,102,5634384,5634384,1.0
